Police Force,Type of force,Tactic,White,Black (or Black British),Asian (or Asian British),Chinese,Mixed,Other,Don't know,Not reported,Number of times tactic reported,Force type - Output,Tactic - Output
Leicestershire,Restraint,*Total Restraint,5041.0,809.0,731.0,10.0,190.0,95.0,44.0,0.0,6920.0,Restraint,Total: Restraint
Leicestershire,Restraint,"Handcuffing, of which",4731.0,767.0,715.0,10.0,179.0,89.0,43.0,0.0,6534.0,Restraint,Total: Handcuffing
Leicestershire,Restraint,Compliant handcuffing,3438.0,579.0,590.0,6.0,117.0,80.0,31.0,0.0,4841.0,Restraint,Handcuffing: compliant
Leicestershire,Restraint,Non-compliant handcuffing,1293.0,188.0,125.0,4.0,62.0,9.0,12.0,0.0,1693.0,Restraint,Handcuffing: non-compliant
Leicestershire,Restraint,Not stated handcuffing,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Restraint,Handcuffing: not stated
Leicestershire,Restraint,Limb / Body restraints,306.0,41.0,15.0,0.0,10.0,6.0,1.0,0.0,379.0,Restraint,Limb / body restraints
Leicestershire,Restraint,Ground restraint,4.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,7.0,Restraint,Ground restraint
Leicestershire,Unarmed skills,*Total Unarmed skills,1568.0,215.0,152.0,2.0,60.0,12.0,17.0,0.0,2026.0,Unarmed skills,Total: unarmed skills
Leicestershire,Other equipment,*Total Other equipment,396.0,66.0,36.0,0.0,7.0,4.0,8.0,0.0,517.0,Other equipment,Total: Other equipment
Leicestershire,Other equipment,"Baton, of which",84.0,16.0,10.0,0.0,0.0,2.0,4.0,0.0,116.0,Other equipment,Total: Baton
Leicestershire,Other equipment,Baton drawn,58.0,14.0,4.0,0.0,0.0,0.0,3.0,0.0,79.0,Other equipment,Baton: drawn
Leicestershire,Other equipment,Baton used,26.0,2.0,6.0,0.0,0.0,2.0,1.0,0.0,37.0,Other equipment,Baton: used
Leicestershire,Other equipment,Not stated baton,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Other equipment,Baton: not stated
Leicestershire,Other equipment,"Irritant spray, of which",209.0,31.0,20.0,0.0,4.0,1.0,3.0,0.0,268.0,Other equipment,Total: Irritant spray
Leicestershire,Other equipment,Irritant spray - drawn,109.0,18.0,10.0,0.0,2.0,0.0,1.0,0.0,140.0,Other equipment,Irritant spray: drawn
Leicestershire,Other equipment,Irritant spray - used,100.0,13.0,10.0,0.0,2.0,1.0,2.0,0.0,128.0,Other equipment,Irritant spray: used
Leicestershire,Other equipment,Not stated irritant spray,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Other equipment,Irritant spray: not stated
Leicestershire,Other equipment,Spit and bite guard,95.0,17.0,5.0,0.0,3.0,1.0,1.0,0.0,122.0,Other equipment,Spit and bite guard
Leicestershire,Other equipment,Shield,8.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,11.0,Other equipment,Shield
Leicestershire,Less lethal weapons,*Total Less lethal weapons,449.0,92.0,49.0,1.0,24.0,4.0,10.0,0.0,629.0,Less lethal weapons,Total: Less lethal weapons
Leicestershire,Less lethal weapons,CED,439.0,88.0,49.0,1.0,24.0,4.0,10.0,0.0,615.0,Less lethal weapons,CED
Leicestershire,Less lethal weapons,"AEP, of which",10.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,Less lethal weapons,Total: AEP
Leicestershire,Less lethal weapons,AEP aimed,10.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,Less lethal weapons,AEP: Aimed
Leicestershire,Less lethal weapons,AEP fired,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Less lethal weapons,AEP: Fired
Leicestershire,Less lethal weapons,Not stated AEP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Less lethal weapons,AEP: Not stated
Leicestershire,Firearms,*Total Firearms,12.0,8.0,5.0,0.0,0.0,0.0,0.0,0.0,25.0,Firearms,Total: Firearms
Leicestershire,Other,*Total Other,497.0,68.0,46.0,0.0,22.0,4.0,5.0,0.0,642.0,Other,Total: Other
Leicestershire,Other,"Dog use, of which",26.0,4.0,8.0,0.0,0.0,0.0,0.0,0.0,38.0,Other,Total: Dog
Leicestershire,Other,Dog deployed,18.0,3.0,5.0,0.0,0.0,0.0,0.0,0.0,26.0,Other,Dog: deployed
Leicestershire,Other,Dog bite,8.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,12.0,Other,Dog: bite
Leicestershire,Other,Not stated dog,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Other,Dog: not stated
Leicestershire,Other,Other / improvised,471.0,64.0,38.0,0.0,22.0,4.0,5.0,0.0,604.0,Other,Other / improvised
Leicestershire,Not reported,*Total Not reported,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Not reported,Total: Not reported
Leicestershire,Tactical communication,Tactical communication,2189.0,338.0,243.0,4.0,98.0,24.0,24.0,0.0,2920.0,Excluded: Tactical Communication,Tactical Communication
Lincolnshire,Total (excluding not reported and tactical communication),*Total Tactics,5409.0,140.0,46.0,1.0,76.0,48.0,25.0,0.0,5745.0,Total,Total: all
Lincolnshire,Restraint,*Total Restraint,3073.0,70.0,33.0,1.0,40.0,38.0,12.0,0.0,3267.0,Restraint,Total: Restraint
Lincolnshire,Restraint,"Handcuffing, of which",2426.0,56.0,28.0,1.0,31.0,34.0,8.0,0.0,2584.0,Restraint,Total: Handcuffing
Lincolnshire,Restraint,Compliant handcuffing,1341.0,36.0,22.0,1.0,18.0,29.0,5.0,0.0,1452.0,Restraint,Handcuffing: compliant
Lincolnshire,Restraint,Non-compliant handcuffing,1085.0,20.0,6.0,0.0,13.0,5.0,3.0,0.0,1132.0,Restraint,Handcuffing: non-compliant
Lincolnshire,Restraint,Not stated handcuffing,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Restraint,Handcuffing: not stated
Lincolnshire,Restraint,Limb / Body restraints,161.0,0.0,3.0,0.0,0.0,1.0,2.0,0.0,167.0,Restraint,Limb / body restraints
Lincolnshire,Restraint,Ground restraint,486.0,14.0,2.0,0.0,9.0,3.0,2.0,0.0,516.0,Restraint,Ground restraint
Lincolnshire,Unarmed skills,*Total Unarmed skills,1615.0,35.0,5.0,0.0,19.0,4.0,3.0,0.0,1681.0,Unarmed skills,Total: unarmed skills
Lincolnshire,Other equipment,*Total Other equipment,354.0,17.0,3.0,0.0,4.0,6.0,1.0,0.0,385.0,Other equipment,Total: Other equipment
Lincolnshire,Other equipment,"Baton, of which",48.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,52.0,Other equipment,Total: Baton
Lincolnshire,Other equipment,Baton drawn,27.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,31.0,Other equipment,Baton: drawn
Lincolnshire,Other equipment,Baton used,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,Other equipment,Baton: used
Lincolnshire,Other equipment,Not stated baton,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Other equipment,Baton: not stated
Lincolnshire,Other equipment,"Irritant spray, of which",256.0,14.0,2.0,0.0,2.0,6.0,0.0,0.0,280.0,Other equipment,Total: Irritant spray
Lincolnshire,Other equipment,Irritant spray - drawn,112.0,7.0,2.0,0.0,0.0,4.0,0.0,0.0,125.0,Other equipment,Irritant spray: drawn
Lincolnshire,Other equipment,Irritant spray - used,144.0,7.0,0.0,0.0,2.0,2.0,0.0,0.0,155.0,Other equipment,Irritant spray: used
Lincolnshire,Other equipment,Not stated irritant spray,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Other equipment,Irritant spray: not stated
Lincolnshire,Other equipment,Spit and bite guard,40.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,42.0,Other equipment,Spit and bite guard
Lincolnshire,Other equipment,Shield,10.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,Other equipment,Shield
Lincolnshire,Less lethal weapons,*Total Less lethal weapons,243.0,16.0,5.0,0.0,8.0,0.0,7.0,0.0,279.0,Less lethal weapons,Total: Less lethal weapons
Lincolnshire,Less lethal weapons,CED,232.0,16.0,5.0,0.0,7.0,0.0,7.0,0.0,267.0,Less lethal weapons,CED
Lincolnshire,Less lethal weapons,"AEP, of which",11.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,12.0,Less lethal weapons,Total: AEP
Lincolnshire,Less lethal weapons,AEP aimed,9.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,10.0,Less lethal weapons,AEP: Aimed
Lincolnshire,Less lethal weapons,AEP fired,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,Less lethal weapons,AEP: Fired
Lincolnshire,Less lethal weapons,Not stated AEP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Less lethal weapons,AEP: Not stated
Lincolnshire,Firearms,*Total Firearms,14.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,17.0,Firearms,Total: Firearms
Lincolnshire,Other,*Total Other,110.0,2.0,0.0,0.0,2.0,0.0,2.0,0.0,116.0,Other,Total: Other
Lincolnshire,Other,"Dog use, of which",25.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,26.0,Other,Total: Dog
Lincolnshire,Other,Dog deployed,23.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,24.0,Other,Dog: deployed
Lincolnshire,Other,Dog bite,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,Other,Dog: bite
Lincolnshire,Other,Not stated dog,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Other,Dog: not stated
Lincolnshire,Other,Other / improvised,85.0,2.0,0.0,0.0,2.0,0.0,1.0,0.0,90.0,Other,Other / improvised
Lincolnshire,Not reported,*Total Not reported,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Not reported,Total: Not reported
Lincolnshire,Tactical communication,Tactical communication,2373.0,65.0,21.0,0.0,35.0,18.0,9.0,0.0,2521.0,Excluded: Tactical Communication,Tactical Communication
Merseyside,Total (excluding not reported and tactical communication),*Total Tactics,10121.0,682.0,140.0,13.0,0.0,76.0,89.0,0.0,11121.0,Total,Total: all
Merseyside,Restraint,*Total Restraint,3384.0,233.0,51.0,2.0,0.0,28.0,24.0,0.0,3722.0,Restraint,Total: Restraint
Merseyside,Restraint,"Handcuffing, of which",2849.0,190.0,38.0,2.0,0.0,24.0,20.0,0.0,3123.0,Restraint,Total: Handcuffing
Merseyside,Restraint,Compliant handcuffing,851.0,51.0,17.0,0.0,0.0,11.0,9.0,0.0,939.0,Restraint,Handcuffing: compliant
Merseyside,Restraint,Non-compliant handcuffing,1998.0,139.0,21.0,2.0,0.0,13.0,11.0,0.0,2184.0,Restraint,Handcuffing: non-compliant
Merseyside,Restraint,Not stated handcuffing,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Restraint,Handcuffing: not stated
Merseyside,Restraint,Limb / Body restraints,226.0,25.0,6.0,0.0,0.0,1.0,0.0,0.0,258.0,Restraint,Limb / body restraints
Merseyside,Restraint,Ground restraint,309.0,18.0,7.0,0.0,0.0,3.0,4.0,0.0,341.0,Restraint,Ground restraint
Merseyside,Unarmed skills,*Total Unarmed skills,3421.0,227.0,41.0,4.0,0.0,21.0,23.0,0.0,3737.0,Unarmed skills,Total: unarmed skills
Merseyside,Other equipment,*Total Other equipment,584.0,41.0,9.0,1.0,0.0,4.0,8.0,0.0,647.0,Other equipment,Total: Other equipment
Merseyside,Other equipment,"Baton, of which",94.0,4.0,3.0,0.0,0.0,1.0,1.0,0.0,103.0,Other equipment,Total: Baton
Merseyside,Other equipment,Baton drawn,63.0,3.0,3.0,0.0,0.0,1.0,0.0,0.0,70.0,Other equipment,Baton: drawn
Merseyside,Other equipment,Baton used,31.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,33.0,Other equipment,Baton: used
Merseyside,Other equipment,Not stated baton,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Other equipment,Baton: not stated
Merseyside,Other equipment,"Irritant spray, of which",408.0,31.0,3.0,1.0,0.0,1.0,5.0,0.0,449.0,Other equipment,Total: Irritant spray
Merseyside,Other equipment,Irritant spray - drawn,179.0,17.0,2.0,0.0,0.0,1.0,2.0,0.0,201.0,Other equipment,Irritant spray: drawn
Merseyside,Other equipment,Irritant spray - used,229.0,14.0,1.0,1.0,0.0,0.0,3.0,0.0,248.0,Other equipment,Irritant spray: used
Merseyside,Other equipment,Not stated irritant spray,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Other equipment,Irritant spray: not stated
Merseyside,Other equipment,Spit and bite guard,58.0,4.0,3.0,0.0,0.0,0.0,2.0,0.0,67.0,Other equipment,Spit and bite guard
Merseyside,Other equipment,Shield,24.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,28.0,Other equipment,Shield
Merseyside,Less lethal weapons,*Total Less lethal weapons,291.0,17.0,2.0,0.0,0.0,4.0,8.0,0.0,322.0,Less lethal weapons,Total: Less lethal weapons
Merseyside,Less lethal weapons,CED,290.0,17.0,2.0,0.0,0.0,4.0,8.0,0.0,321.0,Less lethal weapons,CED
Merseyside,Less lethal weapons,"AEP, of which",1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Less lethal weapons,Total: AEP
Merseyside,Less lethal weapons,AEP aimed,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Less lethal weapons,AEP: Aimed
Merseyside,Less lethal weapons,AEP fired,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Less lethal weapons,AEP: Fired
Merseyside,Less lethal weapons,Not stated AEP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Less lethal weapons,AEP: Not stated
Merseyside,Firearms,*Total Firearms,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,Firearms,Total: Firearms
Merseyside,Other,*Total Other,2439.0,164.0,37.0,6.0,0.0,19.0,26.0,0.0,2691.0,Other,Total: Other
Merseyside,Other,"Dog use, of which",49.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,51.0,Other,Total: Dog
Merseyside,Other,Dog deployed,24.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,Other,Dog: deployed
Merseyside,Other,Dog bite,25.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,Other,Dog: bite
Merseyside,Other,Not stated dog,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Other,Dog: not stated
Merseyside,Other,Other / improvised,2390.0,162.0,37.0,6.0,0.0,19.0,26.0,0.0,2640.0,Other,Other / improvised
Merseyside,Not reported,*Total Not reported,19.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,21.0,Not reported,Total: Not reported
Merseyside,Tactical communication,Tactical communication,4329.0,285.0,52.0,4.0,0.0,30.0,32.0,0.0,4732.0,Excluded: Tactical Communication,Tactical Communication
Metropolitan,Total (excluding not reported and tactical communication),*Total Tactics,74357.0,63618.0,18906.0,870.0,5300.0,6854.0,1900.0,0.0,171805.0,Total,Total: all
Metropolitan,Restraint,*Total Restraint,53002.0,44743.0,14098.0,650.0,3739.0,5055.0,1100.0,0.0,122387.0,Restraint,Total: Restraint
Metropolitan,Restraint,"Handcuffing, of which",41315.0,35977.0,12127.0,559.0,2908.0,4104.0,763.0,0.0,97753.0,Restraint,Total: Handcuffing
Metropolitan,Restraint,Compliant handcuffing,28077.0,24131.0,9258.0,414.0,1989.0,3063.0,479.0,0.0,67411.0,Restraint,Handcuffing: compliant
Metropolitan,Restraint,Non-compliant handcuffing,13238.0,11846.0,2869.0,145.0,919.0,1041.0,284.0,0.0,30342.0,Restraint,Handcuffing: non-compliant
Metropolitan,Restraint,Not stated handcuffing,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Restraint,Handcuffing: not stated
Metropolitan,Restraint,Limb / Body restraints,3939.0,2743.0,670.0,28.0,273.0,296.0,111.0,0.0,8060.0,Restraint,Limb / body restraints
Metropolitan,Restraint,Ground restraint,7748.0,6023.0,1301.0,63.0,558.0,655.0,226.0,0.0,16574.0,Restraint,Ground restraint
Metropolitan,Unarmed skills,*Total Unarmed skills,13971.0,11590.0,2982.0,141.0,994.0,1110.0,424.0,0.0,31212.0,Unarmed skills,Total: unarmed skills
Metropolitan,Other equipment,*Total Other equipment,1748.0,1746.0,405.0,17.0,139.0,176.0,113.0,0.0,4344.0,Other equipment,Total: Other equipment
Metropolitan,Other equipment,"Baton, of which",816.0,945.0,241.0,7.0,75.0,86.0,74.0,0.0,2244.0,Other equipment,Total: Baton
Metropolitan,Other equipment,Baton drawn,574.0,695.0,160.0,7.0,54.0,69.0,47.0,0.0,1606.0,Other equipment,Baton: drawn
Metropolitan,Other equipment,Baton used,242.0,250.0,81.0,0.0,21.0,17.0,27.0,0.0,638.0,Other equipment,Baton: used
Metropolitan,Other equipment,Not stated baton,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Other equipment,Baton: not stated
Metropolitan,Other equipment,"Irritant spray, of which",352.0,482.0,78.0,8.0,34.0,41.0,15.0,0.0,1010.0,Other equipment,Total: Irritant spray
Metropolitan,Other equipment,Irritant spray - drawn,230.0,314.0,55.0,4.0,25.0,26.0,9.0,0.0,663.0,Other equipment,Irritant spray: drawn
Metropolitan,Other equipment,Irritant spray - used,122.0,168.0,23.0,4.0,9.0,15.0,6.0,0.0,347.0,Other equipment,Irritant spray: used
Metropolitan,Other equipment,Not stated irritant spray,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Other equipment,Irritant spray: not stated
Metropolitan,Other equipment,Spit and bite guard,475.0,255.0,77.0,2.0,25.0,45.0,20.0,0.0,899.0,Other equipment,Spit and bite guard
Metropolitan,Other equipment,Shield,105.0,64.0,9.0,0.0,5.0,4.0,4.0,0.0,191.0,Other equipment,Shield
Metropolitan,Less lethal weapons,*Total Less lethal weapons,3020.0,3063.0,749.0,27.0,214.0,223.0,115.0,0.0,7411.0,Less lethal weapons,Total: Less lethal weapons
Metropolitan,Less lethal weapons,CED,3017.0,3055.0,745.0,27.0,214.0,223.0,115.0,0.0,7396.0,Less lethal weapons,CED
Metropolitan,Less lethal weapons,"AEP, of which",3.0,8.0,4.0,0.0,0.0,0.0,0.0,0.0,15.0,Less lethal weapons,Total: AEP
Metropolitan,Less lethal weapons,AEP aimed,3.0,8.0,4.0,0.0,0.0,0.0,0.0,0.0,15.0,Less lethal weapons,AEP: Aimed
Metropolitan,Less lethal weapons,AEP fired,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Less lethal weapons,AEP: Fired
Metropolitan,Less lethal weapons,Not stated AEP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Less lethal weapons,AEP: Not stated
Metropolitan,Firearms,*Total Firearms,373.0,665.0,209.0,9.0,47.0,60.0,26.0,0.0,1389.0,Firearms,Total: Firearms
Metropolitan,Other,*Total Other,2243.0,1811.0,463.0,26.0,167.0,230.0,122.0,0.0,5062.0,Other,Total: Other
Metropolitan,Other,"Dog use, of which",187.0,161.0,36.0,2.0,24.0,18.0,12.0,0.0,440.0,Other,Total: Dog
Metropolitan,Other,Dog deployed,134.0,122.0,24.0,2.0,14.0,13.0,10.0,0.0,319.0,Other,Dog: deployed
Metropolitan,Other,Dog bite,53.0,39.0,12.0,0.0,10.0,5.0,2.0,0.0,121.0,Other,Dog: bite
Metropolitan,Other,Not stated dog,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Other,Dog: not stated
Metropolitan,Other,Other / improvised,2056.0,1650.0,427.0,24.0,143.0,212.0,110.0,0.0,4622.0,Other,Other / improvised
Metropolitan,Not reported,*Total Not reported,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,Not reported,Total: Not reported
Metropolitan,Tactical communication,Tactical communication,15103.0,13662.0,3577.0,151.0,1081.0,1293.0,357.0,0.0,35224.0,Excluded: Tactical Communication,Tactical Communication
Norfolk,Total (excluding not reported and tactical communication),*Total Tactics,6347.0,434.0,48.0,12.0,0.0,27.0,83.0,220.0,7171.0,Total,Total: all
Norfolk,Restraint,*Total Restraint,4204.0,288.0,31.0,10.0,0.0,20.0,54.0,135.0,4742.0,Restraint,Total: Restraint
Norfolk,Restraint,"Handcuffing, of which",3353.0,234.0,27.0,8.0,0.0,17.0,41.0,110.0,3790.0,Restraint,Total: Handcuffing
Norfolk,Restraint,Compliant handcuffing,1753.0,125.0,15.0,5.0,0.0,14.0,22.0,67.0,2001.0,Restraint,Handcuffing: compliant
Norfolk,Restraint,Non-compliant handcuffing,1600.0,109.0,12.0,3.0,0.0,3.0,19.0,43.0,1789.0,Restraint,Handcuffing: non-compliant
Norfolk,Restraint,Not stated handcuffing,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Restraint,Handcuffing: not stated
Norfolk,Restraint,Limb / Body restraints,326.0,23.0,2.0,0.0,0.0,0.0,5.0,10.0,366.0,Restraint,Limb / body restraints
Norfolk,Restraint,Ground restraint,525.0,31.0,2.0,2.0,0.0,3.0,8.0,15.0,586.0,Restraint,Ground restraint
Norfolk,Unarmed skills,*Total Unarmed skills,1001.0,63.0,7.0,0.0,0.0,3.0,15.0,35.0,1124.0,Unarmed skills,Total: unarmed skills
Norfolk,Other equipment,*Total Other equipment,498.0,38.0,4.0,0.0,0.0,1.0,11.0,27.0,579.0,Other equipment,Total: Other equipment
Norfolk,Other equipment,"Baton, of which",41.0,5.0,0.0,0.0,0.0,0.0,1.0,7.0,54.0,Other equipment,Total: Baton
Norfolk,Other equipment,Baton drawn,31.0,4.0,0.0,0.0,0.0,0.0,0.0,6.0,41.0,Other equipment,Baton: drawn
Norfolk,Other equipment,Baton used,10.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,13.0,Other equipment,Baton: used
Norfolk,Other equipment,Not stated baton,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Other equipment,Baton: not stated
Norfolk,Other equipment,"Irritant spray, of which",371.0,31.0,3.0,0.0,0.0,1.0,7.0,15.0,428.0,Other equipment,Total: Irritant spray
Norfolk,Other equipment,Irritant spray - drawn,152.0,9.0,1.0,0.0,0.0,1.0,5.0,5.0,173.0,Other equipment,Irritant spray: drawn
Norfolk,Other equipment,Irritant spray - used,219.0,22.0,2.0,0.0,0.0,0.0,2.0,10.0,255.0,Other equipment,Irritant spray: used
Norfolk,Other equipment,Not stated irritant spray,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Other equipment,Irritant spray: not stated
Norfolk,Other equipment,Spit and bite guard,86.0,2.0,1.0,0.0,0.0,0.0,2.0,3.0,94.0,Other equipment,Spit and bite guard
Norfolk,Other equipment,Shield,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,3.0,Other equipment,Shield
Norfolk,Less lethal weapons,*Total Less lethal weapons,16.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,17.0,Less lethal weapons,Total: Less lethal weapons
Norfolk,Less lethal weapons,CED,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Less lethal weapons,CED
Norfolk,Less lethal weapons,"AEP, of which",16.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,17.0,Less lethal weapons,Total: AEP
Norfolk,Less lethal weapons,AEP aimed,16.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,17.0,Less lethal weapons,AEP: Aimed
Norfolk,Less lethal weapons,AEP fired,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Less lethal weapons,AEP: Fired
Norfolk,Less lethal weapons,Not stated AEP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Less lethal weapons,AEP: Not stated
Norfolk,Firearms,*Total Firearms,8.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,10.0,Firearms,Total: Firearms
Norfolk,Other,*Total Other,620.0,44.0,6.0,2.0,0.0,3.0,3.0,21.0,699.0,Other,Total: Other
Norfolk,Other,"Dog use, of which",9.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,13.0,Other,Total: Dog
Norfolk,Other,Dog deployed,6.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,10.0,Other,Dog: deployed
Norfolk,Other,Dog bite,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,Other,Dog: bite
Norfolk,Other,Not stated dog,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Other,Dog: not stated
Norfolk,Other,Other / improvised,611.0,44.0,6.0,2.0,0.0,3.0,3.0,17.0,686.0,Other,Other / improvised
Norfolk,Not reported,*Total Not reported,136.0,27.0,0.0,1.0,0.0,4.0,7.0,7.0,182.0,Not reported,Total: Not reported
Norfolk,Tactical communication,Tactical communication,2510.0,190.0,23.0,6.0,0.0,13.0,28.0,94.0,2864.0,Excluded: Tactical Communication,Tactical Communication
North Wales,Total (excluding not reported and tactical communication),*Total Tactics,1904.0,12.0,13.0,0.0,0.0,1.0,22.0,0.0,1952.0,Total,Total: all
North Wales,Restraint,*Total Restraint,766.0,5.0,5.0,0.0,0.0,0.0,9.0,0.0,785.0,Restraint,Total: Restraint
North Wales,Restraint,"Handcuffing, of which",709.0,5.0,5.0,0.0,0.0,0.0,8.0,0.0,727.0,Restraint,Total: Handcuffing
North Wales,Restraint,Compliant handcuffing,193.0,2.0,1.0,0.0,0.0,0.0,3.0,0.0,199.0,Restraint,Handcuffing: compliant
North Wales,Restraint,Non-compliant handcuffing,516.0,3.0,4.0,0.0,0.0,0.0,5.0,0.0,528.0,Restraint,Handcuffing: non-compliant
North Wales,Restraint,Not stated handcuffing,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Restraint,Handcuffing: not stated
North Wales,Restraint,Limb / Body restraints,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,Restraint,Limb / body restraints
North Wales,Restraint,Ground restraint,41.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,42.0,Restraint,Ground restraint
North Wales,Unarmed skills,*Total Unarmed skills,248.0,0.0,4.0,0.0,0.0,0.0,2.0,0.0,254.0,Unarmed skills,Total: unarmed skills
North Wales,Other equipment,*Total Other equipment,171.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,174.0,Other equipment,Total: Other equipment
North Wales,Other equipment,"Baton, of which",9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,Other equipment,Total: Baton
North Wales,Other equipment,Baton drawn,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Other equipment,Baton: drawn
North Wales,Other equipment,Baton used,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,Other equipment,Baton: used
North Wales,Other equipment,Not stated baton,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Other equipment,Baton: not stated
North Wales,Other equipment,"Irritant spray, of which",156.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,159.0,Other equipment,Total: Irritant spray
North Wales,Other equipment,Irritant spray - drawn,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,Other equipment,Irritant spray: drawn
North Wales,Other equipment,Irritant spray - used,131.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,134.0,Other equipment,Irritant spray: used
North Wales,Other equipment,Not stated irritant spray,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Other equipment,Irritant spray: not stated
North Wales,Other equipment,Spit and bite guard,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,Other equipment,Spit and bite guard
