Police Force,Type of force,Tactic,White,Black (or Black British),Asian (or Asian British),Chinese,Mixed,Other,Don't know,Not reported,Number of times tactic reported
Essex,Less lethal weapons,AEP fired,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
Essex,Less lethal weapons,Not stated AEP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Essex,Firearms,*Total Firearms,196.0,16.0,11.0,0.0,6.0,3.0,1.0,0.0,233.0
Essex,Other,*Total Other,1169.0,121.0,18.0,0.0,26.0,13.0,12.0,0.0,1359.0
Essex,Other,"Dog use, of which",70.0,15.0,1.0,0.0,0.0,2.0,1.0,0.0,89.0
Essex,Other,Dog deployed,45.0,8.0,1.0,0.0,0.0,2.0,1.0,0.0,57.0
Essex,Other,Dog bite,25.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,32.0
Essex,Other,Not stated dog,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Essex,Other,Other / improvised,1099.0,106.0,17.0,0.0,26.0,11.0,11.0,0.0,1270.0
Essex,Not reported,*Total Not reported,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Essex,Tactical communication,Tactical communication,3865.0,353.0,96.0,5.0,112.0,46.0,22.0,0.0,4499.0
Gloucestershire,Total (excluding not reported and tactical communication),*Total Tactics,1385.0,148.0,36.0,0.0,65.0,13.0,12.0,0.0,1659.0
Gloucestershire,Restraint,*Total Restraint,896.0,100.0,26.0,0.0,42.0,7.0,5.0,0.0,1076.0
Gloucestershire,Restraint,"Handcuffing, of which",630.0,69.0,17.0,0.0,29.0,5.0,4.0,0.0,754.0
Gloucestershire,Restraint,Compliant handcuffing,376.0,42.0,9.0,0.0,17.0,4.0,2.0,0.0,450.0
Gloucestershire,Restraint,Non-compliant handcuffing,254.0,27.0,8.0,0.0,12.0,1.0,2.0,0.0,304.0
Gloucestershire,Restraint,Not stated handcuffing,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gloucestershire,Restraint,Limb / Body restraints,58.0,5.0,2.0,0.0,3.0,0.0,0.0,0.0,68.0
Gloucestershire,Restraint,Ground restraint,208.0,26.0,7.0,0.0,10.0,2.0,1.0,0.0,254.0
Gloucestershire,Unarmed skills,*Total Unarmed skills,221.0,19.0,6.0,0.0,13.0,2.0,3.0,0.0,264.0
Gloucestershire,Other equipment,*Total Other equipment,101.0,12.0,1.0,0.0,3.0,2.0,2.0,0.0,121.0
Gloucestershire,Other equipment,"Baton, of which",21.0,0.0,1.0,0.0,2.0,0.0,2.0,0.0,26.0
Gloucestershire,Other equipment,Baton drawn,12.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,15.0
Gloucestershire,Other equipment,Baton used,9.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,11.0
Gloucestershire,Other equipment,Not stated baton,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gloucestershire,Other equipment,"Irritant spray, of which",49.0,10.0,0.0,0.0,1.0,2.0,0.0,0.0,62.0
Gloucestershire,Other equipment,Irritant spray - drawn,23.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,26.0
Gloucestershire,Other equipment,Irritant spray - used,26.0,8.0,0.0,0.0,1.0,1.0,0.0,0.0,36.0
Gloucestershire,Other equipment,Not stated irritant spray,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gloucestershire,Other equipment,Spit and bite guard,23.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0
Gloucestershire,Other equipment,Shield,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0
Gloucestershire,Less lethal weapons,*Total Less lethal weapons,130.0,12.0,2.0,0.0,7.0,2.0,1.0,0.0,154.0
Gloucestershire,Less lethal weapons,CED,115.0,11.0,2.0,0.0,6.0,2.0,1.0,0.0,137.0
Gloucestershire,Less lethal weapons,"AEP, of which",15.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,17.0
Gloucestershire,Less lethal weapons,AEP aimed,12.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,13.0
Gloucestershire,Less lethal weapons,AEP fired,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0
Gloucestershire,Less lethal weapons,Not stated AEP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gloucestershire,Firearms,*Total Firearms,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0
Gloucestershire,Other,*Total Other,33.0,4.0,1.0,0.0,0.0,0.0,1.0,0.0,39.0
Gloucestershire,Other,"Dog use, of which",0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Gloucestershire,Other,Dog deployed,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Gloucestershire,Other,Dog bite,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gloucestershire,Other,Not stated dog,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gloucestershire,Other,Other / improvised,33.0,3.0,1.0,0.0,0.0,0.0,1.0,0.0,38.0
Gloucestershire,Not reported,*Total Not reported,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gloucestershire,Tactical communication,Tactical communication,711.0,73.0,18.0,0.0,28.0,7.0,5.0,0.0,842.0
Greater Manchester,Total (excluding not reported and tactical communication),*Total Tactics,10134.0,1321.0,778.0,13.0,441.0,128.0,156.0,0.0,12971.0
Greater Manchester,Restraint,*Total Restraint,6212.0,817.0,486.0,9.0,285.0,74.0,72.0,0.0,7955.0
Greater Manchester,Restraint,"Handcuffing, of which",3141.0,409.0,269.0,8.0,142.0,45.0,38.0,0.0,4052.0
Greater Manchester,Restraint,Compliant handcuffing,1325.0,168.0,153.0,4.0,66.0,24.0,15.0,0.0,1755.0
Greater Manchester,Restraint,Non-compliant handcuffing,1816.0,241.0,116.0,4.0,76.0,21.0,23.0,0.0,2297.0
Greater Manchester,Restraint,Not stated handcuffing,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Greater Manchester,Restraint,Limb / Body restraints,1621.0,214.0,124.0,1.0,70.0,13.0,23.0,0.0,2066.0
Greater Manchester,Restraint,Ground restraint,1450.0,194.0,93.0,0.0,73.0,16.0,11.0,0.0,1837.0
Greater Manchester,Unarmed skills,*Total Unarmed skills,2056.0,246.0,139.0,2.0,76.0,22.0,41.0,0.0,2582.0
Greater Manchester,Other equipment,*Total Other equipment,504.0,82.0,25.0,0.0,21.0,6.0,17.0,0.0,655.0
Greater Manchester,Other equipment,"Baton, of which",236.0,32.0,14.0,0.0,8.0,4.0,17.0,0.0,311.0
Greater Manchester,Other equipment,Baton drawn,171.0,23.0,9.0,0.0,5.0,4.0,12.0,0.0,224.0
Greater Manchester,Other equipment,Baton used,65.0,9.0,5.0,0.0,3.0,0.0,5.0,0.0,87.0
Greater Manchester,Other equipment,Not stated baton,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Greater Manchester,Other equipment,"Irritant spray, of which",182.0,33.0,5.0,0.0,9.0,2.0,0.0,0.0,231.0
Greater Manchester,Other equipment,Irritant spray - drawn,106.0,21.0,4.0,0.0,4.0,1.0,0.0,0.0,136.0
Greater Manchester,Other equipment,Irritant spray - used,76.0,12.0,1.0,0.0,5.0,1.0,0.0,0.0,95.0
Greater Manchester,Other equipment,Not stated irritant spray,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Greater Manchester,Other equipment,Spit and bite guard,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
Greater Manchester,Other equipment,Shield,83.0,17.0,6.0,0.0,4.0,0.0,0.0,0.0,110.0
Greater Manchester,Less lethal weapons,*Total Less lethal weapons,1122.0,143.0,94.0,2.0,48.0,20.0,18.0,0.0,1447.0
Greater Manchester,Less lethal weapons,CED,1118.0,142.0,94.0,2.0,48.0,20.0,18.0,0.0,1442.0
Greater Manchester,Less lethal weapons,"AEP, of which",4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0
Greater Manchester,Less lethal weapons,AEP aimed,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
Greater Manchester,Less lethal weapons,AEP fired,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
Greater Manchester,Less lethal weapons,Not stated AEP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Greater Manchester,Firearms,*Total Firearms,58.0,14.0,20.0,0.0,5.0,2.0,2.0,0.0,101.0
Greater Manchester,Other,*Total Other,182.0,19.0,14.0,0.0,6.0,4.0,6.0,0.0,231.0
Greater Manchester,Other,"Dog use, of which",26.0,2.0,7.0,0.0,2.0,2.0,0.0,0.0,39.0
Greater Manchester,Other,Dog deployed,17.0,1.0,4.0,0.0,1.0,1.0,0.0,0.0,24.0
Greater Manchester,Other,Dog bite,9.0,1.0,3.0,0.0,1.0,1.0,0.0,0.0,15.0
Greater Manchester,Other,Not stated dog,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Greater Manchester,Other,Other / improvised,156.0,17.0,7.0,0.0,4.0,2.0,6.0,0.0,192.0
Greater Manchester,Not reported,*Total Not reported,19.0,7.0,1.0,0.0,1.0,1.0,1.0,0.0,30.0
Greater Manchester,Tactical communication,Tactical communication,4257.0,542.0,363.0,7.0,180.0,52.0,76.0,0.0,5477.0
Gwent,Total (excluding not reported and tactical communication),*Total Tactics,6783.0,230.0,255.0,9.0,186.0,86.0,134.0,0.0,7683.0
Gwent,Restraint,*Total Restraint,4580.0,155.0,190.0,8.0,125.0,58.0,63.0,0.0,5179.0
Gwent,Restraint,"Handcuffing, of which",4104.0,135.0,179.0,8.0,105.0,53.0,55.0,0.0,4639.0
Gwent,Restraint,Compliant handcuffing,2828.0,85.0,152.0,6.0,67.0,45.0,40.0,0.0,3223.0
Gwent,Restraint,Non-compliant handcuffing,1272.0,49.0,27.0,2.0,38.0,7.0,15.0,0.0,1410.0
Gwent,Restraint,Not stated handcuffing,4.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,6.0
Gwent,Restraint,Limb / Body restraints,12.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0
Gwent,Restraint,Ground restraint,464.0,19.0,11.0,0.0,20.0,5.0,8.0,0.0,527.0
Gwent,Unarmed skills,*Total Unarmed skills,1484.0,47.0,41.0,0.0,43.0,18.0,30.0,0.0,1663.0
Gwent,Other equipment,*Total Other equipment,380.0,18.0,8.0,0.0,11.0,7.0,31.0,0.0,455.0
Gwent,Other equipment,"Baton, of which",21.0,1.0,3.0,0.0,1.0,6.0,20.0,0.0,52.0
Gwent,Other equipment,Baton drawn,11.0,1.0,3.0,0.0,1.0,4.0,17.0,0.0,37.0
Gwent,Other equipment,Baton used,10.0,0.0,0.0,0.0,0.0,2.0,3.0,0.0,15.0
Gwent,Other equipment,Not stated baton,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gwent,Other equipment,"Irritant spray, of which",239.0,11.0,5.0,0.0,6.0,1.0,5.0,0.0,267.0
Gwent,Other equipment,Irritant spray - drawn,110.0,3.0,3.0,0.0,2.0,0.0,3.0,0.0,121.0
Gwent,Other equipment,Irritant spray - used,129.0,8.0,2.0,0.0,4.0,1.0,2.0,0.0,146.0
Gwent,Other equipment,Not stated irritant spray,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gwent,Other equipment,Spit and bite guard,107.0,6.0,0.0,0.0,4.0,0.0,4.0,0.0,121.0
Gwent,Other equipment,Shield,13.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,15.0
Gwent,Less lethal weapons,*Total Less lethal weapons,154.0,3.0,9.0,1.0,5.0,2.0,4.0,0.0,178.0
Gwent,Less lethal weapons,CED,147.0,3.0,9.0,1.0,5.0,2.0,4.0,0.0,171.0
Gwent,Less lethal weapons,"AEP, of which",7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0
Gwent,Less lethal weapons,AEP aimed,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0
Gwent,Less lethal weapons,AEP fired,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gwent,Less lethal weapons,Not stated AEP,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Gwent,Firearms,*Total Firearms,23.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,31.0
Gwent,Other,*Total Other,162.0,3.0,3.0,0.0,2.0,1.0,6.0,0.0,177.0
Gwent,Other,"Dog use, of which",24.0,0.0,1.0,0.0,0.0,0.0,4.0,0.0,29.0
Gwent,Other,Dog deployed,22.0,0.0,1.0,0.0,0.0,0.0,4.0,0.0,27.0
Gwent,Other,Dog bite,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
Gwent,Other,Not stated dog,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gwent,Other,Other / improvised,138.0,3.0,2.0,0.0,2.0,1.0,2.0,0.0,148.0
Gwent,Not reported,*Total Not reported,354.0,8.0,18.0,0.0,8.0,1.0,6.0,0.0,395.0
Gwent,Tactical communication,Tactical communication,1576.0,52.0,43.0,1.0,36.0,16.0,39.0,0.0,1763.0
Hampshire,Total (excluding not reported and tactical communication),*Total Tactics,7034.0,524.0,114.0,5.0,139.0,39.0,673.0,0.0,8528.0
Hampshire,Restraint,*Total Restraint,4376.0,305.0,70.0,4.0,78.0,21.0,384.0,0.0,5238.0
Hampshire,Restraint,"Handcuffing, of which",2373.0,154.0,47.0,3.0,46.0,9.0,199.0,0.0,2831.0
Hampshire,Restraint,Compliant handcuffing,682.0,39.0,15.0,2.0,14.0,3.0,2.0,0.0,757.0
Hampshire,Restraint,Non-compliant handcuffing,1691.0,115.0,32.0,1.0,32.0,6.0,197.0,0.0,2074.0
Hampshire,Restraint,Not stated handcuffing,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hampshire,Restraint,Limb / Body restraints,596.0,49.0,9.0,1.0,4.0,2.0,60.0,0.0,721.0
Hampshire,Restraint,Ground restraint,1407.0,102.0,14.0,0.0,28.0,10.0,125.0,0.0,1686.0
Hampshire,Unarmed skills,*Total Unarmed skills,1951.0,150.0,30.0,1.0,38.0,12.0,205.0,0.0,2387.0
Hampshire,Other equipment,*Total Other equipment,312.0,38.0,5.0,0.0,14.0,4.0,32.0,0.0,405.0
Hampshire,Other equipment,"Baton, of which",55.0,10.0,1.0,0.0,3.0,2.0,2.0,0.0,73.0
Hampshire,Other equipment,Baton drawn,48.0,10.0,1.0,0.0,0.0,1.0,2.0,0.0,62.0
Hampshire,Other equipment,Baton used,7.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,11.0
Hampshire,Other equipment,Not stated baton,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hampshire,Other equipment,"Irritant spray, of which",143.0,25.0,4.0,0.0,6.0,1.0,16.0,0.0,195.0
Hampshire,Other equipment,Irritant spray - drawn,108.0,14.0,4.0,0.0,4.0,1.0,16.0,0.0,147.0
Hampshire,Other equipment,Irritant spray - used,35.0,11.0,0.0,0.0,2.0,0.0,0.0,0.0,48.0
Hampshire,Other equipment,Not stated irritant spray,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hampshire,Other equipment,Spit and bite guard,90.0,3.0,0.0,0.0,5.0,1.0,7.0,0.0,106.0
Hampshire,Other equipment,Shield,24.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,31.0
Hampshire,Less lethal weapons,*Total Less lethal weapons,177.0,12.0,4.0,0.0,3.0,0.0,14.0,0.0,210.0
Hampshire,Less lethal weapons,CED,176.0,12.0,4.0,0.0,3.0,0.0,14.0,0.0,209.0
Hampshire,Less lethal weapons,"AEP, of which",1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Hampshire,Less lethal weapons,AEP aimed,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Hampshire,Less lethal weapons,AEP fired,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hampshire,Less lethal weapons,Not stated AEP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hampshire,Firearms,*Total Firearms,2.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,5.0
Hampshire,Other,*Total Other,216.0,18.0,5.0,0.0,5.0,1.0,38.0,0.0,283.0
Hampshire,Other,"Dog use, of which",18.0,1.0,0.0,0.0,1.0,0.0,4.0,0.0,24.0
Hampshire,Other,Dog deployed,15.0,1.0,0.0,0.0,1.0,0.0,4.0,0.0,21.0
Hampshire,Other,Dog bite,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
Hampshire,Other,Not stated dog,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hampshire,Other,Other / improvised,198.0,17.0,5.0,0.0,4.0,1.0,34.0,0.0,259.0
Hampshire,Not reported,*Total Not reported,2.0,0.0,0.0,0.0,0.0,0.0,68.0,0.0,70.0
Hampshire,Tactical communication,Tactical communication,2953.0,210.0,57.0,3.0,58.0,13.0,247.0,0.0,3541.0
Hertfordshire,Total (excluding not reported and tactical communication),*Total Tactics,11461.0,1962.0,743.0,8.0,534.0,495.0,214.0,93.0,15510.0
Hertfordshire,Restraint,*Total Restraint,6717.0,1126.0,481.0,5.0,306.0,344.0,120.0,47.0,9146.0
Hertfordshire,Restraint,"Handcuffing, of which",5076.0,873.0,396.0,5.0,229.0,305.0,97.0,34.0,7015.0
Hertfordshire,Restraint,Compliant handcuffing,3124.0,563.0,280.0,5.0,127.0,228.0,66.0,24.0,4417.0
Hertfordshire,Restraint,Non-compliant handcuffing,1952.0,310.0,116.0,0.0,102.0,77.0,31.0,10.0,2598.0
Hertfordshire,Restraint,Not stated handcuffing,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hertfordshire,Restraint,Limb / Body restraints,595.0,82.0,31.0,0.0,23.0,12.0,5.0,6.0,754.0
Hertfordshire,Restraint,Ground restraint,1046.0,171.0,54.0,0.0,54.0,27.0,18.0,7.0,1377.0
Hertfordshire,Unarmed skills,*Total Unarmed skills,3399.0,517.0,190.0,3.0,163.0,120.0,53.0,30.0,4475.0
Hertfordshire,Other equipment,*Total Other equipment,851.0,196.0,35.0,0.0,32.0,21.0,24.0,10.0,1169.0
Hertfordshire,Other equipment,"Baton, of which",104.0,41.0,5.0,0.0,6.0,2.0,8.0,6.0,172.0
Hertfordshire,Other equipment,Baton drawn,69.0,24.0,4.0,0.0,5.0,1.0,6.0,5.0,114.0
Hertfordshire,Other equipment,Baton used,34.0,17.0,1.0,0.0,1.0,1.0,2.0,1.0,57.0
Hertfordshire,Other equipment,Not stated baton,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Hertfordshire,Other equipment,"Irritant spray, of which",593.0,142.0,23.0,0.0,25.0,13.0,12.0,4.0,812.0
Hertfordshire,Other equipment,Irritant spray - drawn,327.0,82.0,14.0,0.0,14.0,7.0,7.0,2.0,453.0
Hertfordshire,Other equipment,Irritant spray - used,257.0,59.0,9.0,0.0,11.0,6.0,5.0,1.0,348.0
Hertfordshire,Other equipment,Not stated irritant spray,9.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,11.0
Hertfordshire,Other equipment,Spit and bite guard,127.0,9.0,5.0,0.0,1.0,6.0,3.0,0.0,151.0
Hertfordshire,Other equipment,Shield,27.0,4.0,2.0,0.0,0.0,0.0,1.0,0.0,34.0
Hertfordshire,Less lethal weapons,*Total Less lethal weapons,192.0,59.0,21.0,0.0,18.0,4.0,5.0,3.0,302.0
Hertfordshire,Less lethal weapons,CED,190.0,58.0,20.0,0.0,18.0,4.0,4.0,3.0,297.0
Hertfordshire,Less lethal weapons,"AEP, of which",2.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,5.0
Hertfordshire,Less lethal weapons,AEP aimed,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,4.0
Hertfordshire,Less lethal weapons,AEP fired,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hertfordshire,Less lethal weapons,Not stated AEP,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Hertfordshire,Firearms,*Total Firearms,4.0,10.0,2.0,0.0,1.0,0.0,1.0,0.0,18.0
Hertfordshire,Other,*Total Other,298.0,54.0,14.0,0.0,14.0,6.0,11.0,3.0,400.0
Hertfordshire,Other,"Dog use, of which",4.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,9.0
Hertfordshire,Other,Dog deployed,3.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,6.0
Hertfordshire,Other,Dog bite,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,3.0
Hertfordshire,Other,Not stated dog,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hertfordshire,Other,Other / improvised,294.0,53.0,10.0,0.0,14.0,6.0,11.0,3.0,391.0
Hertfordshire,Not reported,*Total Not reported,37.0,8.0,2.0,0.0,2.0,2.0,3.0,0.0,54.0
Hertfordshire,Tactical communication,Tactical communication,6141.0,1057.0,428.0,6.0,279.0,291.0,127.0,57.0,8386.0
Humberside,Total (excluding not reported and tactical communication),*Total Tactics,7152.0,151.0,82.0,3.0,41.0,37.0,37.0,0.0,7503.0
Humberside,Restraint,*Total Restraint,3693.0,81.0,38.0,1.0,21.0,27.0,13.0,0.0,3874.0
Humberside,Restraint,"Handcuffing, of which",2841.0,68.0,34.0,1.0,18.0,25.0,8.0,0.0,2995.0
Humberside,Restraint,Compliant handcuffing,1650.0,50.0,23.0,1.0,12.0,21.0,5.0,0.0,1762.0
Humberside,Restraint,Non-compliant handcuffing,1191.0,18.0,11.0,0.0,6.0,4.0,3.0,0.0,1233.0
Humberside,Restraint,Not stated handcuffing,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Humberside,Restraint,Limb / Body restraints,236.0,3.0,0.0,0.0,0.0,0.0,2.0,0.0,241.0
Humberside,Restraint,Ground restraint,616.0,10.0,4.0,0.0,3.0,2.0,3.0,0.0,638.0
Humberside,Unarmed skills,*Total Unarmed skills,2105.0,32.0,24.0,0.0,10.0,4.0,9.0,0.0,2184.0
Humberside,Other equipment,*Total Other equipment,346.0,8.0,2.0,0.0,0.0,0.0,5.0,0.0,361.0
Humberside,Other equipment,"Baton, of which",60.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,63.0
Humberside,Other equipment,Baton drawn,41.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,42.0
Humberside,Other equipment,Baton used,19.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,21.0
Humberside,Other equipment,Not stated baton,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Humberside,Other equipment,"Irritant spray, of which",190.0,6.0,1.0,0.0,0.0,0.0,2.0,0.0,199.0
Humberside,Other equipment,Irritant spray - drawn,88.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,92.0
Humberside,Other equipment,Irritant spray - used,102.0,3.0,1.0,0.0,0.0,0.0,1.0,0.0,107.0
Humberside,Other equipment,Not stated irritant spray,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Humberside,Other equipment,Spit and bite guard,75.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,78.0
Humberside,Other equipment,Shield,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0
Humberside,Less lethal weapons,*Total Less lethal weapons,599.0,15.0,13.0,2.0,6.0,3.0,6.0,0.0,644.0
Humberside,Less lethal weapons,CED,538.0,11.0,10.0,1.0,6.0,2.0,4.0,0.0,572.0
Humberside,Less lethal weapons,"AEP, of which",61.0,4.0,3.0,1.0,0.0,1.0,2.0,0.0,72.0
Humberside,Less lethal weapons,AEP aimed,57.0,4.0,2.0,1.0,0.0,1.0,1.0,0.0,66.0
Humberside,Less lethal weapons,AEP fired,4.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,6.0
Humberside,Less lethal weapons,Not stated AEP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Humberside,Firearms,*Total Firearms,68.0,11.0,1.0,0.0,1.0,1.0,0.0,0.0,82.0
Humberside,Other,*Total Other,341.0,4.0,4.0,0.0,3.0,2.0,4.0,0.0,358.0
Humberside,Other,"Dog use, of which",26.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,28.0
Humberside,Other,Dog deployed,18.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,20.0
Humberside,Other,Dog bite,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0
Humberside,Other,Not stated dog,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Humberside,Other,Other / improvised,315.0,3.0,3.0,0.0,3.0,2.0,4.0,0.0,330.0
Humberside,Not reported,*Total Not reported,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Humberside,Tactical communication,Tactical communication,2833.0,56.0,30.0,1.0,14.0,19.0,15.0,0.0,2968.0
Kent,Total (excluding not reported and tactical communication),*Total Tactics,15057.0,1248.0,496.0,6.0,324.0,240.0,163.0,0.0,17534.0
Kent,Restraint,*Total Restraint,10273.0,814.0,364.0,4.0,209.0,179.0,99.0,0.0,11942.0
Kent,Restraint,"Handcuffing, of which",7488.0,633.0,299.0,4.0,158.0,143.0,67.0,0.0,8792.0
Kent,Restraint,Compliant handcuffing,4320.0,406.0,210.0,3.0,97.0,103.0,35.0,0.0,5174.0
Kent,Restraint,Non-compliant handcuffing,3168.0,227.0,89.0,1.0,61.0,40.0,32.0,0.0,3618.0
Kent,Restraint,Not stated handcuffing,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kent,Restraint,Limb / Body restraints,1133.0,67.0,33.0,0.0,21.0,11.0,10.0,0.0,1275.0
Kent,Restraint,Ground restraint,1652.0,114.0,32.0,0.0,30.0,25.0,22.0,0.0,1875.0
Kent,Unarmed skills,*Total Unarmed skills,2723.0,204.0,68.0,0.0,63.0,35.0,32.0,0.0,3125.0
Kent,Other equipment,*Total Other equipment,704.0,84.0,26.0,1.0,19.0,11.0,13.0,0.0,858.0
Kent,Other equipment,"Baton, of which",104.0,22.0,10.0,0.0,2.0,1.0,3.0,0.0,142.0
Kent,Other equipment,Baton drawn,72.0,16.0,7.0,0.0,2.0,1.0,2.0,0.0,100.0
Kent,Other equipment,Baton used,32.0,6.0,3.0,0.0,0.0,0.0,1.0,0.0,42.0
Kent,Other equipment,Not stated baton,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kent,Other equipment,"Irritant spray, of which",408.0,43.0,15.0,1.0,7.0,8.0,7.0,0.0,489.0
Kent,Other equipment,Irritant spray - drawn,206.0,22.0,8.0,1.0,5.0,6.0,5.0,0.0,253.0
Kent,Other equipment,Irritant spray - used,202.0,21.0,7.0,0.0,2.0,2.0,2.0,0.0,236.0
Kent,Other equipment,Not stated irritant spray,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kent,Other equipment,Spit and bite guard,173.0,16.0,0.0,0.0,5.0,2.0,3.0,0.0,199.0
Kent,Other equipment,Shield,19.0,3.0,1.0,0.0,5.0,0.0,0.0,0.0,28.0
Kent,Less lethal weapons,*Total Less lethal weapons,538.0,66.0,16.0,0.0,11.0,4.0,6.0,0.0,641.0
Kent,Less lethal weapons,CED,495.0,63.0,9.0,0.0,11.0,4.0,6.0,0.0,588.0
Kent,Less lethal weapons,"AEP, of which",43.0,3.0,7.0,0.0,0.0,0.0,0.0,0.0,53.0
