Police Force,Type of force,Tactic,White,Black (or Black British),Asian (or Asian British),Mixed,Other,Not reported,Number of times tactic reported
Gloucestershire,Less lethal weapons,AEP used,2.0,0.0,0.0,0.0,0.0,0.0,2.0
Gloucestershire,Less lethal weapons,AEP not stated,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gloucestershire,Firearms,*Total Firearms,4.0,2.0,0.0,1.0,0.0,0.0,7.0
Gloucestershire,Other,*Total Other,65.0,10.0,2.0,3.0,2.0,0.0,82.0
Gloucestershire,Other,"Dog use, of which",33.0,7.0,1.0,0.0,1.0,0.0,42.0
Gloucestershire,Other,Dog deployed,30.0,7.0,1.0,0.0,1.0,0.0,39.0
Gloucestershire,Other,Dog bite,3.0,0.0,0.0,0.0,0.0,0.0,3.0
Gloucestershire,Other,Dog not stated,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gloucestershire,Other,Other / improvised,32.0,3.0,1.0,3.0,1.0,0.0,40.0
Gloucestershire,Not reported,*Total Not reported,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gloucestershire,Tactical communication,Tactical communication,887.0,79.0,15.0,27.0,18.0,1.0,1027.0
Greater Manchester,Total (excluding not reported and tactical communication),*Total Tactics,12613.0,1845.0,1050.0,504.0,221.0,203.0,16436.0
Greater Manchester,Restraint,*Total Restraint,7930.0,1118.0,622.0,323.0,95.0,99.0,10187.0
Greater Manchester,Restraint,"Handcuffing, of which",3666.0,532.0,351.0,149.0,53.0,47.0,4798.0
Greater Manchester,Restraint,Compliant handcuffing,1387.0,218.0,208.0,55.0,30.0,24.0,1922.0
Greater Manchester,Restraint,Non-compliant handcuffing,2279.0,314.0,143.0,94.0,23.0,23.0,2876.0
Greater Manchester,Restraint,Handcuffing not stated,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Greater Manchester,Restraint,Limb / Body restraints,2275.0,295.0,150.0,86.0,23.0,28.0,2857.0
Greater Manchester,Restraint,Ground restraint,1989.0,291.0,121.0,88.0,19.0,24.0,2532.0
Greater Manchester,Unarmed skills,*Total Unarmed skills,2764.0,397.0,218.0,104.0,38.0,30.0,3551.0
Greater Manchester,Other equipment,*Total Other equipment,561.0,102.0,42.0,21.0,17.0,26.0,769.0
Greater Manchester,Other equipment,"Baton, of which",220.0,38.0,26.0,7.0,13.0,16.0,320.0
Greater Manchester,Other equipment,Baton drawn,147.0,26.0,19.0,4.0,10.0,13.0,219.0
Greater Manchester,Other equipment,Baton used,73.0,12.0,7.0,3.0,3.0,3.0,101.0
Greater Manchester,Other equipment,Baton not stated,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Greater Manchester,Other equipment,"Irritant spray, of which",202.0,34.0,12.0,9.0,2.0,6.0,265.0
Greater Manchester,Other equipment,Irritant spray - drawn,124.0,19.0,7.0,4.0,2.0,3.0,159.0
Greater Manchester,Other equipment,Irritant spray - used,78.0,15.0,5.0,5.0,0.0,3.0,106.0
Greater Manchester,Other equipment,Irritant spray not stated,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Greater Manchester,Other equipment,Spit and bite guard,64.0,5.0,2.0,0.0,0.0,1.0,72.0
Greater Manchester,Other equipment,Shield,75.0,25.0,2.0,5.0,2.0,3.0,112.0
Greater Manchester,Less lethal weapons,*Total Less lethal weapons,1075.0,182.0,139.0,45.0,65.0,40.0,1546.0
Greater Manchester,Less lethal weapons,CED of which,1073.0,182.0,138.0,45.0,65.0,40.0,1543.0
Greater Manchester,Less lethal weapons,CED non-discharge,829.0,139.0,109.0,35.0,17.0,29.0,1158.0
Greater Manchester,Less lethal weapons,CED discharge,129.0,21.0,7.0,8.0,3.0,6.0,174.0
Greater Manchester,Less lethal weapons,CED not stated,115.0,22.0,22.0,2.0,45.0,5.0,211.0
Greater Manchester,Less lethal weapons,"AEP, of which",2.0,0.0,1.0,0.0,0.0,0.0,3.0
Greater Manchester,Less lethal weapons,AEP drawn,1.0,0.0,1.0,0.0,0.0,0.0,2.0
Greater Manchester,Less lethal weapons,AEP used,1.0,0.0,0.0,0.0,0.0,0.0,1.0
Greater Manchester,Less lethal weapons,AEP not stated,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Greater Manchester,Firearms,*Total Firearms,25.0,8.0,8.0,1.0,2.0,1.0,45.0
Greater Manchester,Other,*Total Other,258.0,38.0,21.0,10.0,4.0,7.0,338.0
Greater Manchester,Other,"Dog use, of which",42.0,5.0,11.0,2.0,3.0,0.0,63.0
Greater Manchester,Other,Dog deployed,24.0,3.0,6.0,1.0,2.0,0.0,36.0
Greater Manchester,Other,Dog bite,18.0,2.0,5.0,1.0,1.0,0.0,27.0
Greater Manchester,Other,Dog not stated,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Greater Manchester,Other,Other / improvised,216.0,33.0,10.0,8.0,1.0,7.0,275.0
Greater Manchester,Not reported,*Total Not reported,22.0,5.0,1.0,3.0,2.0,1.0,34.0
Greater Manchester,Tactical communication,Tactical communication,5339.0,758.0,495.0,199.0,93.0,102.0,6986.0
Gwent,Total (excluding not reported and tactical communication),*Total Tactics,8105.0,306.0,267.0,219.0,62.0,67.0,9026.0
Gwent,Restraint,*Total Restraint,5316.0,195.0,197.0,141.0,41.0,45.0,5935.0
Gwent,Restraint,"Handcuffing, of which",4636.0,169.0,176.0,123.0,40.0,40.0,5184.0
Gwent,Restraint,Compliant handcuffing,3119.0,117.0,143.0,83.0,34.0,31.0,3527.0
Gwent,Restraint,Non-compliant handcuffing,1517.0,52.0,33.0,40.0,6.0,9.0,1657.0
Gwent,Restraint,Handcuffing not stated,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gwent,Restraint,Limb / Body restraints,7.0,0.0,0.0,0.0,0.0,0.0,7.0
Gwent,Restraint,Ground restraint,673.0,26.0,21.0,18.0,1.0,5.0,744.0
Gwent,Unarmed skills,*Total Unarmed skills,1934.0,77.0,49.0,51.0,13.0,11.0,2135.0
Gwent,Other equipment,*Total Other equipment,418.0,19.0,9.0,13.0,2.0,3.0,464.0
Gwent,Other equipment,"Baton, of which",16.0,1.0,1.0,0.0,0.0,0.0,18.0
Gwent,Other equipment,Baton drawn,9.0,1.0,0.0,0.0,0.0,0.0,10.0
Gwent,Other equipment,Baton used,7.0,0.0,1.0,0.0,0.0,0.0,8.0
Gwent,Other equipment,Baton not stated,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gwent,Other equipment,"Irritant spray, of which",273.0,16.0,7.0,7.0,2.0,2.0,307.0
Gwent,Other equipment,Irritant spray - drawn,111.0,4.0,5.0,2.0,1.0,0.0,123.0
Gwent,Other equipment,Irritant spray - used,162.0,12.0,2.0,5.0,1.0,2.0,184.0
Gwent,Other equipment,Irritant spray not stated,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gwent,Other equipment,Spit and bite guard,124.0,2.0,1.0,6.0,0.0,1.0,134.0
Gwent,Other equipment,Shield,5.0,0.0,0.0,0.0,0.0,0.0,5.0
Gwent,Less lethal weapons,*Total Less lethal weapons,199.0,5.0,5.0,5.0,3.0,5.0,222.0
Gwent,Less lethal weapons,CED of which,195.0,5.0,5.0,5.0,3.0,5.0,218.0
Gwent,Less lethal weapons,CED non-discharge,136.0,5.0,5.0,4.0,3.0,3.0,156.0
Gwent,Less lethal weapons,CED discharge,22.0,0.0,0.0,1.0,0.0,1.0,24.0
Gwent,Less lethal weapons,CED not stated,37.0,0.0,0.0,0.0,0.0,1.0,38.0
Gwent,Less lethal weapons,"AEP, of which",4.0,0.0,0.0,0.0,0.0,0.0,4.0
Gwent,Less lethal weapons,AEP drawn,4.0,0.0,0.0,0.0,0.0,0.0,4.0
Gwent,Less lethal weapons,AEP used,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gwent,Less lethal weapons,AEP not stated,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gwent,Firearms,*Total Firearms,25.0,2.0,0.0,1.0,0.0,1.0,29.0
Gwent,Other,*Total Other,213.0,8.0,7.0,8.0,3.0,2.0,241.0
Gwent,Other,"Dog use, of which",31.0,0.0,0.0,1.0,1.0,0.0,33.0
Gwent,Other,Dog deployed,29.0,0.0,0.0,1.0,1.0,0.0,31.0
Gwent,Other,Dog bite,2.0,0.0,0.0,0.0,0.0,0.0,2.0
Gwent,Other,Dog not stated,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gwent,Other,Other / improvised,182.0,8.0,7.0,7.0,2.0,2.0,208.0
Gwent,Not reported,*Total Not reported,189.0,11.0,15.0,8.0,2.0,31.0,256.0
Gwent,Tactical communication,Tactical communication,1843.0,60.0,44.0,41.0,14.0,11.0,2013.0
Hampshire,Total (excluding not reported and tactical communication),*Total Tactics,8821.0,602.0,194.0,124.0,61.0,96.0,9898.0
Hampshire,Restraint,*Total Restraint,5233.0,350.0,118.0,75.0,37.0,4.0,5817.0
Hampshire,Restraint,"Handcuffing, of which",2735.0,186.0,77.0,41.0,21.0,2.0,3062.0
Hampshire,Restraint,Compliant handcuffing,682.0,46.0,31.0,9.0,8.0,0.0,776.0
Hampshire,Restraint,Non-compliant handcuffing,2053.0,140.0,46.0,32.0,13.0,2.0,2286.0
Hampshire,Restraint,Handcuffing not stated,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hampshire,Restraint,Limb / Body restraints,671.0,45.0,8.0,6.0,6.0,1.0,737.0
Hampshire,Restraint,Ground restraint,1827.0,119.0,33.0,28.0,10.0,1.0,2018.0
Hampshire,Unarmed skills,*Total Unarmed skills,2444.0,164.0,53.0,33.0,19.0,33.0,2746.0
Hampshire,Other equipment,*Total Other equipment,469.0,31.0,8.0,5.0,2.0,49.0,564.0
Hampshire,Other equipment,"Baton, of which",76.0,6.0,5.0,0.0,0.0,48.0,135.0
Hampshire,Other equipment,Baton drawn,42.0,4.0,2.0,0.0,0.0,48.0,96.0
Hampshire,Other equipment,Baton used,28.0,2.0,3.0,0.0,0.0,0.0,33.0
Hampshire,Other equipment,Baton not stated,6.0,0.0,0.0,0.0,0.0,0.0,6.0
Hampshire,Other equipment,"Irritant spray, of which",260.0,19.0,3.0,4.0,1.0,0.0,287.0
Hampshire,Other equipment,Irritant spray - drawn,119.0,7.0,3.0,2.0,0.0,0.0,131.0
Hampshire,Other equipment,Irritant spray - used,141.0,12.0,0.0,2.0,1.0,0.0,156.0
Hampshire,Other equipment,Irritant spray not stated,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hampshire,Other equipment,Spit and bite guard,100.0,5.0,0.0,0.0,1.0,0.0,106.0
Hampshire,Other equipment,Shield,33.0,1.0,0.0,1.0,0.0,1.0,36.0
Hampshire,Less lethal weapons,*Total Less lethal weapons,428.0,36.0,11.0,7.0,2.0,0.0,484.0
Hampshire,Less lethal weapons,CED of which,424.0,36.0,11.0,7.0,2.0,0.0,480.0
Hampshire,Less lethal weapons,CED non-discharge,323.0,31.0,8.0,5.0,1.0,0.0,368.0
Hampshire,Less lethal weapons,CED discharge,47.0,2.0,2.0,0.0,0.0,0.0,51.0
Hampshire,Less lethal weapons,CED not stated,54.0,3.0,1.0,2.0,1.0,0.0,61.0
Hampshire,Less lethal weapons,"AEP, of which",4.0,0.0,0.0,0.0,0.0,0.0,4.0
Hampshire,Less lethal weapons,AEP drawn,4.0,0.0,0.0,0.0,0.0,0.0,4.0
Hampshire,Less lethal weapons,AEP used,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hampshire,Less lethal weapons,AEP not stated,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hampshire,Firearms,*Total Firearms,3.0,1.0,0.0,0.0,0.0,0.0,4.0
Hampshire,Other,*Total Other,244.0,20.0,4.0,4.0,1.0,10.0,283.0
Hampshire,Other,"Dog use, of which",16.0,0.0,1.0,1.0,0.0,1.0,19.0
Hampshire,Other,Dog deployed,13.0,0.0,1.0,0.0,0.0,1.0,15.0
Hampshire,Other,Dog bite,3.0,0.0,0.0,1.0,0.0,0.0,4.0
Hampshire,Other,Dog not stated,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hampshire,Other,Other / improvised,228.0,20.0,3.0,3.0,1.0,9.0,264.0
Hampshire,Not reported,*Total Not reported,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hampshire,Tactical communication,Tactical communication,3679.0,255.0,96.0,50.0,29.0,63.0,4172.0
Hertfordshire,Total (excluding not reported and tactical communication),*Total Tactics,10579.0,1833.0,779.0,472.0,553.0,281.0,14497.0
Hertfordshire,Restraint,*Total Restraint,6125.0,1101.0,469.0,304.0,363.0,165.0,8527.0
Hertfordshire,Restraint,"Handcuffing, of which",4493.0,845.0,386.0,225.0,311.0,128.0,6388.0
Hertfordshire,Restraint,Compliant handcuffing,2758.0,541.0,273.0,145.0,229.0,84.0,4030.0
Hertfordshire,Restraint,Non-compliant handcuffing,1735.0,304.0,113.0,80.0,82.0,44.0,2358.0
Hertfordshire,Restraint,Handcuffing not stated,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hertfordshire,Restraint,Limb / Body restraints,560.0,90.0,23.0,30.0,15.0,12.0,730.0
Hertfordshire,Restraint,Ground restraint,1072.0,166.0,60.0,49.0,37.0,25.0,1409.0
Hertfordshire,Unarmed skills,*Total Unarmed skills,3144.0,495.0,217.0,133.0,131.0,86.0,4206.0
Hertfordshire,Other equipment,*Total Other equipment,770.0,125.0,50.0,15.0,32.0,19.0,1011.0
Hertfordshire,Other equipment,"Baton, of which",97.0,24.0,6.0,1.0,3.0,5.0,136.0
Hertfordshire,Other equipment,Baton drawn,66.0,15.0,4.0,1.0,2.0,3.0,91.0
Hertfordshire,Other equipment,Baton used,31.0,9.0,2.0,0.0,1.0,2.0,45.0
Hertfordshire,Other equipment,Baton not stated,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hertfordshire,Other equipment,"Irritant spray, of which",527.0,93.0,31.0,8.0,21.0,12.0,692.0
Hertfordshire,Other equipment,Irritant spray - drawn,298.0,53.0,18.0,6.0,11.0,9.0,395.0
Hertfordshire,Other equipment,Irritant spray - used,227.0,40.0,13.0,2.0,10.0,3.0,295.0
Hertfordshire,Other equipment,Irritant spray not stated,2.0,0.0,0.0,0.0,0.0,0.0,2.0
Hertfordshire,Other equipment,Spit and bite guard,113.0,8.0,9.0,6.0,7.0,0.0,143.0
Hertfordshire,Other equipment,Shield,33.0,0.0,4.0,0.0,1.0,2.0,40.0
Hertfordshire,Less lethal weapons,*Total Less lethal weapons,286.0,73.0,27.0,10.0,20.0,5.0,421.0
Hertfordshire,Less lethal weapons,CED of which,286.0,73.0,27.0,10.0,20.0,5.0,421.0
Hertfordshire,Less lethal weapons,CED non-discharge,250.0,68.0,25.0,10.0,20.0,5.0,378.0
Hertfordshire,Less lethal weapons,CED discharge,35.0,5.0,2.0,0.0,0.0,0.0,42.0
Hertfordshire,Less lethal weapons,CED not stated,1.0,0.0,0.0,0.0,0.0,0.0,1.0
Hertfordshire,Less lethal weapons,"AEP, of which",0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hertfordshire,Less lethal weapons,AEP drawn,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hertfordshire,Less lethal weapons,AEP used,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hertfordshire,Less lethal weapons,AEP not stated,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hertfordshire,Firearms,*Total Firearms,6.0,1.0,3.0,1.0,1.0,0.0,12.0
Hertfordshire,Other,*Total Other,248.0,38.0,13.0,9.0,6.0,6.0,320.0
Hertfordshire,Other,"Dog use, of which",4.0,2.0,0.0,0.0,0.0,0.0,6.0
Hertfordshire,Other,Dog deployed,3.0,1.0,0.0,0.0,0.0,0.0,4.0
Hertfordshire,Other,Dog bite,1.0,1.0,0.0,0.0,0.0,0.0,2.0
Hertfordshire,Other,Dog not stated,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hertfordshire,Other,Other / improvised,244.0,36.0,13.0,9.0,6.0,6.0,314.0
Hertfordshire,Not reported,*Total Not reported,21.0,5.0,3.0,2.0,0.0,4.0,35.0
Hertfordshire,Tactical communication,Tactical communication,5589.0,993.0,428.0,268.0,330.0,166.0,7774.0
Humberside,Total (excluding not reported and tactical communication),*Total Tactics,8839.0,198.0,93.0,97.0,31.0,71.0,9329.0
Humberside,Restraint,*Total Restraint,4624.0,113.0,50.0,52.0,18.0,28.0,4885.0
Humberside,Restraint,"Handcuffing, of which",3453.0,94.0,42.0,41.0,16.0,17.0,3663.0
Humberside,Restraint,Compliant handcuffing,2008.0,69.0,31.0,26.0,11.0,11.0,2156.0
Humberside,Restraint,Non-compliant handcuffing,1445.0,25.0,11.0,15.0,5.0,6.0,1507.0
Humberside,Restraint,Handcuffing not stated,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Humberside,Restraint,Limb / Body restraints,394.0,4.0,2.0,2.0,2.0,5.0,409.0
Humberside,Restraint,Ground restraint,777.0,15.0,6.0,9.0,0.0,6.0,813.0
Humberside,Unarmed skills,*Total Unarmed skills,2400.0,46.0,22.0,19.0,9.0,19.0,2515.0
Humberside,Other equipment,*Total Other equipment,444.0,8.0,6.0,6.0,2.0,6.0,472.0
Humberside,Other equipment,"Baton, of which",67.0,1.0,1.0,1.0,0.0,0.0,70.0
Humberside,Other equipment,Baton drawn,44.0,1.0,1.0,1.0,0.0,0.0,47.0
Humberside,Other equipment,Baton used,23.0,0.0,0.0,0.0,0.0,0.0,23.0
Humberside,Other equipment,Baton not stated,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Humberside,Other equipment,"Irritant spray, of which",219.0,4.0,5.0,4.0,1.0,4.0,237.0
Humberside,Other equipment,Irritant spray - drawn,102.0,1.0,2.0,3.0,0.0,1.0,109.0
Humberside,Other equipment,Irritant spray - used,117.0,3.0,3.0,1.0,1.0,3.0,128.0
Humberside,Other equipment,Irritant spray not stated,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Humberside,Other equipment,Spit and bite guard,149.0,3.0,0.0,1.0,1.0,2.0,156.0
Humberside,Other equipment,Shield,9.0,0.0,0.0,0.0,0.0,0.0,9.0
Humberside,Less lethal weapons,*Total Less lethal weapons,828.0,16.0,9.0,12.0,2.0,10.0,877.0
Humberside,Less lethal weapons,CED of which,762.0,15.0,8.0,12.0,2.0,5.0,804.0
Humberside,Less lethal weapons,CED non-discharge,507.0,8.0,5.0,7.0,2.0,3.0,532.0
Humberside,Less lethal weapons,CED discharge,78.0,1.0,0.0,1.0,0.0,0.0,80.0
Humberside,Less lethal weapons,CED not stated,177.0,6.0,3.0,4.0,0.0,2.0,192.0
Humberside,Less lethal weapons,"AEP, of which",66.0,1.0,1.0,0.0,0.0,5.0,73.0
Humberside,Less lethal weapons,AEP drawn,64.0,1.0,1.0,0.0,0.0,5.0,71.0
Humberside,Less lethal weapons,AEP used,2.0,0.0,0.0,0.0,0.0,0.0,2.0
Humberside,Less lethal weapons,AEP not stated,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Humberside,Firearms,*Total Firearms,150.0,7.0,2.0,1.0,0.0,1.0,161.0
Humberside,Other,*Total Other,393.0,8.0,4.0,7.0,0.0,7.0,419.0
Humberside,Other,"Dog use, of which",42.0,1.0,1.0,0.0,0.0,0.0,44.0
Humberside,Other,Dog deployed,30.0,1.0,1.0,0.0,0.0,0.0,32.0
Humberside,Other,Dog bite,12.0,0.0,0.0,0.0,0.0,0.0,12.0
Humberside,Other,Dog not stated,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Humberside,Other,Other / improvised,351.0,7.0,3.0,7.0,0.0,7.0,375.0
Humberside,Not reported,*Total Not reported,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Humberside,Tactical communication,Tactical communication,3711.0,91.0,47.0,43.0,16.0,33.0,3941.0
Kent,Total (excluding not reported and tactical communication),*Total Tactics,17770.0,1513.0,594.0,432.0,527.0,0.0,20836.0
Kent,Restraint,*Total Restraint,13307.0,1102.0,459.0,321.0,396.0,0.0,15585.0
Kent,Restraint,"Handcuffing, of which",8531.0,776.0,328.0,226.0,303.0,0.0,10164.0
Kent,Restraint,Compliant handcuffing,4974.0,522.0,218.0,145.0,234.0,0.0,6093.0
Kent,Restraint,Non-compliant handcuffing,3557.0,254.0,110.0,81.0,69.0,0.0,4071.0
Kent,Restraint,Handcuffing not stated,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kent,Restraint,Limb / Body restraints,2542.0,171.0,66.0,48.0,48.0,0.0,2875.0
Kent,Restraint,Ground restraint,2234.0,155.0,65.0,47.0,45.0,0.0,2546.0
Kent,Unarmed skills,*Total Unarmed skills,2012.0,140.0,59.0,41.0,41.0,0.0,2293.0
Kent,Other equipment,*Total Other equipment,676.0,64.0,15.0,10.0,25.0,0.0,790.0
Kent,Other equipment,"Baton, of which",97.0,19.0,2.0,0.0,10.0,0.0,128.0
Kent,Other equipment,Baton drawn,64.0,15.0,1.0,0.0,7.0,0.0,87.0
Kent,Other equipment,Baton used,33.0,4.0,1.0,0.0,3.0,0.0,41.0
Kent,Other equipment,Baton not stated,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kent,Other equipment,"Irritant spray, of which",349.0,34.0,11.0,6.0,11.0,0.0,411.0
Kent,Other equipment,Irritant spray - drawn,:,:,:,:,:,:,:
Kent,Other equipment,Irritant spray - used,:,:,:,:,:,:,:
Kent,Other equipment,Irritant spray not stated,349.0,34.0,11.0,6.0,11.0,0.0,411.0
Kent,Other equipment,Spit and bite guard,199.0,9.0,1.0,4.0,3.0,0.0,216.0
Kent,Other equipment,Shield,31.0,2.0,1.0,0.0,1.0,0.0,35.0
Kent,Less lethal weapons,*Total Less lethal weapons,739.0,104.0,24.0,26.0,29.0,0.0,922.0
Kent,Less lethal weapons,CED of which,695.0,97.0,20.0,26.0,25.0,0.0,863.0
Kent,Less lethal weapons,CED non-discharge,322.0,56.0,10.0,15.0,14.0,0.0,417.0
Kent,Less lethal weapons,CED discharge,101.0,9.0,4.0,1.0,1.0,0.0,116.0
Kent,Less lethal weapons,CED not stated,272.0,32.0,6.0,10.0,10.0,0.0,330.0
Kent,Less lethal weapons,"AEP, of which",44.0,7.0,4.0,0.0,4.0,0.0,59.0
Kent,Less lethal weapons,AEP drawn,42.0,7.0,4.0,0.0,4.0,0.0,57.0
Kent,Less lethal weapons,AEP used,2.0,0.0,0.0,0.0,0.0,0.0,2.0
Kent,Less lethal weapons,AEP not stated,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kent,Firearms,*Total Firearms,91.0,23.0,5.0,4.0,4.0,0.0,127.0
Kent,Other,*Total Other,945.0,80.0,32.0,30.0,32.0,0.0,1119.0
Kent,Other,"Dog use, of which",17.0,4.0,1.0,0.0,1.0,0.0,23.0
Kent,Other,Dog deployed,12.0,2.0,1.0,0.0,1.0,0.0,16.0
Kent,Other,Dog bite,5.0,2.0,0.0,0.0,0.0,0.0,7.0
Kent,Other,Dog not stated,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kent,Other,Other / improvised,928.0,76.0,31.0,30.0,31.0,0.0,1096.0
Kent,Not reported,*Total Not reported,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kent,Tactical communication,Tactical communication,4314.0,351.0,147.0,99.0,93.0,0.0,5004.0
Lancashire,Total (excluding not reported and tactical communication),*Total Tactics,11664.0,330.0,869.0,131.0,31.0,427.0,13452.0
Lancashire,Restraint,*Total Restraint,5537.0,159.0,466.0,58.0,13.0,48.0,6281.0
Lancashire,Restraint,"Handcuffing, of which",4477.0,127.0,418.0,44.0,11.0,42.0,5119.0
Lancashire,Restraint,Compliant handcuffing,:,:,:,:,:,:,:
Lancashire,Restraint,Non-compliant handcuffing,:,:,:,:,:,:,:
Lancashire,Restraint,Handcuffing not stated,4477.0,127.0,418.0,44.0,11.0,42.0,5119.0
Lancashire,Restraint,Limb / Body restraints,274.0,9.0,9.0,2.0,0.0,2.0,296.0
Lancashire,Restraint,Ground restraint,786.0,23.0,39.0,12.0,2.0,4.0,866.0
Lancashire,Unarmed skills,*Total Unarmed skills,4159.0,113.0,265.0,46.0,14.0,252.0,4849.0
Lancashire,Other equipment,*Total Other equipment,1028.0,29.0,74.0,14.0,2.0,32.0,1179.0
Lancashire,Other equipment,"Baton, of which",76.0,1.0,13.0,3.0,1.0,14.0,108.0
Lancashire,Other equipment,Baton drawn,35.0,0.0,7.0,2.0,1.0,11.0,56.0
Lancashire,Other equipment,Baton used,41.0,1.0,6.0,1.0,0.0,3.0,52.0
Lancashire,Other equipment,Baton not stated,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lancashire,Other equipment,"Irritant spray, of which",840.0,27.0,60.0,11.0,1.0,18.0,957.0
Lancashire,Other equipment,Irritant spray - drawn,228.0,8.0,20.0,5.0,0.0,11.0,272.0
Lancashire,Other equipment,Irritant spray - used,612.0,19.0,40.0,6.0,1.0,7.0,685.0
Lancashire,Other equipment,Irritant spray not stated,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lancashire,Other equipment,Spit and bite guard,104.0,1.0,1.0,0.0,0.0,0.0,106.0
Lancashire,Other equipment,Shield,8.0,0.0,0.0,0.0,0.0,0.0,8.0
Lancashire,Less lethal weapons,*Total Less lethal weapons,389.0,13.0,36.0,9.0,0.0,4.0,451.0
Lancashire,Less lethal weapons,CED of which,381.0,13.0,36.0,9.0,0.0,4.0,443.0
Lancashire,Less lethal weapons,CED non-discharge,319.0,12.0,31.0,7.0,0.0,4.0,373.0
Lancashire,Less lethal weapons,CED discharge,62.0,1.0,5.0,2.0,0.0,0.0,70.0
Lancashire,Less lethal weapons,CED not stated,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lancashire,Less lethal weapons,"AEP, of which",8.0,0.0,0.0,0.0,0.0,0.0,8.0
Lancashire,Less lethal weapons,AEP drawn,6.0,0.0,0.0,0.0,0.0,0.0,6.0
Lancashire,Less lethal weapons,AEP used,2.0,0.0,0.0,0.0,0.0,0.0,2.0
Lancashire,Less lethal weapons,AEP not stated,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lancashire,Firearms,*Total Firearms,2.0,2.0,1.0,0.0,0.0,1.0,6.0
Lancashire,Other,*Total Other,549.0,14.0,27.0,4.0,2.0,90.0,686.0
Lancashire,Other,"Dog use, of which",57.0,1.0,7.0,0.0,0.0,1.0,66.0
Lancashire,Other,Dog deployed,33.0,1.0,5.0,0.0,0.0,0.0,39.0
Lancashire,Other,Dog bite,24.0,0.0,2.0,0.0,0.0,1.0,27.0
Lancashire,Other,Dog not stated,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lancashire,Other,Other / improvised,492.0,13.0,20.0,4.0,2.0,89.0,620.0
Lancashire,Not reported,*Total Not reported,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lancashire,Tactical communication,Tactical communication,5363.0,144.0,403.0,58.0,14.0,277.0,6259.0
Leicestershire,Total (excluding not reported and tactical communication),*Total Tactics,8756.0,1450.0,1239.0,343.0,120.0,139.0,12047.0
Leicestershire,Restraint,*Total Restraint,5703.0,954.0,899.0,232.0,100.0,69.0,7957.0
Leicestershire,Restraint,"Handcuffing, of which",5093.0,875.0,858.0,206.0,99.0,56.0,7187.0
Leicestershire,Restraint,Compliant handcuffing,3857.0,676.0,722.0,158.0,86.0,38.0,5537.0
Leicestershire,Restraint,Non-compliant handcuffing,1236.0,199.0,136.0,48.0,13.0,18.0,1650.0
Leicestershire,Restraint,Handcuffing not stated,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Leicestershire,Restraint,Limb / Body restraints,292.0,35.0,21.0,13.0,0.0,4.0,365.0
Leicestershire,Restraint,Ground restraint,318.0,44.0,20.0,13.0,1.0,9.0,405.0
Leicestershire,Unarmed skills,*Total Unarmed skills,1812.0,269.0,190.0,59.0,14.0,19.0,2363.0
