Tactic,Police Force,Force type - Output,Tactic - Output,health-condition,count
Ground restraint,Dorset,Restraint,Ground restraint,Physical and mental,29.0
*Total Unarmed skills,Dorset,Unarmed skills,Total: unarmed skills,Physical and mental,22.0
*Total Other equipment,Dorset,Other equipment,Total: Other equipment,Physical and mental,7.0
"Baton, of which",Dorset,Other equipment,Total: Baton,Physical and mental,0.0
Baton drawn,Dorset,Other equipment,Baton: drawn,Physical and mental,0.0
Baton used,Dorset,Other equipment,Baton: used,Physical and mental,0.0
Baton not stated,Dorset,,,Physical and mental,0.0
"Irritant spray, of which",Dorset,Other equipment,Total: Irritant spray,Physical and mental,2.0
Irritant spray - drawn,Dorset,Other equipment,Irritant spray: drawn,Physical and mental,0.0
Irritant spray - used,Dorset,Other equipment,Irritant spray: used,Physical and mental,2.0
Irritant spray not stated,Dorset,,,Physical and mental,0.0
Spit and bite guard,Dorset,Other equipment,Spit and bite guard,Physical and mental,4.0
Shield,Dorset,Other equipment,Shield,Physical and mental,1.0
*Total Less lethal weapons,Dorset,Less lethal weapons,Total: Less lethal weapons,Physical and mental,4.0
CED of which,Dorset,,,Physical and mental,4.0
CED non-discharge,Dorset,,,Physical and mental,4.0
CED discharge,Dorset,,,Physical and mental,0.0
CED not stated,Dorset,,,Physical and mental,0.0
"AEP, of which",Dorset,Less lethal weapons,Total: AEP,Physical and mental,0.0
AEP drawn,Dorset,,,Physical and mental,0.0
AEP used,Dorset,,,Physical and mental,0.0
AEP not stated,Dorset,,,Physical and mental,0.0
*Total Firearms,Dorset,Firearms,Total: Firearms,Physical and mental,0.0
*Total Other,Dorset,Other,Total: Other,Physical and mental,1.0
"Dog use, of which",Dorset,Other,Total: Dog,Physical and mental,0.0
Dog deployed,Dorset,Other,Dog: deployed,Physical and mental,0.0
Dog bite,Dorset,Other,Dog: bite,Physical and mental,0.0
Dog not stated,Dorset,,,Physical and mental,0.0
Other / improvised,Dorset,Other,Other / improvised,Physical and mental,1.0
*Total Not reported,Dorset,Not reported,Total: Not reported,Physical and mental,0.0
Tactical communication,Dorset,Excluded: Tactical Communication,Tactical Communication,Physical and mental,4.0
*Total Tactics,Durham,Total,Total: all,Physical and mental,7.0
*Total Restraint,Durham,Restraint,Total: Restraint,Physical and mental,3.0
"Handcuffing, of which",Durham,Restraint,Total: Handcuffing,Physical and mental,3.0
Compliant handcuffing,Durham,Restraint,Handcuffing: compliant,Physical and mental,2.0
Non-compliant handcuffing,Durham,Restraint,Handcuffing: non-compliant,Physical and mental,1.0
Handcuffing not stated,Durham,,,Physical and mental,0.0
Limb / Body restraints,Durham,Restraint,Limb / body restraints,Physical and mental,0.0
Ground restraint,Durham,Restraint,Ground restraint,Physical and mental,0.0
*Total Unarmed skills,Durham,Unarmed skills,Total: unarmed skills,Physical and mental,2.0
*Total Other equipment,Durham,Other equipment,Total: Other equipment,Physical and mental,0.0
"Baton, of which",Durham,Other equipment,Total: Baton,Physical and mental,0.0
Baton drawn,Durham,Other equipment,Baton: drawn,Physical and mental,0.0
Baton used,Durham,Other equipment,Baton: used,Physical and mental,0.0
Baton not stated,Durham,,,Physical and mental,0.0
"Irritant spray, of which",Durham,Other equipment,Total: Irritant spray,Physical and mental,0.0
Irritant spray - drawn,Durham,Other equipment,Irritant spray: drawn,Physical and mental,0.0
Irritant spray - used,Durham,Other equipment,Irritant spray: used,Physical and mental,0.0
Irritant spray not stated,Durham,,,Physical and mental,0.0
Spit and bite guard,Durham,Other equipment,Spit and bite guard,Physical and mental,0.0
Shield,Durham,Other equipment,Shield,Physical and mental,0.0
*Total Less lethal weapons,Durham,Less lethal weapons,Total: Less lethal weapons,Physical and mental,0.0
CED of which,Durham,,,Physical and mental,0.0
CED non-discharge,Durham,,,Physical and mental,0.0
CED discharge,Durham,,,Physical and mental,0.0
CED not stated,Durham,,,Physical and mental,0.0
"AEP, of which",Durham,Less lethal weapons,Total: AEP,Physical and mental,0.0
AEP drawn,Durham,,,Physical and mental,0.0
AEP used,Durham,,,Physical and mental,0.0
AEP not stated,Durham,,,Physical and mental,0.0
*Total Firearms,Durham,Firearms,Total: Firearms,Physical and mental,0.0
*Total Other,Durham,Other,Total: Other,Physical and mental,2.0
"Dog use, of which",Durham,Other,Total: Dog,Physical and mental,1.0
Dog deployed,Durham,Other,Dog: deployed,Physical and mental,1.0
Dog bite,Durham,Other,Dog: bite,Physical and mental,0.0
Dog not stated,Durham,,,Physical and mental,0.0
Other / improvised,Durham,Other,Other / improvised,Physical and mental,1.0
*Total Not reported,Durham,Not reported,Total: Not reported,Physical and mental,0.0
Tactical communication,Durham,Excluded: Tactical Communication,Tactical Communication,Physical and mental,2.0
*Total Tactics,Dyfed-Powys,Total,Total: all,Physical and mental,31.0
*Total Restraint,Dyfed-Powys,Restraint,Total: Restraint,Physical and mental,17.0
"Handcuffing, of which",Dyfed-Powys,Restraint,Total: Handcuffing,Physical and mental,16.0
Compliant handcuffing,Dyfed-Powys,Restraint,Handcuffing: compliant,Physical and mental,9.0
Non-compliant handcuffing,Dyfed-Powys,Restraint,Handcuffing: non-compliant,Physical and mental,7.0
Handcuffing not stated,Dyfed-Powys,,,Physical and mental,0.0
Limb / Body restraints,Dyfed-Powys,Restraint,Limb / body restraints,Physical and mental,0.0
Ground restraint,Dyfed-Powys,Restraint,Ground restraint,Physical and mental,1.0
*Total Unarmed skills,Dyfed-Powys,Unarmed skills,Total: unarmed skills,Physical and mental,11.0
*Total Other equipment,Dyfed-Powys,Other equipment,Total: Other equipment,Physical and mental,1.0
"Baton, of which",Dyfed-Powys,Other equipment,Total: Baton,Physical and mental,0.0
Baton drawn,Dyfed-Powys,Other equipment,Baton: drawn,Physical and mental,0.0
Baton used,Dyfed-Powys,Other equipment,Baton: used,Physical and mental,0.0
Baton not stated,Dyfed-Powys,,,Physical and mental,0.0
"Irritant spray, of which",Dyfed-Powys,Other equipment,Total: Irritant spray,Physical and mental,0.0
Irritant spray - drawn,Dyfed-Powys,Other equipment,Irritant spray: drawn,Physical and mental,0.0
Irritant spray - used,Dyfed-Powys,Other equipment,Irritant spray: used,Physical and mental,0.0
Irritant spray not stated,Dyfed-Powys,,,Physical and mental,0.0
Spit and bite guard,Dyfed-Powys,Other equipment,Spit and bite guard,Physical and mental,0.0
Shield,Dyfed-Powys,Other equipment,Shield,Physical and mental,1.0
*Total Less lethal weapons,Dyfed-Powys,Less lethal weapons,Total: Less lethal weapons,Physical and mental,2.0
CED of which,Dyfed-Powys,,,Physical and mental,2.0
CED non-discharge,Dyfed-Powys,,,Physical and mental,2.0
CED discharge,Dyfed-Powys,,,Physical and mental,0.0
CED not stated,Dyfed-Powys,,,Physical and mental,0.0
"AEP, of which",Dyfed-Powys,Less lethal weapons,Total: AEP,Physical and mental,0.0
AEP drawn,Dyfed-Powys,,,Physical and mental,0.0
AEP used,Dyfed-Powys,,,Physical and mental,0.0
AEP not stated,Dyfed-Powys,,,Physical and mental,0.0
*Total Firearms,Dyfed-Powys,Firearms,Total: Firearms,Physical and mental,0.0
*Total Other,Dyfed-Powys,Other,Total: Other,Physical and mental,0.0
"Dog use, of which",Dyfed-Powys,Other,Total: Dog,Physical and mental,0.0
Dog deployed,Dyfed-Powys,Other,Dog: deployed,Physical and mental,0.0
Dog bite,Dyfed-Powys,Other,Dog: bite,Physical and mental,0.0
Dog not stated,Dyfed-Powys,,,Physical and mental,0.0
Other / improvised,Dyfed-Powys,Other,Other / improvised,Physical and mental,0.0
*Total Not reported,Dyfed-Powys,Not reported,Total: Not reported,Physical and mental,0.0
Tactical communication,Dyfed-Powys,Excluded: Tactical Communication,Tactical Communication,Physical and mental,18.0
*Total Tactics,Essex,Total,Total: all,Physical and mental,58.0
*Total Restraint,Essex,Restraint,Total: Restraint,Physical and mental,34.0
"Handcuffing, of which",Essex,Restraint,Total: Handcuffing,Physical and mental,22.0
Compliant handcuffing,Essex,Restraint,Handcuffing: compliant,Physical and mental,8.0
Non-compliant handcuffing,Essex,Restraint,Handcuffing: non-compliant,Physical and mental,14.0
Handcuffing not stated,Essex,,,Physical and mental,0.0
Limb / Body restraints,Essex,Restraint,Limb / body restraints,Physical and mental,5.0
Ground restraint,Essex,Restraint,Ground restraint,Physical and mental,7.0
*Total Unarmed skills,Essex,Unarmed skills,Total: unarmed skills,Physical and mental,16.0
*Total Other equipment,Essex,Other equipment,Total: Other equipment,Physical and mental,2.0
"Baton, of which",Essex,Other equipment,Total: Baton,Physical and mental,0.0
Baton drawn,Essex,Other equipment,Baton: drawn,Physical and mental,0.0
Baton used,Essex,Other equipment,Baton: used,Physical and mental,0.0
Baton not stated,Essex,,,Physical and mental,0.0
"Irritant spray, of which",Essex,Other equipment,Total: Irritant spray,Physical and mental,0.0
Irritant spray - drawn,Essex,Other equipment,Irritant spray: drawn,Physical and mental,0.0
Irritant spray - used,Essex,Other equipment,Irritant spray: used,Physical and mental,0.0
Irritant spray not stated,Essex,,,Physical and mental,0.0
Spit and bite guard,Essex,Other equipment,Spit and bite guard,Physical and mental,2.0
Shield,Essex,Other equipment,Shield,Physical and mental,0.0
*Total Less lethal weapons,Essex,Less lethal weapons,Total: Less lethal weapons,Physical and mental,2.0
CED of which,Essex,,,Physical and mental,2.0
CED non-discharge,Essex,,,Physical and mental,1.0
CED discharge,Essex,,,Physical and mental,1.0
CED not stated,Essex,,,Physical and mental,0.0
"AEP, of which",Essex,Less lethal weapons,Total: AEP,Physical and mental,0.0
AEP drawn,Essex,,,Physical and mental,0.0
AEP used,Essex,,,Physical and mental,0.0
AEP not stated,Essex,,,Physical and mental,0.0
*Total Firearms,Essex,Firearms,Total: Firearms,Physical and mental,0.0
*Total Other,Essex,Other,Total: Other,Physical and mental,4.0
"Dog use, of which",Essex,Other,Total: Dog,Physical and mental,0.0
Dog deployed,Essex,Other,Dog: deployed,Physical and mental,0.0
Dog bite,Essex,Other,Dog: bite,Physical and mental,0.0
Dog not stated,Essex,,,Physical and mental,0.0
Other / improvised,Essex,Other,Other / improvised,Physical and mental,4.0
*Total Not reported,Essex,Not reported,Total: Not reported,Physical and mental,0.0
Tactical communication,Essex,Excluded: Tactical Communication,Tactical Communication,Physical and mental,18.0
*Total Tactics,Gloucestershire,Total,Total: all,Physical and mental,8.0
*Total Restraint,Gloucestershire,Restraint,Total: Restraint,Physical and mental,7.0
"Handcuffing, of which",Gloucestershire,Restraint,Total: Handcuffing,Physical and mental,2.0
Compliant handcuffing,Gloucestershire,Restraint,Handcuffing: compliant,Physical and mental,2.0
Non-compliant handcuffing,Gloucestershire,Restraint,Handcuffing: non-compliant,Physical and mental,0.0
Handcuffing not stated,Gloucestershire,,,Physical and mental,0.0
Limb / Body restraints,Gloucestershire,Restraint,Limb / body restraints,Physical and mental,3.0
Ground restraint,Gloucestershire,Restraint,Ground restraint,Physical and mental,2.0
*Total Unarmed skills,Gloucestershire,Unarmed skills,Total: unarmed skills,Physical and mental,1.0
*Total Other equipment,Gloucestershire,Other equipment,Total: Other equipment,Physical and mental,0.0
"Baton, of which",Gloucestershire,Other equipment,Total: Baton,Physical and mental,0.0
Baton drawn,Gloucestershire,Other equipment,Baton: drawn,Physical and mental,0.0
Baton used,Gloucestershire,Other equipment,Baton: used,Physical and mental,0.0
Baton not stated,Gloucestershire,,,Physical and mental,0.0
"Irritant spray, of which",Gloucestershire,Other equipment,Total: Irritant spray,Physical and mental,0.0
Irritant spray - drawn,Gloucestershire,Other equipment,Irritant spray: drawn,Physical and mental,0.0
Irritant spray - used,Gloucestershire,Other equipment,Irritant spray: used,Physical and mental,0.0
Irritant spray not stated,Gloucestershire,,,Physical and mental,0.0
Spit and bite guard,Gloucestershire,Other equipment,Spit and bite guard,Physical and mental,0.0
Shield,Gloucestershire,Other equipment,Shield,Physical and mental,0.0
*Total Less lethal weapons,Gloucestershire,Less lethal weapons,Total: Less lethal weapons,Physical and mental,0.0
CED of which,Gloucestershire,,,Physical and mental,0.0
CED non-discharge,Gloucestershire,,,Physical and mental,0.0
CED discharge,Gloucestershire,,,Physical and mental,0.0
CED not stated,Gloucestershire,,,Physical and mental,0.0
"AEP, of which",Gloucestershire,Less lethal weapons,Total: AEP,Physical and mental,0.0
AEP drawn,Gloucestershire,,,Physical and mental,0.0
AEP used,Gloucestershire,,,Physical and mental,0.0
AEP not stated,Gloucestershire,,,Physical and mental,0.0
*Total Firearms,Gloucestershire,Firearms,Total: Firearms,Physical and mental,0.0
*Total Other,Gloucestershire,Other,Total: Other,Physical and mental,0.0
"Dog use, of which",Gloucestershire,Other,Total: Dog,Physical and mental,0.0
Dog deployed,Gloucestershire,Other,Dog: deployed,Physical and mental,0.0
Dog bite,Gloucestershire,Other,Dog: bite,Physical and mental,0.0
Dog not stated,Gloucestershire,,,Physical and mental,0.0
Other / improvised,Gloucestershire,Other,Other / improvised,Physical and mental,0.0
*Total Not reported,Gloucestershire,Not reported,Total: Not reported,Physical and mental,0.0
Tactical communication,Gloucestershire,Excluded: Tactical Communication,Tactical Communication,Physical and mental,4.0
*Total Tactics,Greater Manchester,Total,Total: all,Physical and mental,43.0
*Total Restraint,Greater Manchester,Restraint,Total: Restraint,Physical and mental,25.0
"Handcuffing, of which",Greater Manchester,Restraint,Total: Handcuffing,Physical and mental,9.0
Compliant handcuffing,Greater Manchester,Restraint,Handcuffing: compliant,Physical and mental,2.0
Non-compliant handcuffing,Greater Manchester,Restraint,Handcuffing: non-compliant,Physical and mental,7.0
Handcuffing not stated,Greater Manchester,,,Physical and mental,0.0
Limb / Body restraints,Greater Manchester,Restraint,Limb / body restraints,Physical and mental,11.0
Ground restraint,Greater Manchester,Restraint,Ground restraint,Physical and mental,5.0
*Total Unarmed skills,Greater Manchester,Unarmed skills,Total: unarmed skills,Physical and mental,7.0
*Total Other equipment,Greater Manchester,Other equipment,Total: Other equipment,Physical and mental,4.0
"Baton, of which",Greater Manchester,Other equipment,Total: Baton,Physical and mental,0.0
Baton drawn,Greater Manchester,Other equipment,Baton: drawn,Physical and mental,0.0
Baton used,Greater Manchester,Other equipment,Baton: used,Physical and mental,0.0
Baton not stated,Greater Manchester,,,Physical and mental,0.0
"Irritant spray, of which",Greater Manchester,Other equipment,Total: Irritant spray,Physical and mental,2.0
Irritant spray - drawn,Greater Manchester,Other equipment,Irritant spray: drawn,Physical and mental,1.0
Irritant spray - used,Greater Manchester,Other equipment,Irritant spray: used,Physical and mental,1.0
Irritant spray not stated,Greater Manchester,,,Physical and mental,0.0
Spit and bite guard,Greater Manchester,Other equipment,Spit and bite guard,Physical and mental,1.0
Shield,Greater Manchester,Other equipment,Shield,Physical and mental,1.0
*Total Less lethal weapons,Greater Manchester,Less lethal weapons,Total: Less lethal weapons,Physical and mental,6.0
CED of which,Greater Manchester,,,Physical and mental,6.0
CED non-discharge,Greater Manchester,,,Physical and mental,6.0
CED discharge,Greater Manchester,,,Physical and mental,0.0
CED not stated,Greater Manchester,,,Physical and mental,0.0
"AEP, of which",Greater Manchester,Less lethal weapons,Total: AEP,Physical and mental,0.0
AEP drawn,Greater Manchester,,,Physical and mental,0.0
AEP used,Greater Manchester,,,Physical and mental,0.0
AEP not stated,Greater Manchester,,,Physical and mental,0.0
*Total Firearms,Greater Manchester,Firearms,Total: Firearms,Physical and mental,0.0
*Total Other,Greater Manchester,Other,Total: Other,Physical and mental,1.0
"Dog use, of which",Greater Manchester,Other,Total: Dog,Physical and mental,0.0
Dog deployed,Greater Manchester,Other,Dog: deployed,Physical and mental,0.0
Dog bite,Greater Manchester,Other,Dog: bite,Physical and mental,0.0
Dog not stated,Greater Manchester,,,Physical and mental,0.0
Other / improvised,Greater Manchester,Other,Other / improvised,Physical and mental,1.0
*Total Not reported,Greater Manchester,Not reported,Total: Not reported,Physical and mental,0.0
Tactical communication,Greater Manchester,Excluded: Tactical Communication,Tactical Communication,Physical and mental,20.0
*Total Tactics,Gwent,Total,Total: all,Physical and mental,27.0
*Total Restraint,Gwent,Restraint,Total: Restraint,Physical and mental,14.0
"Handcuffing, of which",Gwent,Restraint,Total: Handcuffing,Physical and mental,13.0
Compliant handcuffing,Gwent,Restraint,Handcuffing: compliant,Physical and mental,6.0
Non-compliant handcuffing,Gwent,Restraint,Handcuffing: non-compliant,Physical and mental,7.0
Handcuffing not stated,Gwent,,,Physical and mental,0.0
Limb / Body restraints,Gwent,Restraint,Limb / body restraints,Physical and mental,0.0
Ground restraint,Gwent,Restraint,Ground restraint,Physical and mental,1.0
*Total Unarmed skills,Gwent,Unarmed skills,Total: unarmed skills,Physical and mental,8.0
*Total Other equipment,Gwent,Other equipment,Total: Other equipment,Physical and mental,4.0
"Baton, of which",Gwent,Other equipment,Total: Baton,Physical and mental,0.0
Baton drawn,Gwent,Other equipment,Baton: drawn,Physical and mental,0.0
Baton used,Gwent,Other equipment,Baton: used,Physical and mental,0.0
Baton not stated,Gwent,,,Physical and mental,0.0
"Irritant spray, of which",Gwent,Other equipment,Total: Irritant spray,Physical and mental,2.0
Irritant spray - drawn,Gwent,Other equipment,Irritant spray: drawn,Physical and mental,1.0
Irritant spray - used,Gwent,Other equipment,Irritant spray: used,Physical and mental,1.0
Irritant spray not stated,Gwent,,,Physical and mental,0.0
Spit and bite guard,Gwent,Other equipment,Spit and bite guard,Physical and mental,2.0
Shield,Gwent,Other equipment,Shield,Physical and mental,0.0
*Total Less lethal weapons,Gwent,Less lethal weapons,Total: Less lethal weapons,Physical and mental,0.0
CED of which,Gwent,,,Physical and mental,0.0
CED non-discharge,Gwent,,,Physical and mental,0.0
CED discharge,Gwent,,,Physical and mental,0.0
CED not stated,Gwent,,,Physical and mental,0.0
"AEP, of which",Gwent,Less lethal weapons,Total: AEP,Physical and mental,0.0
AEP drawn,Gwent,,,Physical and mental,0.0
AEP used,Gwent,,,Physical and mental,0.0
AEP not stated,Gwent,,,Physical and mental,0.0
*Total Firearms,Gwent,Firearms,Total: Firearms,Physical and mental,0.0
*Total Other,Gwent,Other,Total: Other,Physical and mental,1.0
"Dog use, of which",Gwent,Other,Total: Dog,Physical and mental,0.0
Dog deployed,Gwent,Other,Dog: deployed,Physical and mental,0.0
Dog bite,Gwent,Other,Dog: bite,Physical and mental,0.0
Dog not stated,Gwent,,,Physical and mental,0.0
Other / improvised,Gwent,Other,Other / improvised,Physical and mental,1.0
*Total Not reported,Gwent,Not reported,Total: Not reported,Physical and mental,2.0
Tactical communication,Gwent,Excluded: Tactical Communication,Tactical Communication,Physical and mental,5.0
*Total Tactics,Hampshire,Total,Total: all,Physical and mental,42.0
*Total Restraint,Hampshire,Restraint,Total: Restraint,Physical and mental,20.0
"Handcuffing, of which",Hampshire,Restraint,Total: Handcuffing,Physical and mental,11.0
Compliant handcuffing,Hampshire,Restraint,Handcuffing: compliant,Physical and mental,0.0
Non-compliant handcuffing,Hampshire,Restraint,Handcuffing: non-compliant,Physical and mental,11.0
Handcuffing not stated,Hampshire,,,Physical and mental,0.0
Limb / Body restraints,Hampshire,Restraint,Limb / body restraints,Physical and mental,6.0
Ground restraint,Hampshire,Restraint,Ground restraint,Physical and mental,3.0
*Total Unarmed skills,Hampshire,Unarmed skills,Total: unarmed skills,Physical and mental,15.0
*Total Other equipment,Hampshire,Other equipment,Total: Other equipment,Physical and mental,1.0
"Baton, of which",Hampshire,Other equipment,Total: Baton,Physical and mental,0.0
Baton drawn,Hampshire,Other equipment,Baton: drawn,Physical and mental,0.0
Baton used,Hampshire,Other equipment,Baton: used,Physical and mental,0.0
Baton not stated,Hampshire,,,Physical and mental,0.0
"Irritant spray, of which",Hampshire,Other equipment,Total: Irritant spray,Physical and mental,0.0
Irritant spray - drawn,Hampshire,Other equipment,Irritant spray: drawn,Physical and mental,0.0
Irritant spray - used,Hampshire,Other equipment,Irritant spray: used,Physical and mental,0.0
Irritant spray not stated,Hampshire,,,Physical and mental,0.0
Spit and bite guard,Hampshire,Other equipment,Spit and bite guard,Physical and mental,1.0
Shield,Hampshire,Other equipment,Shield,Physical and mental,0.0
*Total Less lethal weapons,Hampshire,Less lethal weapons,Total: Less lethal weapons,Physical and mental,2.0
CED of which,Hampshire,,,Physical and mental,2.0
CED non-discharge,Hampshire,,,Physical and mental,1.0
CED discharge,Hampshire,,,Physical and mental,0.0
CED not stated,Hampshire,,,Physical and mental,1.0
"AEP, of which",Hampshire,Less lethal weapons,Total: AEP,Physical and mental,0.0
AEP drawn,Hampshire,,,Physical and mental,0.0
AEP used,Hampshire,,,Physical and mental,0.0
AEP not stated,Hampshire,,,Physical and mental,0.0
*Total Firearms,Hampshire,Firearms,Total: Firearms,Physical and mental,0.0
*Total Other,Hampshire,Other,Total: Other,Physical and mental,4.0
"Dog use, of which",Hampshire,Other,Total: Dog,Physical and mental,0.0
Dog deployed,Hampshire,Other,Dog: deployed,Physical and mental,0.0
Dog bite,Hampshire,Other,Dog: bite,Physical and mental,0.0
Dog not stated,Hampshire,,,Physical and mental,0.0
Other / improvised,Hampshire,Other,Other / improvised,Physical and mental,4.0
*Total Not reported,Hampshire,Not reported,Total: Not reported,Physical and mental,0.0
Tactical communication,Hampshire,Excluded: Tactical Communication,Tactical Communication,Physical and mental,19.0
*Total Tactics,Hertfordshire,Total,Total: all,Physical and mental,149.0
*Total Restraint,Hertfordshire,Restraint,Total: Restraint,Physical and mental,77.0
"Handcuffing, of which",Hertfordshire,Restraint,Total: Handcuffing,Physical and mental,47.0
Compliant handcuffing,Hertfordshire,Restraint,Handcuffing: compliant,Physical and mental,18.0
Non-compliant handcuffing,Hertfordshire,Restraint,Handcuffing: non-compliant,Physical and mental,29.0
Handcuffing not stated,Hertfordshire,,,Physical and mental,0.0
Limb / Body restraints,Hertfordshire,Restraint,Limb / body restraints,Physical and mental,9.0
Ground restraint,Hertfordshire,Restraint,Ground restraint,Physical and mental,21.0
*Total Unarmed skills,Hertfordshire,Unarmed skills,Total: unarmed skills,Physical and mental,54.0
*Total Other equipment,Hertfordshire,Other equipment,Total: Other equipment,Physical and mental,12.0
"Baton, of which",Hertfordshire,Other equipment,Total: Baton,Physical and mental,5.0
Baton drawn,Hertfordshire,Other equipment,Baton: drawn,Physical and mental,3.0
Baton used,Hertfordshire,Other equipment,Baton: used,Physical and mental,2.0
Baton not stated,Hertfordshire,,,Physical and mental,0.0
"Irritant spray, of which",Hertfordshire,Other equipment,Total: Irritant spray,Physical and mental,2.0
Irritant spray - drawn,Hertfordshire,Other equipment,Irritant spray: drawn,Physical and mental,1.0
Irritant spray - used,Hertfordshire,Other equipment,Irritant spray: used,Physical and mental,1.0
Irritant spray not stated,Hertfordshire,,,Physical and mental,0.0
Spit and bite guard,Hertfordshire,Other equipment,Spit and bite guard,Physical and mental,4.0
Shield,Hertfordshire,Other equipment,Shield,Physical and mental,1.0
*Total Less lethal weapons,Hertfordshire,Less lethal weapons,Total: Less lethal weapons,Physical and mental,2.0
CED of which,Hertfordshire,,,Physical and mental,2.0
CED non-discharge,Hertfordshire,,,Physical and mental,2.0
CED discharge,Hertfordshire,,,Physical and mental,0.0
CED not stated,Hertfordshire,,,Physical and mental,0.0
"AEP, of which",Hertfordshire,Less lethal weapons,Total: AEP,Physical and mental,0.0
AEP drawn,Hertfordshire,,,Physical and mental,0.0
AEP used,Hertfordshire,,,Physical and mental,0.0
AEP not stated,Hertfordshire,,,Physical and mental,0.0
*Total Firearms,Hertfordshire,Firearms,Total: Firearms,Physical and mental,1.0
*Total Other,Hertfordshire,Other,Total: Other,Physical and mental,3.0
"Dog use, of which",Hertfordshire,Other,Total: Dog,Physical and mental,0.0
Dog deployed,Hertfordshire,Other,Dog: deployed,Physical and mental,0.0
Dog bite,Hertfordshire,Other,Dog: bite,Physical and mental,0.0
Dog not stated,Hertfordshire,,,Physical and mental,0.0
Other / improvised,Hertfordshire,Other,Other / improvised,Physical and mental,3.0
*Total Not reported,Hertfordshire,Not reported,Total: Not reported,Physical and mental,0.0
Tactical communication,Hertfordshire,Excluded: Tactical Communication,Tactical Communication,Physical and mental,80.0
*Total Tactics,Humberside,Total,Total: all,Physical and mental,26.0
*Total Restraint,Humberside,Restraint,Total: Restraint,Physical and mental,11.0
"Handcuffing, of which",Humberside,Restraint,Total: Handcuffing,Physical and mental,7.0
Compliant handcuffing,Humberside,Restraint,Handcuffing: compliant,Physical and mental,3.0
Non-compliant handcuffing,Humberside,Restraint,Handcuffing: non-compliant,Physical and mental,4.0
Handcuffing not stated,Humberside,,,Physical and mental,0.0
Limb / Body restraints,Humberside,Restraint,Limb / body restraints,Physical and mental,2.0
Ground restraint,Humberside,Restraint,Ground restraint,Physical and mental,2.0
*Total Unarmed skills,Humberside,Unarmed skills,Total: unarmed skills,Physical and mental,8.0
*Total Other equipment,Humberside,Other equipment,Total: Other equipment,Physical and mental,2.0
"Baton, of which",Humberside,Other equipment,Total: Baton,Physical and mental,0.0
Baton drawn,Humberside,Other equipment,Baton: drawn,Physical and mental,0.0
Baton used,Humberside,Other equipment,Baton: used,Physical and mental,0.0
Baton not stated,Humberside,,,Physical and mental,0.0
"Irritant spray, of which",Humberside,Other equipment,Total: Irritant spray,Physical and mental,0.0
Irritant spray - drawn,Humberside,Other equipment,Irritant spray: drawn,Physical and mental,0.0
Irritant spray - used,Humberside,Other equipment,Irritant spray: used,Physical and mental,0.0
Irritant spray not stated,Humberside,,,Physical and mental,0.0
Spit and bite guard,Humberside,Other equipment,Spit and bite guard,Physical and mental,2.0
Shield,Humberside,Other equipment,Shield,Physical and mental,0.0
*Total Less lethal weapons,Humberside,Less lethal weapons,Total: Less lethal weapons,Physical and mental,3.0
CED of which,Humberside,,,Physical and mental,3.0
CED non-discharge,Humberside,,,Physical and mental,3.0
CED discharge,Humberside,,,Physical and mental,0.0
CED not stated,Humberside,,,Physical and mental,0.0
"AEP, of which",Humberside,Less lethal weapons,Total: AEP,Physical and mental,0.0
AEP drawn,Humberside,,,Physical and mental,0.0
AEP used,Humberside,,,Physical and mental,0.0
AEP not stated,Humberside,,,Physical and mental,0.0
*Total Firearms,Humberside,Firearms,Total: Firearms,Physical and mental,0.0
*Total Other,Humberside,Other,Total: Other,Physical and mental,2.0
"Dog use, of which",Humberside,Other,Total: Dog,Physical and mental,1.0
Dog deployed,Humberside,Other,Dog: deployed,Physical and mental,0.0
Dog bite,Humberside,Other,Dog: bite,Physical and mental,1.0
Dog not stated,Humberside,,,Physical and mental,0.0
Other / improvised,Humberside,Other,Other / improvised,Physical and mental,1.0
*Total Not reported,Humberside,Not reported,Total: Not reported,Physical and mental,0.0
Tactical communication,Humberside,Excluded: Tactical Communication,Tactical Communication,Physical and mental,12.0
*Total Tactics,Kent,Total,Total: all,Physical and mental,41.0
*Total Restraint,Kent,Restraint,Total: Restraint,Physical and mental,31.0
"Handcuffing, of which",Kent,Restraint,Total: Handcuffing,Physical and mental,16.0
Compliant handcuffing,Kent,Restraint,Handcuffing: compliant,Physical and mental,8.0
Non-compliant handcuffing,Kent,Restraint,Handcuffing: non-compliant,Physical and mental,8.0
Handcuffing not stated,Kent,,,Physical and mental,0.0
Limb / Body restraints,Kent,Restraint,Limb / body restraints,Physical and mental,11.0
Ground restraint,Kent,Restraint,Ground restraint,Physical and mental,4.0
*Total Unarmed skills,Kent,Unarmed skills,Total: unarmed skills,Physical and mental,4.0
*Total Other equipment,Kent,Other equipment,Total: Other equipment,Physical and mental,0.0
"Baton, of which",Kent,Other equipment,Total: Baton,Physical and mental,0.0
Baton drawn,Kent,Other equipment,Baton: drawn,Physical and mental,0.0
Baton used,Kent,Other equipment,Baton: used,Physical and mental,0.0
Baton not stated,Kent,,,Physical and mental,0.0
"Irritant spray, of which",Kent,Other equipment,Total: Irritant spray,Physical and mental,0.0
Irritant spray - drawn,Kent,Other equipment,Irritant spray: drawn,Physical and mental,
Irritant spray - used,Kent,Other equipment,Irritant spray: used,Physical and mental,
