Tactic,Police Force,Force type - Output,Tactic - Output,Age,count
*Total Tactics,Wiltshire,Total,Total: all,35 - 49 years,544.0
*Total Restraint,Wiltshire,Restraint,Total: Restraint,35 - 49 years,300.0
"Handcuffing, of which",Wiltshire,Restraint,Total: Handcuffing,35 - 49 years,240.0
Compliant handcuffing,Wiltshire,Restraint,Handcuffing: compliant,35 - 49 years,101.0
Non-compliant handcuffing,Wiltshire,Restraint,Handcuffing: non-compliant,35 - 49 years,62.0
Not stated handcuffing,Wiltshire,Restraint,Handcuffing: not stated,35 - 49 years,77.0
Limb / Body restraints,Wiltshire,Restraint,Limb / body restraints,35 - 49 years,15.0
Ground restraint,Wiltshire,Restraint,Ground restraint,35 - 49 years,45.0
*Total Unarmed skills,Wiltshire,Unarmed skills,Total: unarmed skills,35 - 49 years,131.0
*Total Other equipment,Wiltshire,Other equipment,Total: Other equipment,35 - 49 years,24.0
"Baton, of which",Wiltshire,Other equipment,Total: Baton,35 - 49 years,6.0
Baton drawn,Wiltshire,Other equipment,Baton: drawn,35 - 49 years,2.0
Baton used,Wiltshire,Other equipment,Baton: used,35 - 49 years,4.0
Not stated baton,Wiltshire,Other equipment,Baton: not stated,35 - 49 years,0.0
"Irritant spray, of which",Wiltshire,Other equipment,Total: Irritant spray,35 - 49 years,18.0
Irritant spray - drawn,Wiltshire,Other equipment,Irritant spray: drawn,35 - 49 years,3.0
Irritant spray - used,Wiltshire,Other equipment,Irritant spray: used,35 - 49 years,8.0
Not stated irritant spray,Wiltshire,Other equipment,Irritant spray: not stated,35 - 49 years,7.0
Spit and bite guard,Wiltshire,Other equipment,Spit and bite guard,35 - 49 years,0.0
Shield,Wiltshire,Other equipment,Shield,35 - 49 years,0.0
*Total Less lethal weapons,Wiltshire,Less lethal weapons,Total: Less lethal weapons,35 - 49 years,72.0
CED,Wiltshire,Less lethal weapons,CED,35 - 49 years,72.0
"AEP, of which",Wiltshire,Less lethal weapons,Total: AEP,35 - 49 years,0.0
AEP aimed,Wiltshire,Less lethal weapons,AEP: Aimed,35 - 49 years,0.0
AEP fired,Wiltshire,Less lethal weapons,AEP: Fired,35 - 49 years,0.0
Not stated AEP,Wiltshire,Less lethal weapons,AEP: Not stated,35 - 49 years,0.0
*Total Firearms,Wiltshire,Firearms,Total: Firearms,35 - 49 years,0.0
*Total Other,Wiltshire,Other,Total: Other,35 - 49 years,17.0
"Dog use, of which",Wiltshire,Other,Total: Dog,35 - 49 years,1.0
Dog deployed,Wiltshire,Other,Dog: deployed,35 - 49 years,0.0
Dog bite,Wiltshire,Other,Dog: bite,35 - 49 years,1.0
Not stated dog,Wiltshire,Other,Dog: not stated,35 - 49 years,0.0
Other / improvised,Wiltshire,Other,Other / improvised,35 - 49 years,16.0
*Total Not reported,Wiltshire,Not reported,Total: Not reported,35 - 49 years,22.0
Tactical communication,Wiltshire,Excluded: Tactical Communication,Tactical Communication,35 - 49 years,109.0
*Total Tactics,Total England and Wales,Total,Total: all,50 - 64 years,35924.0
*Total Restraint,Total England and Wales,Restraint,Total: Restraint,50 - 64 years,23006.0
"Handcuffing, of which",Total England and Wales,Restraint,Total: Handcuffing,50 - 64 years,18410.0
Compliant handcuffing,Total England and Wales,Restraint,Handcuffing: compliant,50 - 64 years,10850.0
Non-compliant handcuffing,Total England and Wales,Restraint,Handcuffing: non-compliant,50 - 64 years,6826.0
Not stated handcuffing,Total England and Wales,Restraint,Handcuffing: not stated,50 - 64 years,734.0
Limb / Body restraints,Total England and Wales,Restraint,Limb / body restraints,50 - 64 years,1588.0
Ground restraint,Total England and Wales,Restraint,Ground restraint,50 - 64 years,3008.0
*Total Unarmed skills,Total England and Wales,Unarmed skills,Total: unarmed skills,50 - 64 years,8199.0
*Total Other equipment,Total England and Wales,Other equipment,Total: Other equipment,50 - 64 years,1398.0
"Baton, of which",Total England and Wales,Other equipment,Total: Baton,50 - 64 years,263.0
Baton drawn,Total England and Wales,Other equipment,Baton: drawn,50 - 64 years,175.0
Baton used,Total England and Wales,Other equipment,Baton: used,50 - 64 years,77.0
Not stated baton,Total England and Wales,Other equipment,Baton: not stated,50 - 64 years,11.0
"Irritant spray, of which",Total England and Wales,Other equipment,Total: Irritant spray,50 - 64 years,855.0
Irritant spray - drawn,Total England and Wales,Other equipment,Irritant spray: drawn,50 - 64 years,380.0
Irritant spray - used,Total England and Wales,Other equipment,Irritant spray: used,50 - 64 years,452.0
Not stated irritant spray,Total England and Wales,Other equipment,Irritant spray: not stated,50 - 64 years,23.0
Spit and bite guard,Total England and Wales,Other equipment,Spit and bite guard,50 - 64 years,213.0
Shield,Total England and Wales,Other equipment,Shield,50 - 64 years,67.0
*Total Less lethal weapons,Total England and Wales,Less lethal weapons,Total: Less lethal weapons,50 - 64 years,1450.0
CED,Total England and Wales,Less lethal weapons,CED,50 - 64 years,1391.0
"AEP, of which",Total England and Wales,Less lethal weapons,Total: AEP,50 - 64 years,59.0
AEP aimed,Total England and Wales,Less lethal weapons,AEP: Aimed,50 - 64 years,47.0
AEP fired,Total England and Wales,Less lethal weapons,AEP: Fired,50 - 64 years,3.0
Not stated AEP,Total England and Wales,Less lethal weapons,AEP: Not stated,50 - 64 years,9.0
*Total Firearms,Total England and Wales,Firearms,Total: Firearms,50 - 64 years,308.0
*Total Other,Total England and Wales,Other,Total: Other,50 - 64 years,1563.0
"Dog use, of which",Total England and Wales,Other,Total: Dog,50 - 64 years,38.0
Dog deployed,Total England and Wales,Other,Dog: deployed,50 - 64 years,30.0
Dog bite,Total England and Wales,Other,Dog: bite,50 - 64 years,7.0
Not stated dog,Total England and Wales,Other,Dog: not stated,50 - 64 years,1.0
Other / improvised,Total England and Wales,Other,Other / improvised,50 - 64 years,1525.0
*Total Not reported,Total England and Wales,Not reported,Total: Not reported,50 - 64 years,63.0
Tactical communication,Total England and Wales,Excluded: Tactical Communication,Tactical Communication,50 - 64 years,12130.0
*Total Tactics,Avon & Somerset,Total,Total: all,50 - 64 years,1084.0
*Total Restraint,Avon & Somerset,Restraint,Total: Restraint,50 - 64 years,668.0
"Handcuffing, of which",Avon & Somerset,Restraint,Total: Handcuffing,50 - 64 years,475.0
Compliant handcuffing,Avon & Somerset,Restraint,Handcuffing: compliant,50 - 64 years,262.0
Non-compliant handcuffing,Avon & Somerset,Restraint,Handcuffing: non-compliant,50 - 64 years,213.0
Not stated handcuffing,Avon & Somerset,Restraint,Handcuffing: not stated,50 - 64 years,0.0
Limb / Body restraints,Avon & Somerset,Restraint,Limb / body restraints,50 - 64 years,35.0
Ground restraint,Avon & Somerset,Restraint,Ground restraint,50 - 64 years,158.0
*Total Unarmed skills,Avon & Somerset,Unarmed skills,Total: unarmed skills,50 - 64 years,233.0
*Total Other equipment,Avon & Somerset,Other equipment,Total: Other equipment,50 - 64 years,97.0
"Baton, of which",Avon & Somerset,Other equipment,Total: Baton,50 - 64 years,7.0
Baton drawn,Avon & Somerset,Other equipment,Baton: drawn,50 - 64 years,5.0
Baton used,Avon & Somerset,Other equipment,Baton: used,50 - 64 years,2.0
Not stated baton,Avon & Somerset,Other equipment,Baton: not stated,50 - 64 years,0.0
"Irritant spray, of which",Avon & Somerset,Other equipment,Total: Irritant spray,50 - 64 years,67.0
Irritant spray - drawn,Avon & Somerset,Other equipment,Irritant spray: drawn,50 - 64 years,38.0
Irritant spray - used,Avon & Somerset,Other equipment,Irritant spray: used,50 - 64 years,29.0
Not stated irritant spray,Avon & Somerset,Other equipment,Irritant spray: not stated,50 - 64 years,0.0
Spit and bite guard,Avon & Somerset,Other equipment,Spit and bite guard,50 - 64 years,19.0
Shield,Avon & Somerset,Other equipment,Shield,50 - 64 years,4.0
*Total Less lethal weapons,Avon & Somerset,Less lethal weapons,Total: Less lethal weapons,50 - 64 years,61.0
CED,Avon & Somerset,Less lethal weapons,CED,50 - 64 years,55.0
"AEP, of which",Avon & Somerset,Less lethal weapons,Total: AEP,50 - 64 years,6.0
AEP aimed,Avon & Somerset,Less lethal weapons,AEP: Aimed,50 - 64 years,5.0
AEP fired,Avon & Somerset,Less lethal weapons,AEP: Fired,50 - 64 years,1.0
Not stated AEP,Avon & Somerset,Less lethal weapons,AEP: Not stated,50 - 64 years,0.0
*Total Firearms,Avon & Somerset,Firearms,Total: Firearms,50 - 64 years,3.0
*Total Other,Avon & Somerset,Other,Total: Other,50 - 64 years,22.0
"Dog use, of which",Avon & Somerset,Other,Total: Dog,50 - 64 years,0.0
Dog deployed,Avon & Somerset,Other,Dog: deployed,50 - 64 years,0.0
Dog bite,Avon & Somerset,Other,Dog: bite,50 - 64 years,0.0
Not stated dog,Avon & Somerset,Other,Dog: not stated,50 - 64 years,0.0
Other / improvised,Avon & Somerset,Other,Other / improvised,50 - 64 years,22.0
*Total Not reported,Avon & Somerset,Not reported,Total: Not reported,50 - 64 years,0.0
Tactical communication,Avon & Somerset,Excluded: Tactical Communication,Tactical Communication,50 - 64 years,572.0
*Total Tactics,Bedfordshire,Total,Total: all,50 - 64 years,324.0
*Total Restraint,Bedfordshire,Restraint,Total: Restraint,50 - 64 years,194.0
"Handcuffing, of which",Bedfordshire,Restraint,Total: Handcuffing,50 - 64 years,146.0
Compliant handcuffing,Bedfordshire,Restraint,Handcuffing: compliant,50 - 64 years,79.0
Non-compliant handcuffing,Bedfordshire,Restraint,Handcuffing: non-compliant,50 - 64 years,67.0
Not stated handcuffing,Bedfordshire,Restraint,Handcuffing: not stated,50 - 64 years,0.0
Limb / Body restraints,Bedfordshire,Restraint,Limb / body restraints,50 - 64 years,22.0
Ground restraint,Bedfordshire,Restraint,Ground restraint,50 - 64 years,26.0
*Total Unarmed skills,Bedfordshire,Unarmed skills,Total: unarmed skills,50 - 64 years,88.0
*Total Other equipment,Bedfordshire,Other equipment,Total: Other equipment,50 - 64 years,12.0
"Baton, of which",Bedfordshire,Other equipment,Total: Baton,50 - 64 years,0.0
Baton drawn,Bedfordshire,Other equipment,Baton: drawn,50 - 64 years,0.0
Baton used,Bedfordshire,Other equipment,Baton: used,50 - 64 years,0.0
Not stated baton,Bedfordshire,Other equipment,Baton: not stated,50 - 64 years,0.0
"Irritant spray, of which",Bedfordshire,Other equipment,Total: Irritant spray,50 - 64 years,9.0
Irritant spray - drawn,Bedfordshire,Other equipment,Irritant spray: drawn,50 - 64 years,6.0
Irritant spray - used,Bedfordshire,Other equipment,Irritant spray: used,50 - 64 years,3.0
Not stated irritant spray,Bedfordshire,Other equipment,Irritant spray: not stated,50 - 64 years,0.0
Spit and bite guard,Bedfordshire,Other equipment,Spit and bite guard,50 - 64 years,3.0
Shield,Bedfordshire,Other equipment,Shield,50 - 64 years,0.0
*Total Less lethal weapons,Bedfordshire,Less lethal weapons,Total: Less lethal weapons,50 - 64 years,19.0
CED,Bedfordshire,Less lethal weapons,CED,50 - 64 years,17.0
"AEP, of which",Bedfordshire,Less lethal weapons,Total: AEP,50 - 64 years,2.0
AEP aimed,Bedfordshire,Less lethal weapons,AEP: Aimed,50 - 64 years,1.0
AEP fired,Bedfordshire,Less lethal weapons,AEP: Fired,50 - 64 years,0.0
Not stated AEP,Bedfordshire,Less lethal weapons,AEP: Not stated,50 - 64 years,1.0
*Total Firearms,Bedfordshire,Firearms,Total: Firearms,50 - 64 years,2.0
*Total Other,Bedfordshire,Other,Total: Other,50 - 64 years,9.0
"Dog use, of which",Bedfordshire,Other,Total: Dog,50 - 64 years,0.0
Dog deployed,Bedfordshire,Other,Dog: deployed,50 - 64 years,0.0
Dog bite,Bedfordshire,Other,Dog: bite,50 - 64 years,0.0
Not stated dog,Bedfordshire,Other,Dog: not stated,50 - 64 years,0.0
Other / improvised,Bedfordshire,Other,Other / improvised,50 - 64 years,9.0
*Total Not reported,Bedfordshire,Not reported,Total: Not reported,50 - 64 years,1.0
Tactical communication,Bedfordshire,Excluded: Tactical Communication,Tactical Communication,50 - 64 years,193.0
*Total Tactics,Cambridgeshire,Total,Total: all,50 - 64 years,436.0
*Total Restraint,Cambridgeshire,Restraint,Total: Restraint,50 - 64 years,225.0
"Handcuffing, of which",Cambridgeshire,Restraint,Total: Handcuffing,50 - 64 years,177.0
Compliant handcuffing,Cambridgeshire,Restraint,Handcuffing: compliant,50 - 64 years,100.0
Non-compliant handcuffing,Cambridgeshire,Restraint,Handcuffing: non-compliant,50 - 64 years,77.0
Not stated handcuffing,Cambridgeshire,Restraint,Handcuffing: not stated,50 - 64 years,0.0
Limb / Body restraints,Cambridgeshire,Restraint,Limb / body restraints,50 - 64 years,15.0
Ground restraint,Cambridgeshire,Restraint,Ground restraint,50 - 64 years,33.0
*Total Unarmed skills,Cambridgeshire,Unarmed skills,Total: unarmed skills,50 - 64 years,131.0
*Total Other equipment,Cambridgeshire,Other equipment,Total: Other equipment,50 - 64 years,31.0
"Baton, of which",Cambridgeshire,Other equipment,Total: Baton,50 - 64 years,3.0
Baton drawn,Cambridgeshire,Other equipment,Baton: drawn,50 - 64 years,2.0
Baton used,Cambridgeshire,Other equipment,Baton: used,50 - 64 years,1.0
Not stated baton,Cambridgeshire,Other equipment,Baton: not stated,50 - 64 years,0.0
"Irritant spray, of which",Cambridgeshire,Other equipment,Total: Irritant spray,50 - 64 years,24.0
Irritant spray - drawn,Cambridgeshire,Other equipment,Irritant spray: drawn,50 - 64 years,15.0
Irritant spray - used,Cambridgeshire,Other equipment,Irritant spray: used,50 - 64 years,9.0
Not stated irritant spray,Cambridgeshire,Other equipment,Irritant spray: not stated,50 - 64 years,0.0
Spit and bite guard,Cambridgeshire,Other equipment,Spit and bite guard,50 - 64 years,2.0
Shield,Cambridgeshire,Other equipment,Shield,50 - 64 years,2.0
*Total Less lethal weapons,Cambridgeshire,Less lethal weapons,Total: Less lethal weapons,50 - 64 years,14.0
CED,Cambridgeshire,Less lethal weapons,CED,50 - 64 years,14.0
"AEP, of which",Cambridgeshire,Less lethal weapons,Total: AEP,50 - 64 years,0.0
AEP aimed,Cambridgeshire,Less lethal weapons,AEP: Aimed,50 - 64 years,0.0
AEP fired,Cambridgeshire,Less lethal weapons,AEP: Fired,50 - 64 years,0.0
Not stated AEP,Cambridgeshire,Less lethal weapons,AEP: Not stated,50 - 64 years,0.0
*Total Firearms,Cambridgeshire,Firearms,Total: Firearms,50 - 64 years,1.0
*Total Other,Cambridgeshire,Other,Total: Other,50 - 64 years,34.0
"Dog use, of which",Cambridgeshire,Other,Total: Dog,50 - 64 years,0.0
Dog deployed,Cambridgeshire,Other,Dog: deployed,50 - 64 years,0.0
Dog bite,Cambridgeshire,Other,Dog: bite,50 - 64 years,0.0
Not stated dog,Cambridgeshire,Other,Dog: not stated,50 - 64 years,0.0
Other / improvised,Cambridgeshire,Other,Other / improvised,50 - 64 years,34.0
*Total Not reported,Cambridgeshire,Not reported,Total: Not reported,50 - 64 years,3.0
Tactical communication,Cambridgeshire,Excluded: Tactical Communication,Tactical Communication,50 - 64 years,252.0
*Total Tactics,Cheshire,Total,Total: all,50 - 64 years,803.0
*Total Restraint,Cheshire,Restraint,Total: Restraint,50 - 64 years,614.0
"Handcuffing, of which",Cheshire,Restraint,Total: Handcuffing,50 - 64 years,433.0
Compliant handcuffing,Cheshire,Restraint,Handcuffing: compliant,50 - 64 years,262.0
Non-compliant handcuffing,Cheshire,Restraint,Handcuffing: non-compliant,50 - 64 years,171.0
Not stated handcuffing,Cheshire,Restraint,Handcuffing: not stated,50 - 64 years,0.0
Limb / Body restraints,Cheshire,Restraint,Limb / body restraints,50 - 64 years,22.0
Ground restraint,Cheshire,Restraint,Ground restraint,50 - 64 years,159.0
*Total Unarmed skills,Cheshire,Unarmed skills,Total: unarmed skills,50 - 64 years,95.0
*Total Other equipment,Cheshire,Other equipment,Total: Other equipment,50 - 64 years,68.0
"Baton, of which",Cheshire,Other equipment,Total: Baton,50 - 64 years,4.0
Baton drawn,Cheshire,Other equipment,Baton: drawn,50 - 64 years,2.0
Baton used,Cheshire,Other equipment,Baton: used,50 - 64 years,2.0
Not stated baton,Cheshire,Other equipment,Baton: not stated,50 - 64 years,0.0
"Irritant spray, of which",Cheshire,Other equipment,Total: Irritant spray,50 - 64 years,59.0
Irritant spray - drawn,Cheshire,Other equipment,Irritant spray: drawn,50 - 64 years,22.0
Irritant spray - used,Cheshire,Other equipment,Irritant spray: used,50 - 64 years,37.0
Not stated irritant spray,Cheshire,Other equipment,Irritant spray: not stated,50 - 64 years,0.0
Spit and bite guard,Cheshire,Other equipment,Spit and bite guard,50 - 64 years,5.0
Shield,Cheshire,Other equipment,Shield,50 - 64 years,0.0
*Total Less lethal weapons,Cheshire,Less lethal weapons,Total: Less lethal weapons,50 - 64 years,26.0
CED,Cheshire,Less lethal weapons,CED,50 - 64 years,26.0
"AEP, of which",Cheshire,Less lethal weapons,Total: AEP,50 - 64 years,0.0
AEP aimed,Cheshire,Less lethal weapons,AEP: Aimed,50 - 64 years,0.0
AEP fired,Cheshire,Less lethal weapons,AEP: Fired,50 - 64 years,0.0
Not stated AEP,Cheshire,Less lethal weapons,AEP: Not stated,50 - 64 years,0.0
*Total Firearms,Cheshire,Firearms,Total: Firearms,50 - 64 years,0.0
*Total Other,Cheshire,Other,Total: Other,50 - 64 years,0.0
"Dog use, of which",Cheshire,Other,Total: Dog,50 - 64 years,0.0
Dog deployed,Cheshire,Other,Dog: deployed,50 - 64 years,0.0
Dog bite,Cheshire,Other,Dog: bite,50 - 64 years,0.0
Not stated dog,Cheshire,Other,Dog: not stated,50 - 64 years,0.0
Other / improvised,Cheshire,Other,Other / improvised,50 - 64 years,0.0
*Total Not reported,Cheshire,Not reported,Total: Not reported,50 - 64 years,0.0
Tactical communication,Cheshire,Excluded: Tactical Communication,Tactical Communication,50 - 64 years,314.0
*Total Tactics,City of London,Total,Total: all,50 - 64 years,112.0
*Total Restraint,City of London,Restraint,Total: Restraint,50 - 64 years,80.0
"Handcuffing, of which",City of London,Restraint,Total: Handcuffing,50 - 64 years,76.0
Compliant handcuffing,City of London,Restraint,Handcuffing: compliant,50 - 64 years,30.0
Non-compliant handcuffing,City of London,Restraint,Handcuffing: non-compliant,50 - 64 years,46.0
Not stated handcuffing,City of London,Restraint,Handcuffing: not stated,50 - 64 years,0.0
Limb / Body restraints,City of London,Restraint,Limb / body restraints,50 - 64 years,0.0
Ground restraint,City of London,Restraint,Ground restraint,50 - 64 years,4.0
*Total Unarmed skills,City of London,Unarmed skills,Total: unarmed skills,50 - 64 years,26.0
*Total Other equipment,City of London,Other equipment,Total: Other equipment,50 - 64 years,1.0
"Baton, of which",City of London,Other equipment,Total: Baton,50 - 64 years,0.0
Baton drawn,City of London,Other equipment,Baton: drawn,50 - 64 years,0.0
Baton used,City of London,Other equipment,Baton: used,50 - 64 years,0.0
Not stated baton,City of London,Other equipment,Baton: not stated,50 - 64 years,0.0
"Irritant spray, of which",City of London,Other equipment,Total: Irritant spray,50 - 64 years,1.0
Irritant spray - drawn,City of London,Other equipment,Irritant spray: drawn,50 - 64 years,1.0
Irritant spray - used,City of London,Other equipment,Irritant spray: used,50 - 64 years,0.0
Not stated irritant spray,City of London,Other equipment,Irritant spray: not stated,50 - 64 years,0.0
Spit and bite guard,City of London,Other equipment,Spit and bite guard,50 - 64 years,0.0
Shield,City of London,Other equipment,Shield,50 - 64 years,0.0
*Total Less lethal weapons,City of London,Less lethal weapons,Total: Less lethal weapons,50 - 64 years,3.0
CED,City of London,Less lethal weapons,CED,50 - 64 years,3.0
"AEP, of which",City of London,Less lethal weapons,Total: AEP,50 - 64 years,0.0
AEP aimed,City of London,Less lethal weapons,AEP: Aimed,50 - 64 years,0.0
AEP fired,City of London,Less lethal weapons,AEP: Fired,50 - 64 years,0.0
Not stated AEP,City of London,Less lethal weapons,AEP: Not stated,50 - 64 years,0.0
*Total Firearms,City of London,Firearms,Total: Firearms,50 - 64 years,0.0
*Total Other,City of London,Other,Total: Other,50 - 64 years,2.0
"Dog use, of which",City of London,Other,Total: Dog,50 - 64 years,0.0
Dog deployed,City of London,Other,Dog: deployed,50 - 64 years,0.0
Dog bite,City of London,Other,Dog: bite,50 - 64 years,0.0
Not stated dog,City of London,Other,Dog: not stated,50 - 64 years,0.0
Other / improvised,City of London,Other,Other / improvised,50 - 64 years,2.0
*Total Not reported,City of London,Not reported,Total: Not reported,50 - 64 years,0.0
Tactical communication,City of London,Excluded: Tactical Communication,Tactical Communication,50 - 64 years,54.0
*Total Tactics,Cleveland,Total,Total: all,50 - 64 years,677.0
*Total Restraint,Cleveland,Restraint,Total: Restraint,50 - 64 years,488.0
"Handcuffing, of which",Cleveland,Restraint,Total: Handcuffing,50 - 64 years,385.0
Compliant handcuffing,Cleveland,Restraint,Handcuffing: compliant,50 - 64 years,245.0
Non-compliant handcuffing,Cleveland,Restraint,Handcuffing: non-compliant,50 - 64 years,140.0
Not stated handcuffing,Cleveland,Restraint,Handcuffing: not stated,50 - 64 years,0.0
Limb / Body restraints,Cleveland,Restraint,Limb / body restraints,50 - 64 years,13.0
Ground restraint,Cleveland,Restraint,Ground restraint,50 - 64 years,90.0
*Total Unarmed skills,Cleveland,Unarmed skills,Total: unarmed skills,50 - 64 years,147.0
*Total Other equipment,Cleveland,Other equipment,Total: Other equipment,50 - 64 years,22.0
"Baton, of which",Cleveland,Other equipment,Total: Baton,50 - 64 years,1.0
Baton drawn,Cleveland,Other equipment,Baton: drawn,50 - 64 years,1.0
Baton used,Cleveland,Other equipment,Baton: used,50 - 64 years,0.0
Not stated baton,Cleveland,Other equipment,Baton: not stated,50 - 64 years,0.0
"Irritant spray, of which",Cleveland,Other equipment,Total: Irritant spray,50 - 64 years,21.0
Irritant spray - drawn,Cleveland,Other equipment,Irritant spray: drawn,50 - 64 years,12.0
Irritant spray - used,Cleveland,Other equipment,Irritant spray: used,50 - 64 years,9.0
Not stated irritant spray,Cleveland,Other equipment,Irritant spray: not stated,50 - 64 years,0.0
Spit and bite guard,Cleveland,Other equipment,Spit and bite guard,50 - 64 years,0.0
Shield,Cleveland,Other equipment,Shield,50 - 64 years,0.0
*Total Less lethal weapons,Cleveland,Less lethal weapons,Total: Less lethal weapons,50 - 64 years,11.0
CED,Cleveland,Less lethal weapons,CED,50 - 64 years,10.0
"AEP, of which",Cleveland,Less lethal weapons,Total: AEP,50 - 64 years,1.0
AEP aimed,Cleveland,Less lethal weapons,AEP: Aimed,50 - 64 years,1.0
AEP fired,Cleveland,Less lethal weapons,AEP: Fired,50 - 64 years,0.0
Not stated AEP,Cleveland,Less lethal weapons,AEP: Not stated,50 - 64 years,0.0
*Total Firearms,Cleveland,Firearms,Total: Firearms,50 - 64 years,1.0
*Total Other,Cleveland,Other,Total: Other,50 - 64 years,8.0
"Dog use, of which",Cleveland,Other,Total: Dog,50 - 64 years,1.0
Dog deployed,Cleveland,Other,Dog: deployed,50 - 64 years,1.0
Dog bite,Cleveland,Other,Dog: bite,50 - 64 years,0.0
Not stated dog,Cleveland,Other,Dog: not stated,50 - 64 years,0.0
Other / improvised,Cleveland,Other,Other / improvised,50 - 64 years,7.0
*Total Not reported,Cleveland,Not reported,Total: Not reported,50 - 64 years,0.0
Tactical communication,Cleveland,Excluded: Tactical Communication,Tactical Communication,50 - 64 years,369.0
*Total Tactics,Cumbria,Total,Total: all,50 - 64 years,355.0
*Total Restraint,Cumbria,Restraint,Total: Restraint,50 - 64 years,196.0
"Handcuffing, of which",Cumbria,Restraint,Total: Handcuffing,50 - 64 years,169.0
Compliant handcuffing,Cumbria,Restraint,Handcuffing: compliant,50 - 64 years,81.0
Non-compliant handcuffing,Cumbria,Restraint,Handcuffing: non-compliant,50 - 64 years,88.0
Not stated handcuffing,Cumbria,Restraint,Handcuffing: not stated,50 - 64 years,0.0
Limb / Body restraints,Cumbria,Restraint,Limb / body restraints,50 - 64 years,4.0
Ground restraint,Cumbria,Restraint,Ground restraint,50 - 64 years,23.0
*Total Unarmed skills,Cumbria,Unarmed skills,Total: unarmed skills,50 - 64 years,102.0
*Total Other equipment,Cumbria,Other equipment,Total: Other equipment,50 - 64 years,23.0
"Baton, of which",Cumbria,Other equipment,Total: Baton,50 - 64 years,0.0
Baton drawn,Cumbria,Other equipment,Baton: drawn,50 - 64 years,0.0
Baton used,Cumbria,Other equipment,Baton: used,50 - 64 years,0.0
Not stated baton,Cumbria,Other equipment,Baton: not stated,50 - 64 years,0.0
"Irritant spray, of which",Cumbria,Other equipment,Total: Irritant spray,50 - 64 years,23.0
Irritant spray - drawn,Cumbria,Other equipment,Irritant spray: drawn,50 - 64 years,10.0
Irritant spray - used,Cumbria,Other equipment,Irritant spray: used,50 - 64 years,13.0
Not stated irritant spray,Cumbria,Other equipment,Irritant spray: not stated,50 - 64 years,0.0
Spit and bite guard,Cumbria,Other equipment,Spit and bite guard,50 - 64 years,0.0
Shield,Cumbria,Other equipment,Shield,50 - 64 years,0.0
*Total Less lethal weapons,Cumbria,Less lethal weapons,Total: Less lethal weapons,50 - 64 years,11.0
CED,Cumbria,Less lethal weapons,CED,50 - 64 years,11.0
"AEP, of which",Cumbria,Less lethal weapons,Total: AEP,50 - 64 years,0.0
AEP aimed,Cumbria,Less lethal weapons,AEP: Aimed,50 - 64 years,0.0
AEP fired,Cumbria,Less lethal weapons,AEP: Fired,50 - 64 years,0.0
Not stated AEP,Cumbria,Less lethal weapons,AEP: Not stated,50 - 64 years,0.0
*Total Firearms,Cumbria,Firearms,Total: Firearms,50 - 64 years,1.0
*Total Other,Cumbria,Other,Total: Other,50 - 64 years,22.0
"Dog use, of which",Cumbria,Other,Total: Dog,50 - 64 years,2.0
Dog deployed,Cumbria,Other,Dog: deployed,50 - 64 years,2.0
Dog bite,Cumbria,Other,Dog: bite,50 - 64 years,0.0
Not stated dog,Cumbria,Other,Dog: not stated,50 - 64 years,0.0
Other / improvised,Cumbria,Other,Other / improvised,50 - 64 years,20.0
*Total Not reported,Cumbria,Not reported,Total: Not reported,50 - 64 years,4.0
Tactical communication,Cumbria,Excluded: Tactical Communication,Tactical Communication,50 - 64 years,164.0
*Total Tactics,Derbyshire,Total,Total: all,50 - 64 years,374.0
*Total Restraint,Derbyshire,Restraint,Total: Restraint,50 - 64 years,192.0
"Handcuffing, of which",Derbyshire,Restraint,Total: Handcuffing,50 - 64 years,169.0
Compliant handcuffing,Derbyshire,Restraint,Handcuffing: compliant,50 - 64 years,86.0
Non-compliant handcuffing,Derbyshire,Restraint,Handcuffing: non-compliant,50 - 64 years,83.0
Not stated handcuffing,Derbyshire,Restraint,Handcuffing: not stated,50 - 64 years,0.0
Limb / Body restraints,Derbyshire,Restraint,Limb / body restraints,50 - 64 years,10.0
Ground restraint,Derbyshire,Restraint,Ground restraint,50 - 64 years,13.0
*Total Unarmed skills,Derbyshire,Unarmed skills,Total: unarmed skills,50 - 64 years,100.0
*Total Other equipment,Derbyshire,Other equipment,Total: Other equipment,50 - 64 years,50.0
"Baton, of which",Derbyshire,Other equipment,Total: Baton,50 - 64 years,5.0
Baton drawn,Derbyshire,Other equipment,Baton: drawn,50 - 64 years,4.0
Baton used,Derbyshire,Other equipment,Baton: used,50 - 64 years,1.0
Not stated baton,Derbyshire,Other equipment,Baton: not stated,50 - 64 years,0.0
"Irritant spray, of which",Derbyshire,Other equipment,Total: Irritant spray,50 - 64 years,41.0
Irritant spray - drawn,Derbyshire,Other equipment,Irritant spray: drawn,50 - 64 years,21.0
Irritant spray - used,Derbyshire,Other equipment,Irritant spray: used,50 - 64 years,20.0
Not stated irritant spray,Derbyshire,Other equipment,Irritant spray: not stated,50 - 64 years,0.0
Spit and bite guard,Derbyshire,Other equipment,Spit and bite guard,50 - 64 years,4.0
Shield,Derbyshire,Other equipment,Shield,50 - 64 years,0.0
*Total Less lethal weapons,Derbyshire,Less lethal weapons,Total: Less lethal weapons,50 - 64 years,12.0
