Police Force,Type of force,Tactic,Mental,Physical,Physical and mental,None,Not reported,Number of times tactic reported
Hampshire,Other equipment,Not stated baton,0.0,0.0,0.0,0.0,0.0,0.0
Hampshire,Other equipment,"Irritant spray, of which",11.0,0.0,0.0,184.0,0.0,195.0
Hampshire,Other equipment,Irritant spray - drawn,8.0,0.0,0.0,139.0,0.0,147.0
Hampshire,Other equipment,Irritant spray - used,3.0,0.0,0.0,45.0,0.0,48.0
Hampshire,Other equipment,Not stated irritant spray,0.0,0.0,0.0,0.0,0.0,0.0
Hampshire,Other equipment,Spit and bite guard,7.0,2.0,2.0,95.0,0.0,106.0
Hampshire,Other equipment,Shield,1.0,1.0,1.0,28.0,0.0,31.0
Hampshire,Less lethal weapons,*Total Less lethal weapons,16.0,0.0,0.0,194.0,0.0,210.0
Hampshire,Less lethal weapons,CED,15.0,0.0,0.0,194.0,0.0,209.0
Hampshire,Less lethal weapons,"AEP, of which",1.0,0.0,0.0,0.0,0.0,1.0
Hampshire,Less lethal weapons,AEP aimed,1.0,0.0,0.0,0.0,0.0,1.0
Hampshire,Less lethal weapons,AEP fired,0.0,0.0,0.0,0.0,0.0,0.0
Hampshire,Less lethal weapons,Not stated AEP,0.0,0.0,0.0,0.0,0.0,0.0
Hampshire,Firearms,*Total Firearms,1.0,0.0,0.0,4.0,0.0,5.0
Hampshire,Other,*Total Other,25.0,2.0,3.0,253.0,0.0,283.0
Hampshire,Other,"Dog use, of which",2.0,0.0,0.0,22.0,0.0,24.0
Hampshire,Other,Dog deployed,1.0,0.0,0.0,20.0,0.0,21.0
Hampshire,Other,Dog bite,1.0,0.0,0.0,2.0,0.0,3.0
Hampshire,Other,Not stated dog,0.0,0.0,0.0,0.0,0.0,0.0
Hampshire,Other,Other / improvised,23.0,2.0,3.0,231.0,0.0,259.0
Hampshire,Not reported,*Total Not reported,0.0,0.0,0.0,70.0,0.0,70.0
Hampshire,Tactical communication,Tactical communication,287.0,30.0,10.0,3214.0,0.0,3541.0
Hertfordshire,Total (excluding not reported and tactical communication),*Total Tactics,2261.0,124.0,150.0,12975.0,0.0,15510.0
Hertfordshire,Restraint,*Total Restraint,1261.0,71.0,76.0,7738.0,0.0,9146.0
Hertfordshire,Restraint,"Handcuffing, of which",828.0,55.0,49.0,6083.0,0.0,7015.0
Hertfordshire,Restraint,Compliant handcuffing,404.0,35.0,27.0,3951.0,0.0,4417.0
Hertfordshire,Restraint,Non-compliant handcuffing,424.0,20.0,22.0,2132.0,0.0,2598.0
Hertfordshire,Restraint,Not stated handcuffing,0.0,0.0,0.0,0.0,0.0,0.0
Hertfordshire,Restraint,Limb / Body restraints,171.0,6.0,11.0,566.0,0.0,754.0
Hertfordshire,Restraint,Ground restraint,262.0,10.0,16.0,1089.0,0.0,1377.0
Hertfordshire,Unarmed skills,*Total Unarmed skills,715.0,41.0,60.0,3659.0,0.0,4475.0
Hertfordshire,Other equipment,*Total Other equipment,151.0,5.0,2.0,1011.0,0.0,1169.0
Hertfordshire,Other equipment,"Baton, of which",15.0,0.0,0.0,157.0,0.0,172.0
Hertfordshire,Other equipment,Baton drawn,10.0,0.0,0.0,104.0,0.0,114.0
Hertfordshire,Other equipment,Baton used,5.0,0.0,0.0,52.0,0.0,57.0
Hertfordshire,Other equipment,Not stated baton,0.0,0.0,0.0,1.0,0.0,1.0
Hertfordshire,Other equipment,"Irritant spray, of which",86.0,5.0,0.0,721.0,0.0,812.0
Hertfordshire,Other equipment,Irritant spray - drawn,51.0,3.0,0.0,399.0,0.0,453.0
Hertfordshire,Other equipment,Irritant spray - used,34.0,2.0,0.0,312.0,0.0,348.0
Hertfordshire,Other equipment,Not stated irritant spray,1.0,0.0,0.0,10.0,0.0,11.0
Hertfordshire,Other equipment,Spit and bite guard,40.0,0.0,1.0,110.0,0.0,151.0
Hertfordshire,Other equipment,Shield,10.0,0.0,1.0,23.0,0.0,34.0
Hertfordshire,Less lethal weapons,*Total Less lethal weapons,64.0,2.0,4.0,232.0,0.0,302.0
Hertfordshire,Less lethal weapons,CED,63.0,2.0,4.0,228.0,0.0,297.0
Hertfordshire,Less lethal weapons,"AEP, of which",1.0,0.0,0.0,4.0,0.0,5.0
Hertfordshire,Less lethal weapons,AEP aimed,0.0,0.0,0.0,4.0,0.0,4.0
Hertfordshire,Less lethal weapons,AEP fired,0.0,0.0,0.0,0.0,0.0,0.0
Hertfordshire,Less lethal weapons,Not stated AEP,1.0,0.0,0.0,0.0,0.0,1.0
Hertfordshire,Firearms,*Total Firearms,1.0,0.0,0.0,17.0,0.0,18.0
Hertfordshire,Other,*Total Other,69.0,5.0,8.0,318.0,0.0,400.0
Hertfordshire,Other,"Dog use, of which",0.0,0.0,0.0,9.0,0.0,9.0
Hertfordshire,Other,Dog deployed,0.0,0.0,0.0,6.0,0.0,6.0
Hertfordshire,Other,Dog bite,0.0,0.0,0.0,3.0,0.0,3.0
Hertfordshire,Other,Not stated dog,0.0,0.0,0.0,0.0,0.0,0.0
Hertfordshire,Other,Other / improvised,69.0,5.0,8.0,309.0,0.0,391.0
Hertfordshire,Not reported,*Total Not reported,10.0,2.0,1.0,41.0,0.0,54.0
Hertfordshire,Tactical communication,Tactical communication,1191.0,62.0,88.0,7045.0,0.0,8386.0
Humberside,Total (excluding not reported and tactical communication),*Total Tactics,673.0,58.0,31.0,6741.0,0.0,7503.0
Humberside,Restraint,*Total Restraint,311.0,27.0,16.0,3520.0,0.0,3874.0
Humberside,Restraint,"Handcuffing, of which",216.0,21.0,13.0,2745.0,0.0,2995.0
Humberside,Restraint,Compliant handcuffing,87.0,6.0,6.0,1663.0,0.0,1762.0
Humberside,Restraint,Non-compliant handcuffing,129.0,15.0,7.0,1082.0,0.0,1233.0
Humberside,Restraint,Not stated handcuffing,0.0,0.0,0.0,0.0,0.0,0.0
Humberside,Restraint,Limb / Body restraints,29.0,2.0,1.0,209.0,0.0,241.0
Humberside,Restraint,Ground restraint,66.0,4.0,2.0,566.0,0.0,638.0
Humberside,Unarmed skills,*Total Unarmed skills,224.0,21.0,8.0,1931.0,0.0,2184.0
Humberside,Other equipment,*Total Other equipment,32.0,4.0,2.0,323.0,0.0,361.0
Humberside,Other equipment,"Baton, of which",6.0,0.0,0.0,57.0,0.0,63.0
Humberside,Other equipment,Baton drawn,3.0,0.0,0.0,39.0,0.0,42.0
Humberside,Other equipment,Baton used,3.0,0.0,0.0,18.0,0.0,21.0
Humberside,Other equipment,Not stated baton,0.0,0.0,0.0,0.0,0.0,0.0
Humberside,Other equipment,"Irritant spray, of which",10.0,3.0,1.0,185.0,0.0,199.0
Humberside,Other equipment,Irritant spray - drawn,4.0,3.0,0.0,85.0,0.0,92.0
Humberside,Other equipment,Irritant spray - used,6.0,0.0,1.0,100.0,0.0,107.0
Humberside,Other equipment,Not stated irritant spray,0.0,0.0,0.0,0.0,0.0,0.0
Humberside,Other equipment,Spit and bite guard,9.0,1.0,0.0,68.0,0.0,78.0
Humberside,Other equipment,Shield,7.0,0.0,1.0,13.0,0.0,21.0
Humberside,Less lethal weapons,*Total Less lethal weapons,75.0,1.0,4.0,564.0,0.0,644.0
Humberside,Less lethal weapons,CED,69.0,1.0,4.0,498.0,0.0,572.0
Humberside,Less lethal weapons,"AEP, of which",6.0,0.0,0.0,66.0,0.0,72.0
Humberside,Less lethal weapons,AEP aimed,2.0,0.0,0.0,64.0,0.0,66.0
Humberside,Less lethal weapons,AEP fired,4.0,0.0,0.0,2.0,0.0,6.0
Humberside,Less lethal weapons,Not stated AEP,0.0,0.0,0.0,0.0,0.0,0.0
Humberside,Firearms,*Total Firearms,6.0,2.0,0.0,74.0,0.0,82.0
Humberside,Other,*Total Other,25.0,3.0,1.0,329.0,0.0,358.0
Humberside,Other,"Dog use, of which",0.0,0.0,0.0,28.0,0.0,28.0
Humberside,Other,Dog deployed,0.0,0.0,0.0,20.0,0.0,20.0
Humberside,Other,Dog bite,0.0,0.0,0.0,8.0,0.0,8.0
Humberside,Other,Not stated dog,0.0,0.0,0.0,0.0,0.0,0.0
Humberside,Other,Other / improvised,25.0,3.0,1.0,301.0,0.0,330.0
Humberside,Not reported,*Total Not reported,0.0,0.0,0.0,0.0,0.0,0.0
Humberside,Tactical communication,Tactical communication,264.0,26.0,13.0,2665.0,0.0,2968.0
Kent,Total (excluding not reported and tactical communication),*Total Tactics,1209.0,80.0,59.0,16186.0,0.0,17534.0
Kent,Restraint,*Total Restraint,773.0,41.0,33.0,11095.0,0.0,11942.0
Kent,Restraint,"Handcuffing, of which",501.0,34.0,22.0,8235.0,0.0,8792.0
Kent,Restraint,Compliant handcuffing,183.0,23.0,5.0,4963.0,0.0,5174.0
Kent,Restraint,Non-compliant handcuffing,318.0,11.0,17.0,3272.0,0.0,3618.0
Kent,Restraint,Not stated handcuffing,0.0,0.0,0.0,0.0,0.0,0.0
Kent,Restraint,Limb / Body restraints,131.0,1.0,8.0,1135.0,0.0,1275.0
Kent,Restraint,Ground restraint,141.0,6.0,3.0,1725.0,0.0,1875.0
Kent,Unarmed skills,*Total Unarmed skills,253.0,19.0,14.0,2839.0,0.0,3125.0
Kent,Other equipment,*Total Other equipment,67.0,6.0,9.0,776.0,0.0,858.0
Kent,Other equipment,"Baton, of which",8.0,0.0,2.0,132.0,0.0,142.0
Kent,Other equipment,Baton drawn,5.0,0.0,2.0,93.0,0.0,100.0
Kent,Other equipment,Baton used,3.0,0.0,0.0,39.0,0.0,42.0
Kent,Other equipment,Not stated baton,0.0,0.0,0.0,0.0,0.0,0.0
Kent,Other equipment,"Irritant spray, of which",28.0,4.0,4.0,453.0,0.0,489.0
Kent,Other equipment,Irritant spray - drawn,15.0,3.0,2.0,233.0,0.0,253.0
Kent,Other equipment,Irritant spray - used,13.0,1.0,2.0,220.0,0.0,236.0
Kent,Other equipment,Not stated irritant spray,0.0,0.0,0.0,0.0,0.0,0.0
Kent,Other equipment,Spit and bite guard,25.0,2.0,3.0,169.0,0.0,199.0
Kent,Other equipment,Shield,6.0,0.0,0.0,22.0,0.0,28.0
Kent,Less lethal weapons,*Total Less lethal weapons,54.0,7.0,1.0,579.0,0.0,641.0
Kent,Less lethal weapons,CED,51.0,7.0,0.0,530.0,0.0,588.0
Kent,Less lethal weapons,"AEP, of which",3.0,0.0,1.0,49.0,0.0,53.0
Kent,Less lethal weapons,AEP aimed,3.0,0.0,1.0,44.0,0.0,48.0
Kent,Less lethal weapons,AEP fired,0.0,0.0,0.0,5.0,0.0,5.0
Kent,Less lethal weapons,Not stated AEP,0.0,0.0,0.0,0.0,0.0,0.0
Kent,Firearms,*Total Firearms,5.0,4.0,0.0,143.0,0.0,152.0
Kent,Other,*Total Other,57.0,3.0,2.0,754.0,0.0,816.0
Kent,Other,"Dog use, of which",0.0,0.0,0.0,26.0,0.0,26.0
Kent,Other,Dog deployed,0.0,0.0,0.0,17.0,0.0,17.0
Kent,Other,Dog bite,0.0,0.0,0.0,9.0,0.0,9.0
Kent,Other,Not stated dog,0.0,0.0,0.0,0.0,0.0,0.0
Kent,Other,Other / improvised,57.0,3.0,2.0,728.0,0.0,790.0
Kent,Not reported,*Total Not reported,0.0,0.0,0.0,0.0,0.0,0.0
Kent,Tactical communication,Tactical communication,361.0,24.0,20.0,4075.0,0.0,4480.0
Lancashire,Total (excluding not reported and tactical communication),*Total Tactics,3255.0,30.0,49.0,7715.0,8.0,11057.0
Lancashire,Restraint,*Total Restraint,1591.0,12.0,27.0,3513.0,1.0,5144.0
Lancashire,Restraint,"Handcuffing, of which",1219.0,11.0,23.0,3023.0,0.0,4276.0
Lancashire,Restraint,Compliant handcuffing,395.0,6.0,9.0,1407.0,0.0,1817.0
Lancashire,Restraint,Non-compliant handcuffing,824.0,5.0,14.0,1616.0,0.0,2459.0
Lancashire,Restraint,Not stated handcuffing,0.0,0.0,0.0,0.0,0.0,0.0
Lancashire,Restraint,Limb / Body restraints,140.0,0.0,3.0,117.0,0.0,260.0
Lancashire,Restraint,Ground restraint,232.0,1.0,1.0,373.0,1.0,608.0
Lancashire,Unarmed skills,*Total Unarmed skills,1075.0,11.0,14.0,2720.0,1.0,3821.0
Lancashire,Other equipment,*Total Other equipment,290.0,3.0,3.0,813.0,0.0,1109.0
Lancashire,Other equipment,"Baton, of which",36.0,0.0,0.0,103.0,0.0,139.0
Lancashire,Other equipment,Baton drawn,18.0,0.0,0.0,53.0,0.0,71.0
Lancashire,Other equipment,Baton used,18.0,0.0,0.0,50.0,0.0,68.0
Lancashire,Other equipment,Not stated baton,0.0,0.0,0.0,0.0,0.0,0.0
Lancashire,Other equipment,"Irritant spray, of which",227.0,3.0,3.0,680.0,0.0,913.0
Lancashire,Other equipment,Irritant spray - drawn,75.0,2.0,2.0,224.0,0.0,303.0
Lancashire,Other equipment,Irritant spray - used,152.0,1.0,1.0,456.0,0.0,610.0
Lancashire,Other equipment,Not stated irritant spray,0.0,0.0,0.0,0.0,0.0,0.0
Lancashire,Other equipment,Spit and bite guard,23.0,0.0,0.0,26.0,0.0,49.0
Lancashire,Other equipment,Shield,4.0,0.0,0.0,4.0,0.0,8.0
Lancashire,Less lethal weapons,*Total Less lethal weapons,175.0,0.0,4.0,249.0,2.0,430.0
Lancashire,Less lethal weapons,CED,173.0,0.0,4.0,249.0,2.0,428.0
Lancashire,Less lethal weapons,"AEP, of which",2.0,0.0,0.0,0.0,0.0,2.0
Lancashire,Less lethal weapons,AEP aimed,2.0,0.0,0.0,0.0,0.0,2.0
Lancashire,Less lethal weapons,AEP fired,0.0,0.0,0.0,0.0,0.0,0.0
Lancashire,Less lethal weapons,Not stated AEP,0.0,0.0,0.0,0.0,0.0,0.0
Lancashire,Firearms,*Total Firearms,0.0,0.0,0.0,3.0,0.0,3.0
Lancashire,Other,*Total Other,124.0,4.0,1.0,417.0,4.0,550.0
Lancashire,Other,"Dog use, of which",6.0,0.0,0.0,40.0,0.0,46.0
Lancashire,Other,Dog deployed,6.0,0.0,0.0,26.0,0.0,32.0
Lancashire,Other,Dog bite,0.0,0.0,0.0,14.0,0.0,14.0
Lancashire,Other,Not stated dog,0.0,0.0,0.0,0.0,0.0,0.0
Lancashire,Other,Other / improvised,118.0,4.0,1.0,377.0,4.0,504.0
Lancashire,Not reported,*Total Not reported,9.0,0.0,1.0,19.0,0.0,29.0
Lancashire,Tactical communication,Tactical communication,1497.0,14.0,20.0,3505.0,1.0,5037.0
Leicestershire,Total (excluding not reported and tactical communication),*Total Tactics,928.0,53.0,31.0,9747.0,0.0,10759.0
Leicestershire,Restraint,*Total Restraint,545.0,31.0,21.0,6323.0,0.0,6920.0
Leicestershire,Restraint,"Handcuffing, of which",480.0,30.0,21.0,6003.0,0.0,6534.0
Leicestershire,Restraint,Compliant handcuffing,273.0,24.0,16.0,4528.0,0.0,4841.0
Leicestershire,Restraint,Non-compliant handcuffing,207.0,6.0,5.0,1475.0,0.0,1693.0
Leicestershire,Restraint,Not stated handcuffing,0.0,0.0,0.0,0.0,0.0,0.0
Leicestershire,Restraint,Limb / Body restraints,65.0,1.0,0.0,313.0,0.0,379.0
Leicestershire,Restraint,Ground restraint,0.0,0.0,0.0,7.0,0.0,7.0
Leicestershire,Unarmed skills,*Total Unarmed skills,217.0,10.0,4.0,1795.0,0.0,2026.0
Leicestershire,Other equipment,*Total Other equipment,35.0,2.0,2.0,478.0,0.0,517.0
Leicestershire,Other equipment,"Baton, of which",5.0,1.0,0.0,110.0,0.0,116.0
Leicestershire,Other equipment,Baton drawn,4.0,1.0,0.0,74.0,0.0,79.0
Leicestershire,Other equipment,Baton used,1.0,0.0,0.0,36.0,0.0,37.0
Leicestershire,Other equipment,Not stated baton,0.0,0.0,0.0,0.0,0.0,0.0
Leicestershire,Other equipment,"Irritant spray, of which",13.0,1.0,2.0,252.0,0.0,268.0
Leicestershire,Other equipment,Irritant spray - drawn,7.0,1.0,2.0,130.0,0.0,140.0
Leicestershire,Other equipment,Irritant spray - used,6.0,0.0,0.0,122.0,0.0,128.0
Leicestershire,Other equipment,Not stated irritant spray,0.0,0.0,0.0,0.0,0.0,0.0
Leicestershire,Other equipment,Spit and bite guard,14.0,0.0,0.0,108.0,0.0,122.0
Leicestershire,Other equipment,Shield,3.0,0.0,0.0,8.0,0.0,11.0
Leicestershire,Less lethal weapons,*Total Less lethal weapons,59.0,6.0,3.0,561.0,0.0,629.0
Leicestershire,Less lethal weapons,CED,59.0,6.0,3.0,547.0,0.0,615.0
Leicestershire,Less lethal weapons,"AEP, of which",0.0,0.0,0.0,14.0,0.0,14.0
Leicestershire,Less lethal weapons,AEP aimed,0.0,0.0,0.0,14.0,0.0,14.0
Leicestershire,Less lethal weapons,AEP fired,0.0,0.0,0.0,0.0,0.0,0.0
Leicestershire,Less lethal weapons,Not stated AEP,0.0,0.0,0.0,0.0,0.0,0.0
Leicestershire,Firearms,*Total Firearms,3.0,0.0,0.0,22.0,0.0,25.0
Leicestershire,Other,*Total Other,69.0,4.0,1.0,568.0,0.0,642.0
Leicestershire,Other,"Dog use, of which",0.0,0.0,0.0,38.0,0.0,38.0
Leicestershire,Other,Dog deployed,0.0,0.0,0.0,26.0,0.0,26.0
Leicestershire,Other,Dog bite,0.0,0.0,0.0,12.0,0.0,12.0
Leicestershire,Other,Not stated dog,0.0,0.0,0.0,0.0,0.0,0.0
Leicestershire,Other,Other / improvised,69.0,4.0,1.0,530.0,0.0,604.0
Leicestershire,Not reported,*Total Not reported,0.0,0.0,0.0,0.0,0.0,0.0
Leicestershire,Tactical communication,Tactical communication,318.0,15.0,10.0,2577.0,0.0,2920.0
Lincolnshire,Total (excluding not reported and tactical communication),*Total Tactics,1185.0,30.0,33.0,4497.0,0.0,5745.0
Lincolnshire,Restraint,*Total Restraint,595.0,17.0,14.0,2641.0,0.0,3267.0
Lincolnshire,Restraint,"Handcuffing, of which",456.0,16.0,11.0,2101.0,0.0,2584.0
Lincolnshire,Restraint,Compliant handcuffing,193.0,8.0,4.0,1247.0,0.0,1452.0
Lincolnshire,Restraint,Non-compliant handcuffing,263.0,8.0,7.0,854.0,0.0,1132.0
Lincolnshire,Restraint,Not stated handcuffing,0.0,0.0,0.0,0.0,0.0,0.0
Lincolnshire,Restraint,Limb / Body restraints,55.0,0.0,1.0,111.0,0.0,167.0
Lincolnshire,Restraint,Ground restraint,84.0,1.0,2.0,429.0,0.0,516.0
Lincolnshire,Unarmed skills,*Total Unarmed skills,416.0,8.0,16.0,1241.0,0.0,1681.0
Lincolnshire,Other equipment,*Total Other equipment,74.0,3.0,1.0,307.0,0.0,385.0
Lincolnshire,Other equipment,"Baton, of which",14.0,0.0,0.0,38.0,0.0,52.0
Lincolnshire,Other equipment,Baton drawn,7.0,0.0,0.0,24.0,0.0,31.0
Lincolnshire,Other equipment,Baton used,7.0,0.0,0.0,14.0,0.0,21.0
Lincolnshire,Other equipment,Not stated baton,0.0,0.0,0.0,0.0,0.0,0.0
Lincolnshire,Other equipment,"Irritant spray, of which",43.0,3.0,1.0,233.0,0.0,280.0
Lincolnshire,Other equipment,Irritant spray - drawn,18.0,1.0,1.0,105.0,0.0,125.0
Lincolnshire,Other equipment,Irritant spray - used,25.0,2.0,0.0,128.0,0.0,155.0
Lincolnshire,Other equipment,Not stated irritant spray,0.0,0.0,0.0,0.0,0.0,0.0
Lincolnshire,Other equipment,Spit and bite guard,12.0,0.0,0.0,30.0,0.0,42.0
Lincolnshire,Other equipment,Shield,5.0,0.0,0.0,6.0,0.0,11.0
Lincolnshire,Less lethal weapons,*Total Less lethal weapons,72.0,2.0,2.0,203.0,0.0,279.0
Lincolnshire,Less lethal weapons,CED,69.0,2.0,2.0,194.0,0.0,267.0
Lincolnshire,Less lethal weapons,"AEP, of which",3.0,0.0,0.0,9.0,0.0,12.0
Lincolnshire,Less lethal weapons,AEP aimed,2.0,0.0,0.0,8.0,0.0,10.0
Lincolnshire,Less lethal weapons,AEP fired,1.0,0.0,0.0,1.0,0.0,2.0
Lincolnshire,Less lethal weapons,Not stated AEP,0.0,0.0,0.0,0.0,0.0,0.0
Lincolnshire,Firearms,*Total Firearms,3.0,0.0,0.0,14.0,0.0,17.0
Lincolnshire,Other,*Total Other,25.0,0.0,0.0,91.0,0.0,116.0
Lincolnshire,Other,"Dog use, of which",7.0,0.0,0.0,19.0,0.0,26.0
Lincolnshire,Other,Dog deployed,6.0,0.0,0.0,18.0,0.0,24.0
Lincolnshire,Other,Dog bite,1.0,0.0,0.0,1.0,0.0,2.0
Lincolnshire,Other,Not stated dog,0.0,0.0,0.0,0.0,0.0,0.0
Lincolnshire,Other,Other / improvised,18.0,0.0,0.0,72.0,0.0,90.0
Lincolnshire,Not reported,*Total Not reported,0.0,0.0,0.0,0.0,0.0,0.0
Lincolnshire,Tactical communication,Tactical communication,542.0,14.0,18.0,1947.0,0.0,2521.0
Merseyside,Total (excluding not reported and tactical communication),*Total Tactics,3834.0,55.0,94.0,7138.0,0.0,11121.0
Merseyside,Restraint,*Total Restraint,1273.0,16.0,29.0,2404.0,0.0,3722.0
Merseyside,Restraint,"Handcuffing, of which",1036.0,13.0,23.0,2051.0,0.0,3123.0
Merseyside,Restraint,Compliant handcuffing,268.0,4.0,5.0,662.0,0.0,939.0
Merseyside,Restraint,Non-compliant handcuffing,768.0,9.0,18.0,1389.0,0.0,2184.0
Merseyside,Restraint,Not stated handcuffing,0.0,0.0,0.0,0.0,0.0,0.0
Merseyside,Restraint,Limb / Body restraints,129.0,2.0,4.0,123.0,0.0,258.0
Merseyside,Restraint,Ground restraint,108.0,1.0,2.0,230.0,0.0,341.0
Merseyside,Unarmed skills,*Total Unarmed skills,1332.0,23.0,30.0,2352.0,0.0,3737.0
Merseyside,Other equipment,*Total Other equipment,207.0,1.0,6.0,433.0,0.0,647.0
Merseyside,Other equipment,"Baton, of which",33.0,0.0,0.0,70.0,0.0,103.0
Merseyside,Other equipment,Baton drawn,24.0,0.0,0.0,46.0,0.0,70.0
Merseyside,Other equipment,Baton used,9.0,0.0,0.0,24.0,0.0,33.0
Merseyside,Other equipment,Not stated baton,0.0,0.0,0.0,0.0,0.0,0.0
Merseyside,Other equipment,"Irritant spray, of which",123.0,1.0,4.0,321.0,0.0,449.0
Merseyside,Other equipment,Irritant spray - drawn,61.0,1.0,3.0,136.0,0.0,201.0
Merseyside,Other equipment,Irritant spray - used,62.0,0.0,1.0,185.0,0.0,248.0
Merseyside,Other equipment,Not stated irritant spray,0.0,0.0,0.0,0.0,0.0,0.0
Merseyside,Other equipment,Spit and bite guard,33.0,0.0,2.0,32.0,0.0,67.0
Merseyside,Other equipment,Shield,18.0,0.0,0.0,10.0,0.0,28.0
Merseyside,Less lethal weapons,*Total Less lethal weapons,127.0,1.0,4.0,190.0,0.0,322.0
Merseyside,Less lethal weapons,CED,126.0,1.0,4.0,190.0,0.0,321.0
Merseyside,Less lethal weapons,"AEP, of which",1.0,0.0,0.0,0.0,0.0,1.0
Merseyside,Less lethal weapons,AEP aimed,1.0,0.0,0.0,0.0,0.0,1.0
Merseyside,Less lethal weapons,AEP fired,0.0,0.0,0.0,0.0,0.0,0.0
Merseyside,Less lethal weapons,Not stated AEP,0.0,0.0,0.0,0.0,0.0,0.0
Merseyside,Firearms,*Total Firearms,0.0,0.0,0.0,2.0,0.0,2.0
Merseyside,Other,*Total Other,895.0,14.0,25.0,1757.0,0.0,2691.0
Merseyside,Other,"Dog use, of which",3.0,0.0,0.0,48.0,0.0,51.0
Merseyside,Other,Dog deployed,1.0,0.0,0.0,24.0,0.0,25.0
Merseyside,Other,Dog bite,2.0,0.0,0.0,24.0,0.0,26.0
Merseyside,Other,Not stated dog,0.0,0.0,0.0,0.0,0.0,0.0
Merseyside,Other,Other / improvised,892.0,14.0,25.0,1709.0,0.0,2640.0
Merseyside,Not reported,*Total Not reported,7.0,0.0,1.0,13.0,0.0,21.0
Merseyside,Tactical communication,Tactical communication,1652.0,24.0,46.0,3010.0,0.0,4732.0
Metropolitan,Total (excluding not reported and tactical communication),*Total Tactics,27096.0,1231.0,810.0,142667.0,1.0,171805.0
Metropolitan,Restraint,*Total Restraint,17852.0,897.0,521.0,103117.0,0.0,122387.0
Metropolitan,Restraint,"Handcuffing, of which",11615.0,763.0,350.0,85025.0,0.0,97753.0
Metropolitan,Restraint,Compliant handcuffing,5273.0,558.0,162.0,61418.0,0.0,67411.0
Metropolitan,Restraint,Non-compliant handcuffing,6342.0,205.0,188.0,23607.0,0.0,30342.0
Metropolitan,Restraint,Not stated handcuffing,0.0,0.0,0.0,0.0,0.0,0.0
Metropolitan,Restraint,Limb / Body restraints,2417.0,60.0,71.0,5512.0,0.0,8060.0
Metropolitan,Restraint,Ground restraint,3820.0,74.0,100.0,12580.0,0.0,16574.0
Metropolitan,Unarmed skills,*Total Unarmed skills,6198.0,227.0,180.0,24607.0,0.0,31212.0
Metropolitan,Other equipment,*Total Other equipment,623.0,17.0,24.0,3680.0,0.0,4344.0
Metropolitan,Other equipment,"Baton, of which",158.0,7.0,8.0,2071.0,0.0,2244.0
Metropolitan,Other equipment,Baton drawn,109.0,6.0,6.0,1485.0,0.0,1606.0
Metropolitan,Other equipment,Baton used,49.0,1.0,2.0,586.0,0.0,638.0
Metropolitan,Other equipment,Not stated baton,0.0,0.0,0.0,0.0,0.0,0.0
Metropolitan,Other equipment,"Irritant spray, of which",114.0,6.0,3.0,887.0,0.0,1010.0
Metropolitan,Other equipment,Irritant spray - drawn,76.0,4.0,2.0,581.0,0.0,663.0
Metropolitan,Other equipment,Irritant spray - used,38.0,2.0,1.0,306.0,0.0,347.0
Metropolitan,Other equipment,Not stated irritant spray,0.0,0.0,0.0,0.0,0.0,0.0
Metropolitan,Other equipment,Spit and bite guard,261.0,4.0,2.0,632.0,0.0,899.0
Metropolitan,Other equipment,Shield,90.0,0.0,11.0,90.0,0.0,191.0
Metropolitan,Less lethal weapons,*Total Less lethal weapons,1421.0,41.0,33.0,5916.0,0.0,7411.0
Metropolitan,Less lethal weapons,CED,1416.0,41.0,33.0,5906.0,0.0,7396.0
Metropolitan,Less lethal weapons,"AEP, of which",5.0,0.0,0.0,10.0,0.0,15.0
Metropolitan,Less lethal weapons,AEP aimed,5.0,0.0,0.0,10.0,0.0,15.0
Metropolitan,Less lethal weapons,AEP fired,0.0,0.0,0.0,0.0,0.0,0.0
Metropolitan,Less lethal weapons,Not stated AEP,0.0,0.0,0.0,0.0,0.0,0.0
Metropolitan,Firearms,*Total Firearms,88.0,9.0,3.0,1288.0,1.0,1389.0
Metropolitan,Other,*Total Other,914.0,40.0,49.0,4059.0,0.0,5062.0
Metropolitan,Other,"Dog use, of which",8.0,0.0,0.0,432.0,0.0,440.0
Metropolitan,Other,Dog deployed,7.0,0.0,0.0,312.0,0.0,319.0
Metropolitan,Other,Dog bite,1.0,0.0,0.0,120.0,0.0,121.0
Metropolitan,Other,Not stated dog,0.0,0.0,0.0,0.0,0.0,0.0
Metropolitan,Other,Other / improvised,906.0,40.0,49.0,3627.0,0.0,4622.0
Metropolitan,Not reported,*Total Not reported,0.0,0.0,0.0,3.0,0.0,3.0
Metropolitan,Tactical communication,Tactical communication,6076.0,270.0,202.0,28676.0,0.0,35224.0
Norfolk,Total (excluding not reported and tactical communication),*Total Tactics,522.0,67.0,46.0,6536.0,0.0,7171.0
Norfolk,Restraint,*Total Restraint,353.0,34.0,26.0,4329.0,0.0,4742.0
Norfolk,Restraint,"Handcuffing, of which",248.0,29.0,16.0,3497.0,0.0,3790.0
Norfolk,Restraint,Compliant handcuffing,90.0,19.0,5.0,1887.0,0.0,2001.0
Norfolk,Restraint,Non-compliant handcuffing,158.0,10.0,11.0,1610.0,0.0,1789.0
Norfolk,Restraint,Not stated handcuffing,0.0,0.0,0.0,0.0,0.0,0.0
