Police Force,Type of force,Tactic,Under 11 years,11 - 17 years,18 - 34 years,35 - 49 years,50 - 64 years,65 and over,Not reported,Number of times tactic reported
Gloucestershire,Less lethal weapons,Not stated AEP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gloucestershire,Firearms,*Total Firearms,0.0,0.0,2.0,2.0,1.0,0.0,0.0,5.0
Gloucestershire,Other,*Total Other,2.0,6.0,17.0,11.0,1.0,2.0,0.0,39.0
Gloucestershire,Other,"Dog use, of which",0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
Gloucestershire,Other,Dog deployed,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
Gloucestershire,Other,Dog bite,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gloucestershire,Other,Not stated dog,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gloucestershire,Other,Other / improvised,2.0,6.0,16.0,11.0,1.0,2.0,0.0,38.0
Gloucestershire,Not reported,*Total Not reported,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gloucestershire,Tactical communication,Tactical communication,17.0,89.0,447.0,217.0,55.0,9.0,8.0,842.0
Greater Manchester,Total (excluding not reported and tactical communication),*Total Tactics,14.0,1331.0,7759.0,3270.0,563.0,34.0,0.0,12971.0
Greater Manchester,Restraint,*Total Restraint,5.0,845.0,4723.0,2021.0,348.0,13.0,0.0,7955.0
Greater Manchester,Restraint,"Handcuffing, of which",1.0,427.0,2388.0,1038.0,191.0,7.0,0.0,4052.0
Greater Manchester,Restraint,Compliant handcuffing,0.0,166.0,1041.0,465.0,82.0,1.0,0.0,1755.0
Greater Manchester,Restraint,Non-compliant handcuffing,1.0,261.0,1347.0,573.0,109.0,6.0,0.0,2297.0
Greater Manchester,Restraint,Not stated handcuffing,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Greater Manchester,Restraint,Limb / Body restraints,3.0,234.0,1188.0,539.0,97.0,5.0,0.0,2066.0
Greater Manchester,Restraint,Ground restraint,1.0,184.0,1147.0,444.0,60.0,1.0,0.0,1837.0
Greater Manchester,Unarmed skills,*Total Unarmed skills,1.0,294.0,1515.0,639.0,122.0,11.0,0.0,2582.0
Greater Manchester,Other equipment,*Total Other equipment,0.0,49.0,409.0,177.0,15.0,5.0,0.0,655.0
Greater Manchester,Other equipment,"Baton, of which",0.0,25.0,203.0,77.0,5.0,1.0,0.0,311.0
Greater Manchester,Other equipment,Baton drawn,0.0,22.0,144.0,53.0,4.0,1.0,0.0,224.0
Greater Manchester,Other equipment,Baton used,0.0,3.0,59.0,24.0,1.0,0.0,0.0,87.0
Greater Manchester,Other equipment,Not stated baton,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Greater Manchester,Other equipment,"Irritant spray, of which",0.0,21.0,140.0,64.0,4.0,2.0,0.0,231.0
Greater Manchester,Other equipment,Irritant spray - drawn,0.0,17.0,82.0,34.0,2.0,1.0,0.0,136.0
Greater Manchester,Other equipment,Irritant spray - used,0.0,4.0,58.0,30.0,2.0,1.0,0.0,95.0
Greater Manchester,Other equipment,Not stated irritant spray,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Greater Manchester,Other equipment,Spit and bite guard,0.0,0.0,3.0,0.0,0.0,0.0,0.0,3.0
Greater Manchester,Other equipment,Shield,0.0,3.0,63.0,36.0,6.0,2.0,0.0,110.0
Greater Manchester,Less lethal weapons,*Total Less lethal weapons,8.0,111.0,903.0,356.0,64.0,5.0,0.0,1447.0
Greater Manchester,Less lethal weapons,CED,8.0,110.0,899.0,356.0,64.0,5.0,0.0,1442.0
Greater Manchester,Less lethal weapons,"AEP, of which",0.0,1.0,4.0,0.0,0.0,0.0,0.0,5.0
Greater Manchester,Less lethal weapons,AEP aimed,0.0,1.0,2.0,0.0,0.0,0.0,0.0,3.0
Greater Manchester,Less lethal weapons,AEP fired,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0
Greater Manchester,Less lethal weapons,Not stated AEP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Greater Manchester,Firearms,*Total Firearms,0.0,4.0,70.0,20.0,7.0,0.0,0.0,101.0
Greater Manchester,Other,*Total Other,0.0,28.0,139.0,57.0,7.0,0.0,0.0,231.0
Greater Manchester,Other,"Dog use, of which",0.0,4.0,24.0,11.0,0.0,0.0,0.0,39.0
Greater Manchester,Other,Dog deployed,0.0,2.0,16.0,6.0,0.0,0.0,0.0,24.0
Greater Manchester,Other,Dog bite,0.0,2.0,8.0,5.0,0.0,0.0,0.0,15.0
Greater Manchester,Other,Not stated dog,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Greater Manchester,Other,Other / improvised,0.0,24.0,115.0,46.0,7.0,0.0,0.0,192.0
Greater Manchester,Not reported,*Total Not reported,0.0,2.0,20.0,7.0,1.0,0.0,0.0,30.0
Greater Manchester,Tactical communication,Tactical communication,5.0,565.0,3215.0,1405.0,268.0,19.0,0.0,5477.0
Gwent,Total (excluding not reported and tactical communication),*Total Tactics,6.0,697.0,4443.0,1475.0,294.0,24.0,744.0,7683.0
Gwent,Restraint,*Total Restraint,0.0,452.0,2982.0,1056.0,200.0,10.0,479.0,5179.0
Gwent,Restraint,"Handcuffing, of which",0.0,384.0,2644.0,983.0,189.0,10.0,429.0,4639.0
Gwent,Restraint,Compliant handcuffing,0.0,219.0,1846.0,723.0,125.0,5.0,305.0,3223.0
Gwent,Restraint,Non-compliant handcuffing,0.0,164.0,794.0,259.0,64.0,5.0,124.0,1410.0
Gwent,Restraint,Not stated handcuffing,0.0,1.0,4.0,1.0,0.0,0.0,0.0,6.0
Gwent,Restraint,Limb / Body restraints,0.0,0.0,6.0,6.0,0.0,0.0,1.0,13.0
Gwent,Restraint,Ground restraint,0.0,68.0,332.0,67.0,11.0,0.0,49.0,527.0
Gwent,Unarmed skills,*Total Unarmed skills,5.0,190.0,967.0,280.0,53.0,7.0,161.0,1663.0
Gwent,Other equipment,*Total Other equipment,0.0,31.0,265.0,81.0,15.0,2.0,61.0,455.0
Gwent,Other equipment,"Baton, of which",0.0,0.0,24.0,7.0,0.0,0.0,21.0,52.0
Gwent,Other equipment,Baton drawn,0.0,0.0,15.0,4.0,0.0,0.0,18.0,37.0
Gwent,Other equipment,Baton used,0.0,0.0,9.0,3.0,0.0,0.0,3.0,15.0
Gwent,Other equipment,Not stated baton,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gwent,Other equipment,"Irritant spray, of which",0.0,16.0,169.0,47.0,10.0,2.0,23.0,267.0
Gwent,Other equipment,Irritant spray - drawn,0.0,5.0,80.0,19.0,7.0,2.0,8.0,121.0
Gwent,Other equipment,Irritant spray - used,0.0,11.0,89.0,28.0,3.0,0.0,15.0,146.0
Gwent,Other equipment,Not stated irritant spray,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gwent,Other equipment,Spit and bite guard,0.0,15.0,66.0,25.0,1.0,0.0,14.0,121.0
Gwent,Other equipment,Shield,0.0,0.0,6.0,2.0,4.0,0.0,3.0,15.0
Gwent,Less lethal weapons,*Total Less lethal weapons,0.0,5.0,105.0,33.0,14.0,1.0,20.0,178.0
Gwent,Less lethal weapons,CED,0.0,5.0,101.0,32.0,13.0,1.0,19.0,171.0
Gwent,Less lethal weapons,"AEP, of which",0.0,0.0,4.0,1.0,1.0,0.0,1.0,7.0
Gwent,Less lethal weapons,AEP aimed,0.0,0.0,4.0,1.0,1.0,0.0,0.0,6.0
Gwent,Less lethal weapons,AEP fired,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gwent,Less lethal weapons,Not stated AEP,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
Gwent,Firearms,*Total Firearms,0.0,0.0,13.0,0.0,3.0,1.0,14.0,31.0
Gwent,Other,*Total Other,1.0,19.0,111.0,25.0,9.0,3.0,9.0,177.0
Gwent,Other,"Dog use, of which",0.0,4.0,20.0,4.0,0.0,0.0,1.0,29.0
Gwent,Other,Dog deployed,0.0,4.0,18.0,4.0,0.0,0.0,1.0,27.0
Gwent,Other,Dog bite,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0
Gwent,Other,Not stated dog,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gwent,Other,Other / improvised,1.0,15.0,91.0,21.0,9.0,3.0,8.0,148.0
Gwent,Not reported,*Total Not reported,0.0,42.0,235.0,80.0,13.0,0.0,25.0,395.0
Gwent,Tactical communication,Tactical communication,4.0,170.0,978.0,332.0,72.0,9.0,198.0,1763.0
Hampshire,Total (excluding not reported and tactical communication),*Total Tactics,8.0,613.0,3573.0,1215.0,328.0,25.0,2766.0,8528.0
Hampshire,Restraint,*Total Restraint,3.0,386.0,2218.0,745.0,202.0,14.0,1670.0,5238.0
Hampshire,Restraint,"Handcuffing, of which",1.0,203.0,1147.0,411.0,129.0,9.0,931.0,2831.0
Hampshire,Restraint,Compliant handcuffing,0.0,51.0,300.0,128.0,48.0,1.0,229.0,757.0
Hampshire,Restraint,Non-compliant handcuffing,1.0,152.0,847.0,283.0,81.0,8.0,702.0,2074.0
Hampshire,Restraint,Not stated handcuffing,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hampshire,Restraint,Limb / Body restraints,1.0,66.0,309.0,104.0,23.0,2.0,216.0,721.0
Hampshire,Restraint,Ground restraint,1.0,117.0,762.0,230.0,50.0,3.0,523.0,1686.0
Hampshire,Unarmed skills,*Total Unarmed skills,2.0,187.0,982.0,318.0,88.0,11.0,799.0,2387.0
Hampshire,Other equipment,*Total Other equipment,0.0,15.0,175.0,71.0,15.0,0.0,129.0,405.0
Hampshire,Other equipment,"Baton, of which",0.0,4.0,33.0,11.0,2.0,0.0,23.0,73.0
Hampshire,Other equipment,Baton drawn,0.0,4.0,27.0,7.0,2.0,0.0,22.0,62.0
Hampshire,Other equipment,Baton used,0.0,0.0,6.0,4.0,0.0,0.0,1.0,11.0
Hampshire,Other equipment,Not stated baton,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hampshire,Other equipment,"Irritant spray, of which",0.0,6.0,85.0,32.0,7.0,0.0,65.0,195.0
Hampshire,Other equipment,Irritant spray - drawn,0.0,5.0,56.0,26.0,5.0,0.0,55.0,147.0
Hampshire,Other equipment,Irritant spray - used,0.0,1.0,29.0,6.0,2.0,0.0,10.0,48.0
Hampshire,Other equipment,Not stated irritant spray,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hampshire,Other equipment,Spit and bite guard,0.0,5.0,51.0,22.0,4.0,0.0,24.0,106.0
Hampshire,Other equipment,Shield,0.0,0.0,6.0,6.0,2.0,0.0,17.0,31.0
Hampshire,Less lethal weapons,*Total Less lethal weapons,1.0,6.0,92.0,33.0,11.0,0.0,67.0,210.0
Hampshire,Less lethal weapons,CED,1.0,6.0,92.0,33.0,11.0,0.0,66.0,209.0
Hampshire,Less lethal weapons,"AEP, of which",0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
Hampshire,Less lethal weapons,AEP aimed,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
Hampshire,Less lethal weapons,AEP fired,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hampshire,Less lethal weapons,Not stated AEP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hampshire,Firearms,*Total Firearms,0.0,0.0,2.0,0.0,1.0,0.0,2.0,5.0
Hampshire,Other,*Total Other,2.0,19.0,104.0,48.0,11.0,0.0,99.0,283.0
Hampshire,Other,"Dog use, of which",0.0,1.0,9.0,2.0,1.0,0.0,11.0,24.0
Hampshire,Other,Dog deployed,0.0,1.0,8.0,1.0,1.0,0.0,10.0,21.0
Hampshire,Other,Dog bite,0.0,0.0,1.0,1.0,0.0,0.0,1.0,3.0
Hampshire,Other,Not stated dog,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hampshire,Other,Other / improvised,2.0,18.0,95.0,46.0,10.0,0.0,88.0,259.0
Hampshire,Not reported,*Total Not reported,0.0,1.0,0.0,1.0,0.0,0.0,68.0,70.0
Hampshire,Tactical communication,Tactical communication,5.0,261.0,1430.0,520.0,159.0,13.0,1153.0,3541.0
Hertfordshire,Total (excluding not reported and tactical communication),*Total Tactics,28.0,1798.0,9197.0,3474.0,810.0,82.0,121.0,15510.0
Hertfordshire,Restraint,*Total Restraint,6.0,1086.0,5409.0,2090.0,455.0,40.0,60.0,9146.0
Hertfordshire,Restraint,"Handcuffing, of which",1.0,847.0,4048.0,1671.0,364.0,34.0,50.0,7015.0
Hertfordshire,Restraint,Compliant handcuffing,1.0,535.0,2507.0,1089.0,226.0,24.0,35.0,4417.0
Hertfordshire,Restraint,Non-compliant handcuffing,0.0,312.0,1541.0,582.0,138.0,10.0,15.0,2598.0
Hertfordshire,Restraint,Not stated handcuffing,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hertfordshire,Restraint,Limb / Body restraints,0.0,73.0,493.0,151.0,33.0,1.0,3.0,754.0
Hertfordshire,Restraint,Ground restraint,5.0,166.0,868.0,268.0,58.0,5.0,7.0,1377.0
Hertfordshire,Unarmed skills,*Total Unarmed skills,19.0,559.0,2588.0,974.0,260.0,37.0,38.0,4475.0
Hertfordshire,Other equipment,*Total Other equipment,0.0,74.0,760.0,272.0,50.0,0.0,13.0,1169.0
Hertfordshire,Other equipment,"Baton, of which",0.0,12.0,109.0,39.0,6.0,0.0,6.0,172.0
Hertfordshire,Other equipment,Baton drawn,0.0,10.0,72.0,24.0,4.0,0.0,4.0,114.0
Hertfordshire,Other equipment,Baton used,0.0,2.0,36.0,15.0,2.0,0.0,2.0,57.0
Hertfordshire,Other equipment,Not stated baton,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
Hertfordshire,Other equipment,"Irritant spray, of which",0.0,47.0,524.0,195.0,39.0,0.0,7.0,812.0
Hertfordshire,Other equipment,Irritant spray - drawn,0.0,28.0,293.0,104.0,22.0,0.0,6.0,453.0
Hertfordshire,Other equipment,Irritant spray - used,0.0,18.0,221.0,91.0,17.0,0.0,1.0,348.0
Hertfordshire,Other equipment,Not stated irritant spray,0.0,1.0,10.0,0.0,0.0,0.0,0.0,11.0
Hertfordshire,Other equipment,Spit and bite guard,0.0,13.0,101.0,32.0,5.0,0.0,0.0,151.0
Hertfordshire,Other equipment,Shield,0.0,2.0,26.0,6.0,0.0,0.0,0.0,34.0
Hertfordshire,Less lethal weapons,*Total Less lethal weapons,0.0,30.0,188.0,62.0,17.0,2.0,3.0,302.0
Hertfordshire,Less lethal weapons,CED,0.0,30.0,185.0,60.0,17.0,2.0,3.0,297.0
Hertfordshire,Less lethal weapons,"AEP, of which",0.0,0.0,3.0,2.0,0.0,0.0,0.0,5.0
Hertfordshire,Less lethal weapons,AEP aimed,0.0,0.0,2.0,2.0,0.0,0.0,0.0,4.0
Hertfordshire,Less lethal weapons,AEP fired,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hertfordshire,Less lethal weapons,Not stated AEP,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
Hertfordshire,Firearms,*Total Firearms,0.0,0.0,14.0,3.0,1.0,0.0,0.0,18.0
Hertfordshire,Other,*Total Other,3.0,49.0,238.0,73.0,27.0,3.0,7.0,400.0
Hertfordshire,Other,"Dog use, of which",0.0,0.0,7.0,1.0,0.0,0.0,1.0,9.0
Hertfordshire,Other,Dog deployed,0.0,0.0,4.0,1.0,0.0,0.0,1.0,6.0
Hertfordshire,Other,Dog bite,0.0,0.0,3.0,0.0,0.0,0.0,0.0,3.0
Hertfordshire,Other,Not stated dog,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hertfordshire,Other,Other / improvised,3.0,49.0,231.0,72.0,27.0,3.0,6.0,391.0
Hertfordshire,Not reported,*Total Not reported,0.0,5.0,34.0,10.0,3.0,1.0,1.0,54.0
Hertfordshire,Tactical communication,Tactical communication,23.0,1024.0,4824.0,1904.0,476.0,58.0,77.0,8386.0
Humberside,Total (excluding not reported and tactical communication),*Total Tactics,9.0,853.0,4198.0,2027.0,382.0,34.0,0.0,7503.0
Humberside,Restraint,*Total Restraint,3.0,451.0,2132.0,1094.0,180.0,14.0,0.0,3874.0
Humberside,Restraint,"Handcuffing, of which",2.0,326.0,1598.0,900.0,157.0,12.0,0.0,2995.0
Humberside,Restraint,Compliant handcuffing,1.0,153.0,921.0,588.0,92.0,7.0,0.0,1762.0
Humberside,Restraint,Non-compliant handcuffing,1.0,173.0,677.0,312.0,65.0,5.0,0.0,1233.0
Humberside,Restraint,Not stated handcuffing,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Humberside,Restraint,Limb / Body restraints,0.0,40.0,148.0,48.0,5.0,0.0,0.0,241.0
Humberside,Restraint,Ground restraint,1.0,85.0,386.0,146.0,18.0,2.0,0.0,638.0
Humberside,Unarmed skills,*Total Unarmed skills,5.0,313.0,1166.0,565.0,121.0,14.0,0.0,2184.0
Humberside,Other equipment,*Total Other equipment,0.0,31.0,229.0,78.0,21.0,2.0,0.0,361.0
Humberside,Other equipment,"Baton, of which",0.0,5.0,41.0,14.0,3.0,0.0,0.0,63.0
Humberside,Other equipment,Baton drawn,0.0,2.0,30.0,7.0,3.0,0.0,0.0,42.0
Humberside,Other equipment,Baton used,0.0,3.0,11.0,7.0,0.0,0.0,0.0,21.0
Humberside,Other equipment,Not stated baton,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Humberside,Other equipment,"Irritant spray, of which",0.0,18.0,129.0,41.0,11.0,0.0,0.0,199.0
Humberside,Other equipment,Irritant spray - drawn,0.0,11.0,58.0,17.0,6.0,0.0,0.0,92.0
Humberside,Other equipment,Irritant spray - used,0.0,7.0,71.0,24.0,5.0,0.0,0.0,107.0
Humberside,Other equipment,Not stated irritant spray,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Humberside,Other equipment,Spit and bite guard,0.0,7.0,50.0,15.0,6.0,0.0,0.0,78.0
Humberside,Other equipment,Shield,0.0,1.0,9.0,8.0,1.0,2.0,0.0,21.0
Humberside,Less lethal weapons,*Total Less lethal weapons,1.0,26.0,394.0,181.0,39.0,3.0,0.0,644.0
Humberside,Less lethal weapons,CED,1.0,24.0,347.0,165.0,32.0,3.0,0.0,572.0
Humberside,Less lethal weapons,"AEP, of which",0.0,2.0,47.0,16.0,7.0,0.0,0.0,72.0
Humberside,Less lethal weapons,AEP aimed,0.0,2.0,45.0,13.0,6.0,0.0,0.0,66.0
Humberside,Less lethal weapons,AEP fired,0.0,0.0,2.0,3.0,1.0,0.0,0.0,6.0
Humberside,Less lethal weapons,Not stated AEP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Humberside,Firearms,*Total Firearms,0.0,2.0,54.0,21.0,5.0,0.0,0.0,82.0
Humberside,Other,*Total Other,0.0,30.0,223.0,88.0,16.0,1.0,0.0,358.0
Humberside,Other,"Dog use, of which",0.0,2.0,18.0,8.0,0.0,0.0,0.0,28.0
Humberside,Other,Dog deployed,0.0,2.0,12.0,6.0,0.0,0.0,0.0,20.0
Humberside,Other,Dog bite,0.0,0.0,6.0,2.0,0.0,0.0,0.0,8.0
Humberside,Other,Not stated dog,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Humberside,Other,Other / improvised,0.0,28.0,205.0,80.0,16.0,1.0,0.0,330.0
Humberside,Not reported,*Total Not reported,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Humberside,Tactical communication,Tactical communication,3.0,325.0,1613.0,854.0,157.0,16.0,0.0,2968.0
Kent,Total (excluding not reported and tactical communication),*Total Tactics,32.0,1413.0,10113.0,4500.0,1288.0,125.0,63.0,17534.0
Kent,Restraint,*Total Restraint,13.0,915.0,6959.0,3065.0,866.0,79.0,45.0,11942.0
Kent,Restraint,"Handcuffing, of which",9.0,670.0,5019.0,2321.0,680.0,63.0,30.0,8792.0
Kent,Restraint,Compliant handcuffing,6.0,353.0,3011.0,1381.0,381.0,23.0,19.0,5174.0
Kent,Restraint,Non-compliant handcuffing,3.0,317.0,2008.0,940.0,299.0,40.0,11.0,3618.0
Kent,Restraint,Not stated handcuffing,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kent,Restraint,Limb / Body restraints,1.0,109.0,762.0,308.0,76.0,14.0,5.0,1275.0
Kent,Restraint,Ground restraint,3.0,136.0,1178.0,436.0,110.0,2.0,10.0,1875.0
Kent,Unarmed skills,*Total Unarmed skills,4.0,334.0,1757.0,786.0,214.0,22.0,8.0,3125.0
Kent,Other equipment,*Total Other equipment,4.0,43.0,518.0,216.0,67.0,6.0,4.0,858.0
Kent,Other equipment,"Baton, of which",2.0,9.0,82.0,32.0,16.0,1.0,0.0,142.0
Kent,Other equipment,Baton drawn,2.0,7.0,58.0,22.0,10.0,1.0,0.0,100.0
Kent,Other equipment,Baton used,0.0,2.0,24.0,10.0,6.0,0.0,0.0,42.0
Kent,Other equipment,Not stated baton,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kent,Other equipment,"Irritant spray, of which",1.0,24.0,292.0,136.0,31.0,2.0,3.0,489.0
Kent,Other equipment,Irritant spray - drawn,1.0,14.0,147.0,75.0,15.0,0.0,1.0,253.0
Kent,Other equipment,Irritant spray - used,0.0,10.0,145.0,61.0,16.0,2.0,2.0,236.0
Kent,Other equipment,Not stated irritant spray,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kent,Other equipment,Spit and bite guard,1.0,7.0,123.0,44.0,20.0,3.0,1.0,199.0
Kent,Other equipment,Shield,0.0,3.0,21.0,4.0,0.0,0.0,0.0,28.0
Kent,Less lethal weapons,*Total Less lethal weapons,7.0,33.0,355.0,186.0,51.0,8.0,1.0,641.0
Kent,Less lethal weapons,CED,3.0,31.0,327.0,170.0,48.0,8.0,1.0,588.0
Kent,Less lethal weapons,"AEP, of which",4.0,2.0,28.0,16.0,3.0,0.0,0.0,53.0
Kent,Less lethal weapons,AEP aimed,4.0,2.0,25.0,14.0,3.0,0.0,0.0,48.0
Kent,Less lethal weapons,AEP fired,0.0,0.0,3.0,2.0,0.0,0.0,0.0,5.0
Kent,Less lethal weapons,Not stated AEP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kent,Firearms,*Total Firearms,1.0,6.0,77.0,40.0,25.0,3.0,0.0,152.0
Kent,Other,*Total Other,3.0,82.0,447.0,207.0,65.0,7.0,5.0,816.0
Kent,Other,"Dog use, of which",0.0,4.0,19.0,3.0,0.0,0.0,0.0,26.0
Kent,Other,Dog deployed,0.0,3.0,12.0,2.0,0.0,0.0,0.0,17.0
Kent,Other,Dog bite,0.0,1.0,7.0,1.0,0.0,0.0,0.0,9.0
Kent,Other,Not stated dog,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kent,Other,Other / improvised,3.0,78.0,428.0,204.0,65.0,7.0,5.0,790.0
Kent,Not reported,*Total Not reported,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kent,Tactical communication,Tactical communication,10.0,364.0,2506.0,1189.0,359.0,36.0,16.0,4480.0
Lancashire,Total (excluding not reported and tactical communication),*Total Tactics,8.0,500.0,2948.0,1336.0,360.0,37.0,5868.0,11057.0
Lancashire,Restraint,*Total Restraint,1.0,225.0,1222.0,487.0,111.0,11.0,3087.0,5144.0
Lancashire,Restraint,"Handcuffing, of which",1.0,185.0,918.0,391.0,100.0,11.0,2670.0,4276.0
Lancashire,Restraint,Compliant handcuffing,0.0,69.0,365.0,151.0,39.0,2.0,1191.0,1817.0
Lancashire,Restraint,Non-compliant handcuffing,1.0,116.0,553.0,240.0,61.0,9.0,1479.0,2459.0
Lancashire,Restraint,Not stated handcuffing,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lancashire,Restraint,Limb / Body restraints,0.0,6.0,81.0,21.0,3.0,0.0,149.0,260.0
Lancashire,Restraint,Ground restraint,0.0,34.0,223.0,75.0,8.0,0.0,268.0,608.0
Lancashire,Unarmed skills,*Total Unarmed skills,4.0,232.0,1134.0,583.0,179.0,21.0,1668.0,3821.0
Lancashire,Other equipment,*Total Other equipment,0.0,15.0,275.0,104.0,16.0,2.0,697.0,1109.0
Lancashire,Other equipment,"Baton, of which",0.0,2.0,49.0,19.0,0.0,1.0,68.0,139.0
Lancashire,Other equipment,Baton drawn,0.0,1.0,27.0,9.0,0.0,1.0,33.0,71.0
Lancashire,Other equipment,Baton used,0.0,1.0,22.0,10.0,0.0,0.0,35.0,68.0
Lancashire,Other equipment,Not stated baton,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lancashire,Other equipment,"Irritant spray, of which",0.0,13.0,209.0,81.0,15.0,0.0,595.0,913.0
Lancashire,Other equipment,Irritant spray - drawn,0.0,4.0,72.0,25.0,4.0,0.0,198.0,303.0
Lancashire,Other equipment,Irritant spray - used,0.0,9.0,137.0,56.0,11.0,0.0,397.0,610.0
Lancashire,Other equipment,Not stated irritant spray,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lancashire,Other equipment,Spit and bite guard,0.0,0.0,15.0,3.0,1.0,0.0,30.0,49.0
Lancashire,Other equipment,Shield,0.0,0.0,2.0,1.0,0.0,1.0,4.0,8.0
Lancashire,Less lethal weapons,*Total Less lethal weapons,1.0,8.0,109.0,40.0,11.0,0.0,261.0,430.0
Lancashire,Less lethal weapons,CED,1.0,7.0,108.0,40.0,11.0,0.0,261.0,428.0
Lancashire,Less lethal weapons,"AEP, of which",0.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0
Lancashire,Less lethal weapons,AEP aimed,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0
Lancashire,Less lethal weapons,AEP fired,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lancashire,Less lethal weapons,Not stated AEP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lancashire,Firearms,*Total Firearms,0.0,0.0,2.0,0.0,0.0,0.0,1.0,3.0
Lancashire,Other,*Total Other,2.0,20.0,206.0,122.0,43.0,3.0,154.0,550.0
Lancashire,Other,"Dog use, of which",0.0,1.0,27.0,4.0,1.0,0.0,13.0,46.0
Lancashire,Other,Dog deployed,0.0,1.0,18.0,4.0,1.0,0.0,8.0,32.0
Lancashire,Other,Dog bite,0.0,0.0,9.0,0.0,0.0,0.0,5.0,14.0
Lancashire,Other,Not stated dog,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lancashire,Other,Other / improvised,2.0,19.0,179.0,118.0,42.0,3.0,141.0,504.0
Lancashire,Not reported,*Total Not reported,0.0,1.0,9.0,6.0,0.0,0.0,13.0,29.0
Lancashire,Tactical communication,Tactical communication,5.0,250.0,1333.0,691.0,199.0,27.0,2532.0,5037.0
Leicestershire,Total (excluding not reported and tactical communication),*Total Tactics,0.0,1050.0,6243.0,2858.0,512.0,62.0,34.0,10759.0
Leicestershire,Restraint,*Total Restraint,0.0,658.0,3973.0,1897.0,324.0,46.0,22.0,6920.0
Leicestershire,Restraint,"Handcuffing, of which",0.0,620.0,3728.0,1802.0,316.0,46.0,22.0,6534.0
Leicestershire,Restraint,Compliant handcuffing,0.0,445.0,2731.0,1370.0,247.0,33.0,15.0,4841.0
Leicestershire,Restraint,Non-compliant handcuffing,0.0,175.0,997.0,432.0,69.0,13.0,7.0,1693.0
Leicestershire,Restraint,Not stated handcuffing,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Leicestershire,Restraint,Limb / Body restraints,0.0,36.0,241.0,94.0,8.0,0.0,0.0,379.0
Leicestershire,Restraint,Ground restraint,0.0,2.0,4.0,1.0,0.0,0.0,0.0,7.0
