Police Force,Type of force,Tactic,Under 11 years,11 - 17 years,18 - 34 years,35 - 49 years,50 - 64 years,65 and over,Not reported,Number of times tactic reported
Essex,Less lethal weapons,CED not stated,0.0,11.0,64.0,30.0,13.0,0.0,1.0,119.0
Essex,Less lethal weapons,"AEP, of which",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Essex,Less lethal weapons,AEP drawn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Essex,Less lethal weapons,AEP used,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Essex,Less lethal weapons,AEP not stated,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Essex,Firearms,*Total Firearms,0.0,27.0,88.0,32.0,13.0,1.0,1.0,162.0
Essex,Other,*Total Other,26.0,242.0,1155.0,570.0,138.0,21.0,16.0,2168.0
Essex,Other,"Dog use, of which",0.0,23.0,113.0,26.0,4.0,0.0,1.0,167.0
Essex,Other,Dog deployed,0.0,16.0,87.0,22.0,4.0,0.0,1.0,130.0
Essex,Other,Dog bite,0.0,7.0,26.0,4.0,0.0,0.0,0.0,37.0
Essex,Other,Dog not stated,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Essex,Other,Other / improvised,26.0,219.0,1042.0,544.0,134.0,21.0,15.0,2001.0
Essex,Not reported,*Total Not reported,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Essex,Tactical communication,Tactical communication,34.0,541.0,2597.0,1308.0,330.0,31.0,55.0,4896.0
Gloucestershire,Total (excluding not reported and tactical communication),*Total Tactics,0.0,212.0,1051.0,510.0,176.0,10.0,177.0,2136.0
Gloucestershire,Restraint,*Total Restraint,0.0,148.0,685.0,324.0,117.0,5.0,115.0,1394.0
Gloucestershire,Restraint,"Handcuffing, of which",0.0,99.0,438.0,236.0,77.0,5.0,75.0,930.0
Gloucestershire,Restraint,Compliant handcuffing,0.0,58.0,253.0,138.0,44.0,3.0,46.0,542.0
Gloucestershire,Restraint,Non-compliant handcuffing,0.0,41.0,185.0,98.0,33.0,2.0,29.0,388.0
Gloucestershire,Restraint,Handcuffing not stated,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gloucestershire,Restraint,Limb / Body restraints,0.0,8.0,53.0,12.0,10.0,0.0,6.0,89.0
Gloucestershire,Restraint,Ground restraint,0.0,41.0,194.0,76.0,30.0,0.0,34.0,375.0
Gloucestershire,Unarmed skills,*Total Unarmed skills,0.0,41.0,186.0,104.0,33.0,5.0,26.0,395.0
Gloucestershire,Other equipment,*Total Other equipment,0.0,8.0,82.0,26.0,11.0,0.0,10.0,137.0
Gloucestershire,Other equipment,"Baton, of which",0.0,1.0,11.0,7.0,4.0,0.0,2.0,25.0
Gloucestershire,Other equipment,Baton drawn,0.0,0.0,7.0,3.0,3.0,0.0,1.0,14.0
Gloucestershire,Other equipment,Baton used,0.0,1.0,4.0,4.0,1.0,0.0,1.0,11.0
Gloucestershire,Other equipment,Baton not stated,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gloucestershire,Other equipment,"Irritant spray, of which",0.0,2.0,49.0,12.0,5.0,0.0,6.0,74.0
Gloucestershire,Other equipment,Irritant spray - drawn,0.0,2.0,26.0,7.0,3.0,0.0,4.0,42.0
Gloucestershire,Other equipment,Irritant spray - used,0.0,0.0,23.0,5.0,2.0,0.0,2.0,32.0
Gloucestershire,Other equipment,Irritant spray not stated,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gloucestershire,Other equipment,Spit and bite guard,0.0,2.0,18.0,3.0,1.0,0.0,2.0,26.0
Gloucestershire,Other equipment,Shield,0.0,3.0,4.0,4.0,1.0,0.0,0.0,12.0
Gloucestershire,Less lethal weapons,*Total Less lethal weapons,0.0,1.0,60.0,32.0,9.0,0.0,19.0,121.0
Gloucestershire,Less lethal weapons,CED of which,0.0,0.0,50.0,27.0,7.0,0.0,18.0,102.0
Gloucestershire,Less lethal weapons,CED non-discharge,0.0,0.0,30.0,17.0,5.0,0.0,11.0,63.0
Gloucestershire,Less lethal weapons,CED discharge,0.0,0.0,8.0,6.0,1.0,0.0,7.0,22.0
Gloucestershire,Less lethal weapons,CED not stated,0.0,0.0,12.0,4.0,1.0,0.0,0.0,17.0
Gloucestershire,Less lethal weapons,"AEP, of which",0.0,1.0,10.0,5.0,2.0,0.0,1.0,19.0
Gloucestershire,Less lethal weapons,AEP drawn,0.0,1.0,9.0,4.0,2.0,0.0,1.0,17.0
Gloucestershire,Less lethal weapons,AEP used,0.0,0.0,1.0,1.0,0.0,0.0,0.0,2.0
Gloucestershire,Less lethal weapons,AEP not stated,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gloucestershire,Firearms,*Total Firearms,0.0,1.0,2.0,4.0,0.0,0.0,0.0,7.0
Gloucestershire,Other,*Total Other,0.0,13.0,36.0,20.0,6.0,0.0,7.0,82.0
Gloucestershire,Other,"Dog use, of which",0.0,4.0,17.0,12.0,3.0,0.0,6.0,42.0
Gloucestershire,Other,Dog deployed,0.0,4.0,15.0,12.0,3.0,0.0,5.0,39.0
Gloucestershire,Other,Dog bite,0.0,0.0,2.0,0.0,0.0,0.0,1.0,3.0
Gloucestershire,Other,Dog not stated,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gloucestershire,Other,Other / improvised,0.0,9.0,19.0,8.0,3.0,0.0,1.0,40.0
Gloucestershire,Not reported,*Total Not reported,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gloucestershire,Tactical communication,Tactical communication,0.0,109.0,484.0,252.0,97.0,8.0,77.0,1027.0
Greater Manchester,Total (excluding not reported and tactical communication),*Total Tactics,45.0,1920.0,9514.0,4060.0,814.0,83.0,0.0,16436.0
Greater Manchester,Restraint,*Total Restraint,7.0,1239.0,5866.0,2535.0,489.0,51.0,0.0,10187.0
Greater Manchester,Restraint,"Handcuffing, of which",2.0,616.0,2714.0,1202.0,242.0,22.0,0.0,4798.0
Greater Manchester,Restraint,Compliant handcuffing,0.0,258.0,1084.0,487.0,88.0,5.0,0.0,1922.0
Greater Manchester,Restraint,Non-compliant handcuffing,2.0,358.0,1630.0,715.0,154.0,17.0,0.0,2876.0
Greater Manchester,Restraint,Handcuffing not stated,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Greater Manchester,Restraint,Limb / Body restraints,4.0,352.0,1632.0,716.0,137.0,16.0,0.0,2857.0
Greater Manchester,Restraint,Ground restraint,1.0,271.0,1520.0,617.0,110.0,13.0,0.0,2532.0
Greater Manchester,Unarmed skills,*Total Unarmed skills,13.0,458.0,1977.0,889.0,192.0,22.0,0.0,3551.0
Greater Manchester,Other equipment,*Total Other equipment,10.0,66.0,477.0,177.0,37.0,2.0,0.0,769.0
Greater Manchester,Other equipment,"Baton, of which",4.0,34.0,198.0,73.0,11.0,0.0,0.0,320.0
Greater Manchester,Other equipment,Baton drawn,4.0,26.0,134.0,48.0,7.0,0.0,0.0,219.0
Greater Manchester,Other equipment,Baton used,0.0,8.0,64.0,25.0,4.0,0.0,0.0,101.0
Greater Manchester,Other equipment,Baton not stated,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Greater Manchester,Other equipment,"Irritant spray, of which",3.0,23.0,163.0,63.0,12.0,1.0,0.0,265.0
Greater Manchester,Other equipment,Irritant spray - drawn,2.0,14.0,100.0,34.0,8.0,1.0,0.0,159.0
Greater Manchester,Other equipment,Irritant spray - used,1.0,9.0,63.0,29.0,4.0,0.0,0.0,106.0
Greater Manchester,Other equipment,Irritant spray not stated,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Greater Manchester,Other equipment,Spit and bite guard,0.0,8.0,44.0,14.0,6.0,0.0,0.0,72.0
Greater Manchester,Other equipment,Shield,3.0,1.0,72.0,27.0,8.0,1.0,0.0,112.0
Greater Manchester,Less lethal weapons,*Total Less lethal weapons,11.0,121.0,946.0,375.0,81.0,8.0,0.0,1546.0
Greater Manchester,Less lethal weapons,CED of which,11.0,121.0,946.0,372.0,81.0,8.0,0.0,1543.0
Greater Manchester,Less lethal weapons,CED non-discharge,5.0,109.0,686.0,290.0,64.0,4.0,0.0,1158.0
Greater Manchester,Less lethal weapons,CED discharge,0.0,7.0,109.0,45.0,8.0,1.0,0.0,174.0
Greater Manchester,Less lethal weapons,CED not stated,6.0,5.0,151.0,37.0,9.0,3.0,0.0,211.0
Greater Manchester,Less lethal weapons,"AEP, of which",0.0,0.0,0.0,3.0,0.0,0.0,0.0,3.0
Greater Manchester,Less lethal weapons,AEP drawn,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0
Greater Manchester,Less lethal weapons,AEP used,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
Greater Manchester,Less lethal weapons,AEP not stated,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Greater Manchester,Firearms,*Total Firearms,0.0,2.0,27.0,15.0,1.0,0.0,0.0,45.0
Greater Manchester,Other,*Total Other,0.0,34.0,221.0,69.0,14.0,0.0,0.0,338.0
Greater Manchester,Other,"Dog use, of which",0.0,10.0,48.0,5.0,0.0,0.0,0.0,63.0
Greater Manchester,Other,Dog deployed,0.0,5.0,28.0,3.0,0.0,0.0,0.0,36.0
Greater Manchester,Other,Dog bite,0.0,5.0,20.0,2.0,0.0,0.0,0.0,27.0
Greater Manchester,Other,Dog not stated,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Greater Manchester,Other,Other / improvised,0.0,24.0,173.0,64.0,14.0,0.0,0.0,275.0
Greater Manchester,Not reported,*Total Not reported,1.0,4.0,17.0,10.0,2.0,0.0,0.0,34.0
Greater Manchester,Tactical communication,Tactical communication,22.0,859.0,3979.0,1730.0,359.0,37.0,0.0,6986.0
Gwent,Total (excluding not reported and tactical communication),*Total Tactics,11.0,890.0,5657.0,1975.0,418.0,27.0,48.0,9026.0
Gwent,Restraint,*Total Restraint,4.0,542.0,3691.0,1377.0,275.0,14.0,32.0,5935.0
Gwent,Restraint,"Handcuffing, of which",2.0,455.0,3172.0,1255.0,258.0,14.0,28.0,5184.0
Gwent,Restraint,Compliant handcuffing,2.0,251.0,2168.0,904.0,174.0,7.0,21.0,3527.0
Gwent,Restraint,Non-compliant handcuffing,0.0,204.0,1004.0,351.0,84.0,7.0,7.0,1657.0
Gwent,Restraint,Handcuffing not stated,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gwent,Restraint,Limb / Body restraints,0.0,0.0,4.0,3.0,0.0,0.0,0.0,7.0
Gwent,Restraint,Ground restraint,2.0,87.0,515.0,119.0,17.0,0.0,4.0,744.0
Gwent,Unarmed skills,*Total Unarmed skills,6.0,259.0,1340.0,407.0,100.0,13.0,10.0,2135.0
Gwent,Other equipment,*Total Other equipment,0.0,38.0,322.0,88.0,16.0,0.0,0.0,464.0
Gwent,Other equipment,"Baton, of which",0.0,1.0,10.0,6.0,1.0,0.0,0.0,18.0
Gwent,Other equipment,Baton drawn,0.0,1.0,5.0,3.0,1.0,0.0,0.0,10.0
Gwent,Other equipment,Baton used,0.0,0.0,5.0,3.0,0.0,0.0,0.0,8.0
Gwent,Other equipment,Baton not stated,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gwent,Other equipment,"Irritant spray, of which",0.0,19.0,216.0,58.0,14.0,0.0,0.0,307.0
Gwent,Other equipment,Irritant spray - drawn,0.0,12.0,76.0,27.0,8.0,0.0,0.0,123.0
Gwent,Other equipment,Irritant spray - used,0.0,7.0,140.0,31.0,6.0,0.0,0.0,184.0
Gwent,Other equipment,Irritant spray not stated,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gwent,Other equipment,Spit and bite guard,0.0,17.0,93.0,23.0,1.0,0.0,0.0,134.0
Gwent,Other equipment,Shield,0.0,1.0,3.0,1.0,0.0,0.0,0.0,5.0
Gwent,Less lethal weapons,*Total Less lethal weapons,0.0,13.0,131.0,55.0,19.0,0.0,4.0,222.0
Gwent,Less lethal weapons,CED of which,0.0,12.0,130.0,54.0,19.0,0.0,3.0,218.0
Gwent,Less lethal weapons,CED non-discharge,0.0,8.0,93.0,37.0,15.0,0.0,3.0,156.0
Gwent,Less lethal weapons,CED discharge,0.0,1.0,15.0,7.0,1.0,0.0,0.0,24.0
Gwent,Less lethal weapons,CED not stated,0.0,3.0,22.0,10.0,3.0,0.0,0.0,38.0
Gwent,Less lethal weapons,"AEP, of which",0.0,1.0,1.0,1.0,0.0,0.0,1.0,4.0
Gwent,Less lethal weapons,AEP drawn,0.0,1.0,1.0,1.0,0.0,0.0,1.0,4.0
Gwent,Less lethal weapons,AEP used,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gwent,Less lethal weapons,AEP not stated,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gwent,Firearms,*Total Firearms,0.0,0.0,20.0,7.0,2.0,0.0,0.0,29.0
Gwent,Other,*Total Other,1.0,38.0,153.0,41.0,6.0,0.0,2.0,241.0
Gwent,Other,"Dog use, of which",0.0,5.0,25.0,2.0,1.0,0.0,0.0,33.0
Gwent,Other,Dog deployed,0.0,5.0,23.0,2.0,1.0,0.0,0.0,31.0
Gwent,Other,Dog bite,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0
Gwent,Other,Dog not stated,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gwent,Other,Other / improvised,1.0,33.0,128.0,39.0,5.0,0.0,2.0,208.0
Gwent,Not reported,*Total Not reported,0.0,27.0,130.0,51.0,17.0,1.0,30.0,256.0
Gwent,Tactical communication,Tactical communication,4.0,229.0,1214.0,439.0,104.0,13.0,10.0,2013.0
Hampshire,Total (excluding not reported and tactical communication),*Total Tactics,18.0,974.0,5957.0,2223.0,554.0,30.0,142.0,9898.0
Hampshire,Restraint,*Total Restraint,6.0,588.0,3547.0,1310.0,324.0,16.0,26.0,5817.0
Hampshire,Restraint,"Handcuffing, of which",3.0,305.0,1794.0,731.0,202.0,11.0,16.0,3062.0
Hampshire,Restraint,Compliant handcuffing,0.0,77.0,442.0,192.0,60.0,2.0,3.0,776.0
Hampshire,Restraint,Non-compliant handcuffing,3.0,228.0,1352.0,539.0,142.0,9.0,13.0,2286.0
Hampshire,Restraint,Handcuffing not stated,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hampshire,Restraint,Limb / Body restraints,1.0,76.0,468.0,144.0,43.0,4.0,1.0,737.0
Hampshire,Restraint,Ground restraint,2.0,207.0,1285.0,435.0,79.0,1.0,9.0,2018.0
Hampshire,Unarmed skills,*Total Unarmed skills,8.0,296.0,1618.0,602.0,164.0,11.0,47.0,2746.0
Hampshire,Other equipment,*Total Other equipment,2.0,40.0,321.0,121.0,27.0,1.0,52.0,564.0
Hampshire,Other equipment,"Baton, of which",0.0,4.0,58.0,21.0,2.0,0.0,50.0,135.0
Hampshire,Other equipment,Baton drawn,0.0,4.0,32.0,10.0,0.0,0.0,50.0,96.0
Hampshire,Other equipment,Baton used,0.0,0.0,22.0,9.0,2.0,0.0,0.0,33.0
Hampshire,Other equipment,Baton not stated,0.0,0.0,4.0,2.0,0.0,0.0,0.0,6.0
Hampshire,Other equipment,"Irritant spray, of which",1.0,26.0,171.0,70.0,19.0,0.0,0.0,287.0
Hampshire,Other equipment,Irritant spray - drawn,0.0,16.0,78.0,29.0,8.0,0.0,0.0,131.0
Hampshire,Other equipment,Irritant spray - used,1.0,10.0,93.0,41.0,11.0,0.0,0.0,156.0
Hampshire,Other equipment,Irritant spray not stated,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hampshire,Other equipment,Spit and bite guard,0.0,9.0,74.0,19.0,2.0,1.0,1.0,106.0
Hampshire,Other equipment,Shield,1.0,1.0,18.0,11.0,4.0,0.0,1.0,36.0
Hampshire,Less lethal weapons,*Total Less lethal weapons,0.0,27.0,313.0,122.0,16.0,0.0,6.0,484.0
Hampshire,Less lethal weapons,CED of which,0.0,27.0,309.0,122.0,16.0,0.0,6.0,480.0
Hampshire,Less lethal weapons,CED non-discharge,0.0,21.0,237.0,89.0,16.0,0.0,5.0,368.0
Hampshire,Less lethal weapons,CED discharge,0.0,2.0,31.0,18.0,0.0,0.0,0.0,51.0
Hampshire,Less lethal weapons,CED not stated,0.0,4.0,41.0,15.0,0.0,0.0,1.0,61.0
Hampshire,Less lethal weapons,"AEP, of which",0.0,0.0,4.0,0.0,0.0,0.0,0.0,4.0
Hampshire,Less lethal weapons,AEP drawn,0.0,0.0,4.0,0.0,0.0,0.0,0.0,4.0
Hampshire,Less lethal weapons,AEP used,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hampshire,Less lethal weapons,AEP not stated,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hampshire,Firearms,*Total Firearms,0.0,0.0,4.0,0.0,0.0,0.0,0.0,4.0
Hampshire,Other,*Total Other,2.0,23.0,154.0,68.0,23.0,2.0,11.0,283.0
Hampshire,Other,"Dog use, of which",0.0,3.0,10.0,4.0,1.0,0.0,1.0,19.0
Hampshire,Other,Dog deployed,0.0,3.0,7.0,3.0,1.0,0.0,1.0,15.0
Hampshire,Other,Dog bite,0.0,0.0,3.0,1.0,0.0,0.0,0.0,4.0
Hampshire,Other,Dog not stated,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hampshire,Other,Other / improvised,2.0,20.0,144.0,64.0,22.0,2.0,10.0,264.0
Hampshire,Not reported,*Total Not reported,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hampshire,Tactical communication,Tactical communication,9.0,424.0,2420.0,950.0,273.0,18.0,78.0,4172.0
Hertfordshire,Total (excluding not reported and tactical communication),*Total Tactics,12.0,1624.0,8317.0,3485.0,863.0,96.0,100.0,14497.0
Hertfordshire,Restraint,*Total Restraint,3.0,975.0,4923.0,2047.0,483.0,48.0,48.0,8527.0
Hertfordshire,Restraint,"Handcuffing, of which",1.0,761.0,3608.0,1558.0,390.0,41.0,29.0,6388.0
Hertfordshire,Restraint,Compliant handcuffing,0.0,505.0,2265.0,976.0,244.0,22.0,18.0,4030.0
Hertfordshire,Restraint,Non-compliant handcuffing,1.0,256.0,1343.0,582.0,146.0,19.0,11.0,2358.0
Hertfordshire,Restraint,Handcuffing not stated,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hertfordshire,Restraint,Limb / Body restraints,0.0,58.0,469.0,157.0,34.0,5.0,7.0,730.0
Hertfordshire,Restraint,Ground restraint,2.0,156.0,846.0,332.0,59.0,2.0,12.0,1409.0
Hertfordshire,Unarmed skills,*Total Unarmed skills,9.0,523.0,2311.0,1004.0,281.0,37.0,41.0,4206.0
Hertfordshire,Other equipment,*Total Other equipment,0.0,48.0,660.0,244.0,47.0,6.0,6.0,1011.0
Hertfordshire,Other equipment,"Baton, of which",0.0,9.0,70.0,44.0,9.0,0.0,4.0,136.0
Hertfordshire,Other equipment,Baton drawn,0.0,6.0,47.0,29.0,7.0,0.0,2.0,91.0
Hertfordshire,Other equipment,Baton used,0.0,3.0,23.0,15.0,2.0,0.0,2.0,45.0
Hertfordshire,Other equipment,Baton not stated,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hertfordshire,Other equipment,"Irritant spray, of which",0.0,32.0,465.0,163.0,27.0,3.0,2.0,692.0
Hertfordshire,Other equipment,Irritant spray - drawn,0.0,21.0,264.0,92.0,15.0,2.0,1.0,395.0
Hertfordshire,Other equipment,Irritant spray - used,0.0,11.0,200.0,70.0,12.0,1.0,1.0,295.0
Hertfordshire,Other equipment,Irritant spray not stated,0.0,0.0,1.0,1.0,0.0,0.0,0.0,2.0
Hertfordshire,Other equipment,Spit and bite guard,0.0,6.0,97.0,30.0,7.0,3.0,0.0,143.0
Hertfordshire,Other equipment,Shield,0.0,1.0,28.0,7.0,4.0,0.0,0.0,40.0
Hertfordshire,Less lethal weapons,*Total Less lethal weapons,0.0,48.0,238.0,97.0,32.0,1.0,5.0,421.0
Hertfordshire,Less lethal weapons,CED of which,0.0,48.0,238.0,97.0,32.0,1.0,5.0,421.0
Hertfordshire,Less lethal weapons,CED non-discharge,0.0,44.0,217.0,83.0,29.0,1.0,4.0,378.0
Hertfordshire,Less lethal weapons,CED discharge,0.0,4.0,20.0,14.0,3.0,0.0,1.0,42.0
Hertfordshire,Less lethal weapons,CED not stated,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
Hertfordshire,Less lethal weapons,"AEP, of which",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hertfordshire,Less lethal weapons,AEP drawn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hertfordshire,Less lethal weapons,AEP used,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hertfordshire,Less lethal weapons,AEP not stated,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hertfordshire,Firearms,*Total Firearms,0.0,1.0,9.0,2.0,0.0,0.0,0.0,12.0
Hertfordshire,Other,*Total Other,0.0,29.0,176.0,91.0,20.0,4.0,0.0,320.0
Hertfordshire,Other,"Dog use, of which",0.0,1.0,5.0,0.0,0.0,0.0,0.0,6.0
Hertfordshire,Other,Dog deployed,0.0,1.0,3.0,0.0,0.0,0.0,0.0,4.0
Hertfordshire,Other,Dog bite,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0
Hertfordshire,Other,Dog not stated,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hertfordshire,Other,Other / improvised,0.0,28.0,171.0,91.0,20.0,4.0,0.0,314.0
Hertfordshire,Not reported,*Total Not reported,1.0,9.0,19.0,3.0,2.0,0.0,1.0,35.0
Hertfordshire,Tactical communication,Tactical communication,11.0,945.0,4347.0,1849.0,508.0,62.0,52.0,7774.0
Humberside,Total (excluding not reported and tactical communication),*Total Tactics,16.0,872.0,5003.0,2402.0,574.0,29.0,433.0,9329.0
Humberside,Restraint,*Total Restraint,8.0,439.0,2641.0,1269.0,302.0,18.0,208.0,4885.0
Humberside,Restraint,"Handcuffing, of which",4.0,342.0,1909.0,993.0,250.0,17.0,148.0,3663.0
Humberside,Restraint,Compliant handcuffing,1.0,198.0,1126.0,619.0,143.0,9.0,60.0,2156.0
Humberside,Restraint,Non-compliant handcuffing,3.0,144.0,783.0,374.0,107.0,8.0,88.0,1507.0
Humberside,Restraint,Handcuffing not stated,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Humberside,Restraint,Limb / Body restraints,3.0,31.0,253.0,86.0,21.0,0.0,15.0,409.0
Humberside,Restraint,Ground restraint,1.0,66.0,479.0,190.0,31.0,1.0,45.0,813.0
Humberside,Unarmed skills,*Total Unarmed skills,4.0,277.0,1326.0,613.0,152.0,8.0,135.0,2515.0
Humberside,Other equipment,*Total Other equipment,3.0,25.0,265.0,113.0,27.0,1.0,38.0,472.0
Humberside,Other equipment,"Baton, of which",0.0,8.0,40.0,11.0,6.0,0.0,5.0,70.0
Humberside,Other equipment,Baton drawn,0.0,5.0,26.0,8.0,3.0,0.0,5.0,47.0
Humberside,Other equipment,Baton used,0.0,3.0,14.0,3.0,3.0,0.0,0.0,23.0
Humberside,Other equipment,Baton not stated,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Humberside,Other equipment,"Irritant spray, of which",2.0,12.0,119.0,69.0,12.0,0.0,23.0,237.0
Humberside,Other equipment,Irritant spray - drawn,1.0,8.0,56.0,29.0,7.0,0.0,8.0,109.0
Humberside,Other equipment,Irritant spray - used,1.0,4.0,63.0,40.0,5.0,0.0,15.0,128.0
Humberside,Other equipment,Irritant spray not stated,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Humberside,Other equipment,Spit and bite guard,1.0,5.0,101.0,31.0,8.0,0.0,10.0,156.0
Humberside,Other equipment,Shield,0.0,0.0,5.0,2.0,1.0,1.0,0.0,9.0
Humberside,Less lethal weapons,*Total Less lethal weapons,0.0,66.0,454.0,272.0,62.0,1.0,22.0,877.0
Humberside,Less lethal weapons,CED of which,0.0,56.0,427.0,242.0,57.0,1.0,21.0,804.0
Humberside,Less lethal weapons,CED non-discharge,0.0,38.0,282.0,159.0,38.0,1.0,14.0,532.0
Humberside,Less lethal weapons,CED discharge,0.0,2.0,48.0,26.0,4.0,0.0,0.0,80.0
Humberside,Less lethal weapons,CED not stated,0.0,16.0,97.0,57.0,15.0,0.0,7.0,192.0
Humberside,Less lethal weapons,"AEP, of which",0.0,10.0,27.0,30.0,5.0,0.0,1.0,73.0
Humberside,Less lethal weapons,AEP drawn,0.0,10.0,27.0,28.0,5.0,0.0,1.0,71.0
Humberside,Less lethal weapons,AEP used,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0
Humberside,Less lethal weapons,AEP not stated,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Humberside,Firearms,*Total Firearms,0.0,24.0,71.0,48.0,14.0,0.0,4.0,161.0
Humberside,Other,*Total Other,1.0,41.0,246.0,87.0,17.0,1.0,26.0,419.0
Humberside,Other,"Dog use, of which",0.0,12.0,20.0,6.0,1.0,0.0,5.0,44.0
Humberside,Other,Dog deployed,0.0,7.0,16.0,5.0,0.0,0.0,4.0,32.0
Humberside,Other,Dog bite,0.0,5.0,4.0,1.0,1.0,0.0,1.0,12.0
Humberside,Other,Dog not stated,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Humberside,Other,Other / improvised,1.0,29.0,226.0,81.0,16.0,1.0,21.0,375.0
Humberside,Not reported,*Total Not reported,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Humberside,Tactical communication,Tactical communication,5.0,398.0,2067.0,1023.0,265.0,22.0,161.0,3941.0
Kent,Total (excluding not reported and tactical communication),*Total Tactics,59.0,1671.0,10605.0,4725.0,1430.0,103.0,2243.0,20836.0
Kent,Restraint,*Total Restraint,41.0,1276.0,7999.0,3623.0,1051.0,70.0,1525.0,15585.0
Kent,Restraint,"Handcuffing, of which",18.0,830.0,5179.0,2461.0,757.0,47.0,872.0,10164.0
Kent,Restraint,Compliant handcuffing,14.0,462.0,3169.0,1506.0,436.0,26.0,480.0,6093.0
Kent,Restraint,Non-compliant handcuffing,4.0,368.0,2010.0,955.0,321.0,21.0,392.0,4071.0
Kent,Restraint,Handcuffing not stated,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kent,Restraint,Limb / Body restraints,13.0,248.0,1466.0,641.0,157.0,18.0,332.0,2875.0
Kent,Restraint,Ground restraint,10.0,198.0,1354.0,521.0,137.0,5.0,321.0,2546.0
Kent,Unarmed skills,*Total Unarmed skills,13.0,192.0,1108.0,483.0,189.0,15.0,293.0,2293.0
Kent,Other equipment,*Total Other equipment,1.0,56.0,406.0,172.0,43.0,1.0,111.0,790.0
Kent,Other equipment,"Baton, of which",0.0,7.0,64.0,22.0,7.0,0.0,28.0,128.0
Kent,Other equipment,Baton drawn,0.0,5.0,42.0,17.0,4.0,0.0,19.0,87.0
Kent,Other equipment,Baton used,0.0,2.0,22.0,5.0,3.0,0.0,9.0,41.0
Kent,Other equipment,Baton not stated,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kent,Other equipment,"Irritant spray, of which",0.0,30.0,205.0,105.0,23.0,0.0,48.0,411.0
Kent,Other equipment,Irritant spray - drawn,,,,,,,,
Kent,Other equipment,Irritant spray - used,,,,,,,,
Kent,Other equipment,Irritant spray not stated,0.0,30.0,205.0,105.0,23.0,0.0,48.0,411.0
Kent,Other equipment,Spit and bite guard,1.0,19.0,118.0,41.0,8.0,1.0,28.0,216.0
Kent,Other equipment,Shield,0.0,0.0,19.0,4.0,5.0,0.0,7.0,35.0
