Tactic,Police Force,Force type - Output,Tactic - Output,age,count
AEP drawn,South Wales,,,35 - 49 years,21.0
AEP used,South Wales,,,35 - 49 years,0.0
AEP not stated,South Wales,,,35 - 49 years,0.0
*Total Firearms,South Wales,Firearms,Total: Firearms,35 - 49 years,39.0
*Total Other,South Wales,Other,Total: Other,35 - 49 years,265.0
"Dog use, of which",South Wales,Other,Total: Dog,35 - 49 years,16.0
Dog deployed,South Wales,Other,Dog: deployed,35 - 49 years,15.0
Dog bite,South Wales,Other,Dog: bite,35 - 49 years,1.0
Dog not stated,South Wales,,,35 - 49 years,0.0
Other / improvised,South Wales,Other,Other / improvised,35 - 49 years,249.0
*Total Not reported,South Wales,Not reported,Total: Not reported,35 - 49 years,3.0
Tactical communication,South Wales,Excluded: Tactical Communication,Tactical Communication,35 - 49 years,2963.0
*Total Tactics,South Yorkshire,Total,Total: all,35 - 49 years,3292.0
*Total Restraint,South Yorkshire,Restraint,Total: Restraint,35 - 49 years,1518.0
"Handcuffing, of which",South Yorkshire,Restraint,Total: Handcuffing,35 - 49 years,1043.0
Compliant handcuffing,South Yorkshire,Restraint,Handcuffing: compliant,35 - 49 years,401.0
Non-compliant handcuffing,South Yorkshire,Restraint,Handcuffing: non-compliant,35 - 49 years,642.0
Handcuffing not stated,South Yorkshire,,,35 - 49 years,0.0
Limb / Body restraints,South Yorkshire,Restraint,Limb / body restraints,35 - 49 years,106.0
Ground restraint,South Yorkshire,Restraint,Ground restraint,35 - 49 years,369.0
*Total Unarmed skills,South Yorkshire,Unarmed skills,Total: unarmed skills,35 - 49 years,1238.0
*Total Other equipment,South Yorkshire,Other equipment,Total: Other equipment,35 - 49 years,224.0
"Baton, of which",South Yorkshire,Other equipment,Total: Baton,35 - 49 years,29.0
Baton drawn,South Yorkshire,Other equipment,Baton: drawn,35 - 49 years,20.0
Baton used,South Yorkshire,Other equipment,Baton: used,35 - 49 years,9.0
Baton not stated,South Yorkshire,,,35 - 49 years,0.0
"Irritant spray, of which",South Yorkshire,Other equipment,Total: Irritant spray,35 - 49 years,147.0
Irritant spray - drawn,South Yorkshire,Other equipment,Irritant spray: drawn,35 - 49 years,52.0
Irritant spray - used,South Yorkshire,Other equipment,Irritant spray: used,35 - 49 years,95.0
Irritant spray not stated,South Yorkshire,,,35 - 49 years,0.0
Spit and bite guard,South Yorkshire,Other equipment,Spit and bite guard,35 - 49 years,44.0
Shield,South Yorkshire,Other equipment,Shield,35 - 49 years,4.0
*Total Less lethal weapons,South Yorkshire,Less lethal weapons,Total: Less lethal weapons,35 - 49 years,161.0
CED of which,South Yorkshire,,,35 - 49 years,158.0
CED non-discharge,South Yorkshire,,,35 - 49 years,128.0
CED discharge,South Yorkshire,,,35 - 49 years,30.0
CED not stated,South Yorkshire,,,35 - 49 years,0.0
"AEP, of which",South Yorkshire,Less lethal weapons,Total: AEP,35 - 49 years,3.0
AEP drawn,South Yorkshire,,,35 - 49 years,3.0
AEP used,South Yorkshire,,,35 - 49 years,0.0
AEP not stated,South Yorkshire,,,35 - 49 years,0.0
*Total Firearms,South Yorkshire,Firearms,Total: Firearms,35 - 49 years,23.0
*Total Other,South Yorkshire,Other,Total: Other,35 - 49 years,128.0
"Dog use, of which",South Yorkshire,Other,Total: Dog,35 - 49 years,17.0
Dog deployed,South Yorkshire,Other,Dog: deployed,35 - 49 years,13.0
Dog bite,South Yorkshire,Other,Dog: bite,35 - 49 years,4.0
Dog not stated,South Yorkshire,,,35 - 49 years,0.0
Other / improvised,South Yorkshire,Other,Other / improvised,35 - 49 years,111.0
*Total Not reported,South Yorkshire,Not reported,Total: Not reported,35 - 49 years,0.0
Tactical communication,South Yorkshire,Excluded: Tactical Communication,Tactical Communication,35 - 49 years,1207.0
*Total Tactics,Staffordshire,Total,Total: all,35 - 49 years,1347.0
*Total Restraint,Staffordshire,Restraint,Total: Restraint,35 - 49 years,567.0
"Handcuffing, of which",Staffordshire,Restraint,Total: Handcuffing,35 - 49 years,392.0
Compliant handcuffing,Staffordshire,Restraint,Handcuffing: compliant,35 - 49 years,
Non-compliant handcuffing,Staffordshire,Restraint,Handcuffing: non-compliant,35 - 49 years,
Handcuffing not stated,Staffordshire,,,35 - 49 years,392.0
Limb / Body restraints,Staffordshire,Restraint,Limb / body restraints,35 - 49 years,28.0
Ground restraint,Staffordshire,Restraint,Ground restraint,35 - 49 years,147.0
*Total Unarmed skills,Staffordshire,Unarmed skills,Total: unarmed skills,35 - 49 years,584.0
*Total Other equipment,Staffordshire,Other equipment,Total: Other equipment,35 - 49 years,124.0
"Baton, of which",Staffordshire,Other equipment,Total: Baton,35 - 49 years,12.0
Baton drawn,Staffordshire,Other equipment,Baton: drawn,35 - 49 years,7.0
Baton used,Staffordshire,Other equipment,Baton: used,35 - 49 years,5.0
Baton not stated,Staffordshire,,,35 - 49 years,0.0
"Irritant spray, of which",Staffordshire,Other equipment,Total: Irritant spray,35 - 49 years,91.0
Irritant spray - drawn,Staffordshire,Other equipment,Irritant spray: drawn,35 - 49 years,37.0
Irritant spray - used,Staffordshire,Other equipment,Irritant spray: used,35 - 49 years,54.0
Irritant spray not stated,Staffordshire,,,35 - 49 years,0.0
Spit and bite guard,Staffordshire,Other equipment,Spit and bite guard,35 - 49 years,21.0
Shield,Staffordshire,Other equipment,Shield,35 - 49 years,0.0
*Total Less lethal weapons,Staffordshire,Less lethal weapons,Total: Less lethal weapons,35 - 49 years,32.0
CED of which,Staffordshire,,,35 - 49 years,29.0
CED non-discharge,Staffordshire,,,35 - 49 years,26.0
CED discharge,Staffordshire,,,35 - 49 years,3.0
CED not stated,Staffordshire,,,35 - 49 years,0.0
"AEP, of which",Staffordshire,Less lethal weapons,Total: AEP,35 - 49 years,3.0
AEP drawn,Staffordshire,,,35 - 49 years,3.0
AEP used,Staffordshire,,,35 - 49 years,0.0
AEP not stated,Staffordshire,,,35 - 49 years,0.0
*Total Firearms,Staffordshire,Firearms,Total: Firearms,35 - 49 years,7.0
*Total Other,Staffordshire,Other,Total: Other,35 - 49 years,33.0
"Dog use, of which",Staffordshire,Other,Total: Dog,35 - 49 years,11.0
Dog deployed,Staffordshire,Other,Dog: deployed,35 - 49 years,11.0
Dog bite,Staffordshire,Other,Dog: bite,35 - 49 years,0.0
Dog not stated,Staffordshire,,,35 - 49 years,0.0
Other / improvised,Staffordshire,Other,Other / improvised,35 - 49 years,22.0
*Total Not reported,Staffordshire,Not reported,Total: Not reported,35 - 49 years,1.0
Tactical communication,Staffordshire,Excluded: Tactical Communication,Tactical Communication,35 - 49 years,510.0
*Total Tactics,Suffolk,Total,Total: all,35 - 49 years,1412.0
*Total Restraint,Suffolk,Restraint,Total: Restraint,35 - 49 years,801.0
"Handcuffing, of which",Suffolk,Restraint,Total: Handcuffing,35 - 49 years,690.0
Compliant handcuffing,Suffolk,Restraint,Handcuffing: compliant,35 - 49 years,393.0
Non-compliant handcuffing,Suffolk,Restraint,Handcuffing: non-compliant,35 - 49 years,297.0
Handcuffing not stated,Suffolk,,,35 - 49 years,0.0
Limb / Body restraints,Suffolk,Restraint,Limb / body restraints,35 - 49 years,35.0
Ground restraint,Suffolk,Restraint,Ground restraint,35 - 49 years,76.0
*Total Unarmed skills,Suffolk,Unarmed skills,Total: unarmed skills,35 - 49 years,214.0
*Total Other equipment,Suffolk,Other equipment,Total: Other equipment,35 - 49 years,85.0
"Baton, of which",Suffolk,Other equipment,Total: Baton,35 - 49 years,3.0
Baton drawn,Suffolk,Other equipment,Baton: drawn,35 - 49 years,1.0
Baton used,Suffolk,Other equipment,Baton: used,35 - 49 years,2.0
Baton not stated,Suffolk,,,35 - 49 years,0.0
"Irritant spray, of which",Suffolk,Other equipment,Total: Irritant spray,35 - 49 years,66.0
Irritant spray - drawn,Suffolk,Other equipment,Irritant spray: drawn,35 - 49 years,28.0
Irritant spray - used,Suffolk,Other equipment,Irritant spray: used,35 - 49 years,38.0
Irritant spray not stated,Suffolk,,,35 - 49 years,0.0
Spit and bite guard,Suffolk,Other equipment,Spit and bite guard,35 - 49 years,14.0
Shield,Suffolk,Other equipment,Shield,35 - 49 years,2.0
*Total Less lethal weapons,Suffolk,Less lethal weapons,Total: Less lethal weapons,35 - 49 years,95.0
CED of which,Suffolk,,,35 - 49 years,84.0
CED non-discharge,Suffolk,,,35 - 49 years,
CED discharge,Suffolk,,,35 - 49 years,
CED not stated,Suffolk,,,35 - 49 years,84.0
"AEP, of which",Suffolk,Less lethal weapons,Total: AEP,35 - 49 years,11.0
AEP drawn,Suffolk,,,35 - 49 years,9.0
AEP used,Suffolk,,,35 - 49 years,2.0
AEP not stated,Suffolk,,,35 - 49 years,0.0
*Total Firearms,Suffolk,Firearms,Total: Firearms,35 - 49 years,3.0
*Total Other,Suffolk,Other,Total: Other,35 - 49 years,214.0
"Dog use, of which",Suffolk,Other,Total: Dog,35 - 49 years,4.0
Dog deployed,Suffolk,Other,Dog: deployed,35 - 49 years,0.0
Dog bite,Suffolk,Other,Dog: bite,35 - 49 years,4.0
Dog not stated,Suffolk,,,35 - 49 years,0.0
Other / improvised,Suffolk,Other,Other / improvised,35 - 49 years,210.0
*Total Not reported,Suffolk,Not reported,Total: Not reported,35 - 49 years,18.0
Tactical communication,Suffolk,Excluded: Tactical Communication,Tactical Communication,35 - 49 years,622.0
*Total Tactics,Surrey,Total,Total: all,35 - 49 years,1765.0
*Total Restraint,Surrey,Restraint,Total: Restraint,35 - 49 years,1045.0
"Handcuffing, of which",Surrey,Restraint,Total: Handcuffing,35 - 49 years,871.0
Compliant handcuffing,Surrey,Restraint,Handcuffing: compliant,35 - 49 years,470.0
Non-compliant handcuffing,Surrey,Restraint,Handcuffing: non-compliant,35 - 49 years,401.0
Handcuffing not stated,Surrey,,,35 - 49 years,0.0
Limb / Body restraints,Surrey,Restraint,Limb / body restraints,35 - 49 years,78.0
Ground restraint,Surrey,Restraint,Ground restraint,35 - 49 years,96.0
*Total Unarmed skills,Surrey,Unarmed skills,Total: unarmed skills,35 - 49 years,485.0
*Total Other equipment,Surrey,Other equipment,Total: Other equipment,35 - 49 years,85.0
"Baton, of which",Surrey,Other equipment,Total: Baton,35 - 49 years,9.0
Baton drawn,Surrey,Other equipment,Baton: drawn,35 - 49 years,5.0
Baton used,Surrey,Other equipment,Baton: used,35 - 49 years,4.0
Baton not stated,Surrey,,,35 - 49 years,0.0
"Irritant spray, of which",Surrey,Other equipment,Total: Irritant spray,35 - 49 years,53.0
Irritant spray - drawn,Surrey,Other equipment,Irritant spray: drawn,35 - 49 years,20.0
Irritant spray - used,Surrey,Other equipment,Irritant spray: used,35 - 49 years,33.0
Irritant spray not stated,Surrey,,,35 - 49 years,0.0
Spit and bite guard,Surrey,Other equipment,Spit and bite guard,35 - 49 years,22.0
Shield,Surrey,Other equipment,Shield,35 - 49 years,1.0
*Total Less lethal weapons,Surrey,Less lethal weapons,Total: Less lethal weapons,35 - 49 years,96.0
CED of which,Surrey,,,35 - 49 years,92.0
CED non-discharge,Surrey,,,35 - 49 years,85.0
CED discharge,Surrey,,,35 - 49 years,7.0
CED not stated,Surrey,,,35 - 49 years,0.0
"AEP, of which",Surrey,Less lethal weapons,Total: AEP,35 - 49 years,4.0
AEP drawn,Surrey,,,35 - 49 years,4.0
AEP used,Surrey,,,35 - 49 years,0.0
AEP not stated,Surrey,,,35 - 49 years,0.0
*Total Firearms,Surrey,Firearms,Total: Firearms,35 - 49 years,19.0
*Total Other,Surrey,Other,Total: Other,35 - 49 years,35.0
"Dog use, of which",Surrey,Other,Total: Dog,35 - 49 years,2.0
Dog deployed,Surrey,Other,Dog: deployed,35 - 49 years,1.0
Dog bite,Surrey,Other,Dog: bite,35 - 49 years,1.0
Dog not stated,Surrey,,,35 - 49 years,0.0
Other / improvised,Surrey,Other,Other / improvised,35 - 49 years,33.0
*Total Not reported,Surrey,Not reported,Total: Not reported,35 - 49 years,0.0
Tactical communication,Surrey,Excluded: Tactical Communication,Tactical Communication,35 - 49 years,700.0
*Total Tactics,Sussex,Total,Total: all,35 - 49 years,5975.0
*Total Restraint,Sussex,Restraint,Total: Restraint,35 - 49 years,3293.0
"Handcuffing, of which",Sussex,Restraint,Total: Handcuffing,35 - 49 years,2782.0
Compliant handcuffing,Sussex,Restraint,Handcuffing: compliant,35 - 49 years,
Non-compliant handcuffing,Sussex,Restraint,Handcuffing: non-compliant,35 - 49 years,
Handcuffing not stated,Sussex,,,35 - 49 years,2782.0
Limb / Body restraints,Sussex,Restraint,Limb / body restraints,35 - 49 years,194.0
Ground restraint,Sussex,Restraint,Ground restraint,35 - 49 years,317.0
*Total Unarmed skills,Sussex,Unarmed skills,Total: unarmed skills,35 - 49 years,1973.0
*Total Other equipment,Sussex,Other equipment,Total: Other equipment,35 - 49 years,323.0
"Baton, of which",Sussex,Other equipment,Total: Baton,35 - 49 years,42.0
Baton drawn,Sussex,Other equipment,Baton: drawn,35 - 49 years,21.0
Baton used,Sussex,Other equipment,Baton: used,35 - 49 years,21.0
Baton not stated,Sussex,,,35 - 49 years,0.0
"Irritant spray, of which",Sussex,Other equipment,Total: Irritant spray,35 - 49 years,217.0
Irritant spray - drawn,Sussex,Other equipment,Irritant spray: drawn,35 - 49 years,102.0
Irritant spray - used,Sussex,Other equipment,Irritant spray: used,35 - 49 years,115.0
Irritant spray not stated,Sussex,,,35 - 49 years,0.0
Spit and bite guard,Sussex,Other equipment,Spit and bite guard,35 - 49 years,61.0
Shield,Sussex,Other equipment,Shield,35 - 49 years,3.0
*Total Less lethal weapons,Sussex,Less lethal weapons,Total: Less lethal weapons,35 - 49 years,216.0
CED of which,Sussex,,,35 - 49 years,209.0
CED non-discharge,Sussex,,,35 - 49 years,183.0
CED discharge,Sussex,,,35 - 49 years,26.0
CED not stated,Sussex,,,35 - 49 years,0.0
"AEP, of which",Sussex,Less lethal weapons,Total: AEP,35 - 49 years,7.0
AEP drawn,Sussex,,,35 - 49 years,6.0
AEP used,Sussex,,,35 - 49 years,1.0
AEP not stated,Sussex,,,35 - 49 years,0.0
*Total Firearms,Sussex,Firearms,Total: Firearms,35 - 49 years,28.0
*Total Other,Sussex,Other,Total: Other,35 - 49 years,142.0
"Dog use, of which",Sussex,Other,Total: Dog,35 - 49 years,5.0
Dog deployed,Sussex,Other,Dog: deployed,35 - 49 years,5.0
Dog bite,Sussex,Other,Dog: bite,35 - 49 years,0.0
Dog not stated,Sussex,,,35 - 49 years,0.0
Other / improvised,Sussex,Other,Other / improvised,35 - 49 years,137.0
*Total Not reported,Sussex,Not reported,Total: Not reported,35 - 49 years,0.0
Tactical communication,Sussex,Excluded: Tactical Communication,Tactical Communication,35 - 49 years,2176.0
*Total Tactics,Thames Valley,Total,Total: all,35 - 49 years,7162.0
*Total Restraint,Thames Valley,Restraint,Total: Restraint,35 - 49 years,4396.0
"Handcuffing, of which",Thames Valley,Restraint,Total: Handcuffing,35 - 49 years,2948.0
Compliant handcuffing,Thames Valley,Restraint,Handcuffing: compliant,35 - 49 years,2005.0
Non-compliant handcuffing,Thames Valley,Restraint,Handcuffing: non-compliant,35 - 49 years,940.0
Handcuffing not stated,Thames Valley,,,35 - 49 years,3.0
Limb / Body restraints,Thames Valley,Restraint,Limb / body restraints,35 - 49 years,237.0
Ground restraint,Thames Valley,Restraint,Ground restraint,35 - 49 years,1211.0
*Total Unarmed skills,Thames Valley,Unarmed skills,Total: unarmed skills,35 - 49 years,1787.0
*Total Other equipment,Thames Valley,Other equipment,Total: Other equipment,35 - 49 years,336.0
"Baton, of which",Thames Valley,Other equipment,Total: Baton,35 - 49 years,59.0
Baton drawn,Thames Valley,Other equipment,Baton: drawn,35 - 49 years,
Baton used,Thames Valley,Other equipment,Baton: used,35 - 49 years,
Baton not stated,Thames Valley,,,35 - 49 years,59.0
"Irritant spray, of which",Thames Valley,Other equipment,Total: Irritant spray,35 - 49 years,208.0
Irritant spray - drawn,Thames Valley,Other equipment,Irritant spray: drawn,35 - 49 years,58.0
Irritant spray - used,Thames Valley,Other equipment,Irritant spray: used,35 - 49 years,128.0
Irritant spray not stated,Thames Valley,,,35 - 49 years,22.0
Spit and bite guard,Thames Valley,Other equipment,Spit and bite guard,35 - 49 years,63.0
Shield,Thames Valley,Other equipment,Shield,35 - 49 years,6.0
*Total Less lethal weapons,Thames Valley,Less lethal weapons,Total: Less lethal weapons,35 - 49 years,249.0
CED of which,Thames Valley,,,35 - 49 years,248.0
CED non-discharge,Thames Valley,,,35 - 49 years,196.0
CED discharge,Thames Valley,,,35 - 49 years,41.0
CED not stated,Thames Valley,,,35 - 49 years,11.0
"AEP, of which",Thames Valley,Less lethal weapons,Total: AEP,35 - 49 years,1.0
AEP drawn,Thames Valley,,,35 - 49 years,0.0
AEP used,Thames Valley,,,35 - 49 years,0.0
AEP not stated,Thames Valley,,,35 - 49 years,1.0
*Total Firearms,Thames Valley,Firearms,Total: Firearms,35 - 49 years,13.0
*Total Other,Thames Valley,Other,Total: Other,35 - 49 years,381.0
"Dog use, of which",Thames Valley,Other,Total: Dog,35 - 49 years,15.0
Dog deployed,Thames Valley,Other,Dog: deployed,35 - 49 years,
Dog bite,Thames Valley,Other,Dog: bite,35 - 49 years,
Dog not stated,Thames Valley,,,35 - 49 years,15.0
Other / improvised,Thames Valley,Other,Other / improvised,35 - 49 years,366.0
*Total Not reported,Thames Valley,Not reported,Total: Not reported,35 - 49 years,0.0
Tactical communication,Thames Valley,Excluded: Tactical Communication,Tactical Communication,35 - 49 years,356.0
*Total Tactics,Warwickshire,Total,Total: all,35 - 49 years,
*Total Restraint,Warwickshire,Restraint,Total: Restraint,35 - 49 years,
"Handcuffing, of which",Warwickshire,Restraint,Total: Handcuffing,35 - 49 years,
Compliant handcuffing,Warwickshire,Restraint,Handcuffing: compliant,35 - 49 years,
Non-compliant handcuffing,Warwickshire,Restraint,Handcuffing: non-compliant,35 - 49 years,
Handcuffing not stated,Warwickshire,,,35 - 49 years,
Limb / Body restraints,Warwickshire,Restraint,Limb / body restraints,35 - 49 years,
Ground restraint,Warwickshire,Restraint,Ground restraint,35 - 49 years,
*Total Unarmed skills,Warwickshire,Unarmed skills,Total: unarmed skills,35 - 49 years,
*Total Other equipment,Warwickshire,Other equipment,Total: Other equipment,35 - 49 years,
"Baton, of which",Warwickshire,Other equipment,Total: Baton,35 - 49 years,
Baton drawn,Warwickshire,Other equipment,Baton: drawn,35 - 49 years,
Baton used,Warwickshire,Other equipment,Baton: used,35 - 49 years,
Baton not stated,Warwickshire,,,35 - 49 years,
"Irritant spray, of which",Warwickshire,Other equipment,Total: Irritant spray,35 - 49 years,
Irritant spray - drawn,Warwickshire,Other equipment,Irritant spray: drawn,35 - 49 years,
Irritant spray - used,Warwickshire,Other equipment,Irritant spray: used,35 - 49 years,
Irritant spray not stated,Warwickshire,,,35 - 49 years,
Spit and bite guard,Warwickshire,Other equipment,Spit and bite guard,35 - 49 years,
Shield,Warwickshire,Other equipment,Shield,35 - 49 years,
*Total Less lethal weapons,Warwickshire,Less lethal weapons,Total: Less lethal weapons,35 - 49 years,
CED of which,Warwickshire,,,35 - 49 years,
CED non-discharge,Warwickshire,,,35 - 49 years,
CED discharge,Warwickshire,,,35 - 49 years,
CED not stated,Warwickshire,,,35 - 49 years,
"AEP, of which",Warwickshire,Less lethal weapons,Total: AEP,35 - 49 years,
AEP drawn,Warwickshire,,,35 - 49 years,
AEP used,Warwickshire,,,35 - 49 years,
AEP not stated,Warwickshire,,,35 - 49 years,
*Total Firearms,Warwickshire,Firearms,Total: Firearms,35 - 49 years,
*Total Other,Warwickshire,Other,Total: Other,35 - 49 years,
"Dog use, of which",Warwickshire,Other,Total: Dog,35 - 49 years,
Dog deployed,Warwickshire,Other,Dog: deployed,35 - 49 years,
Dog bite,Warwickshire,Other,Dog: bite,35 - 49 years,
Dog not stated,Warwickshire,,,35 - 49 years,
Other / improvised,Warwickshire,Other,Other / improvised,35 - 49 years,
*Total Not reported,Warwickshire,Not reported,Total: Not reported,35 - 49 years,
Tactical communication,Warwickshire,Excluded: Tactical Communication,Tactical Communication,35 - 49 years,
*Total Tactics,West Mercia,Total,Total: all,35 - 49 years,
*Total Restraint,West Mercia,Restraint,Total: Restraint,35 - 49 years,
"Handcuffing, of which",West Mercia,Restraint,Total: Handcuffing,35 - 49 years,
Compliant handcuffing,West Mercia,Restraint,Handcuffing: compliant,35 - 49 years,
Non-compliant handcuffing,West Mercia,Restraint,Handcuffing: non-compliant,35 - 49 years,
Handcuffing not stated,West Mercia,,,35 - 49 years,
Limb / Body restraints,West Mercia,Restraint,Limb / body restraints,35 - 49 years,
Ground restraint,West Mercia,Restraint,Ground restraint,35 - 49 years,
*Total Unarmed skills,West Mercia,Unarmed skills,Total: unarmed skills,35 - 49 years,
*Total Other equipment,West Mercia,Other equipment,Total: Other equipment,35 - 49 years,
"Baton, of which",West Mercia,Other equipment,Total: Baton,35 - 49 years,
Baton drawn,West Mercia,Other equipment,Baton: drawn,35 - 49 years,
Baton used,West Mercia,Other equipment,Baton: used,35 - 49 years,
Baton not stated,West Mercia,,,35 - 49 years,
"Irritant spray, of which",West Mercia,Other equipment,Total: Irritant spray,35 - 49 years,
Irritant spray - drawn,West Mercia,Other equipment,Irritant spray: drawn,35 - 49 years,
Irritant spray - used,West Mercia,Other equipment,Irritant spray: used,35 - 49 years,
Irritant spray not stated,West Mercia,,,35 - 49 years,
Spit and bite guard,West Mercia,Other equipment,Spit and bite guard,35 - 49 years,
Shield,West Mercia,Other equipment,Shield,35 - 49 years,
*Total Less lethal weapons,West Mercia,Less lethal weapons,Total: Less lethal weapons,35 - 49 years,
CED of which,West Mercia,,,35 - 49 years,
CED non-discharge,West Mercia,,,35 - 49 years,
CED discharge,West Mercia,,,35 - 49 years,
CED not stated,West Mercia,,,35 - 49 years,
"AEP, of which",West Mercia,Less lethal weapons,Total: AEP,35 - 49 years,
AEP drawn,West Mercia,,,35 - 49 years,
AEP used,West Mercia,,,35 - 49 years,
AEP not stated,West Mercia,,,35 - 49 years,
*Total Firearms,West Mercia,Firearms,Total: Firearms,35 - 49 years,
*Total Other,West Mercia,Other,Total: Other,35 - 49 years,
"Dog use, of which",West Mercia,Other,Total: Dog,35 - 49 years,
Dog deployed,West Mercia,Other,Dog: deployed,35 - 49 years,
Dog bite,West Mercia,Other,Dog: bite,35 - 49 years,
Dog not stated,West Mercia,,,35 - 49 years,
Other / improvised,West Mercia,Other,Other / improvised,35 - 49 years,
*Total Not reported,West Mercia,Not reported,Total: Not reported,35 - 49 years,
Tactical communication,West Mercia,Excluded: Tactical Communication,Tactical Communication,35 - 49 years,
*Total Tactics,West Midlands,Total,Total: all,35 - 49 years,4992.0
*Total Restraint,West Midlands,Restraint,Total: Restraint,35 - 49 years,1952.0
"Handcuffing, of which",West Midlands,Restraint,Total: Handcuffing,35 - 49 years,1150.0
Compliant handcuffing,West Midlands,Restraint,Handcuffing: compliant,35 - 49 years,206.0
Non-compliant handcuffing,West Midlands,Restraint,Handcuffing: non-compliant,35 - 49 years,944.0
Handcuffing not stated,West Midlands,,,35 - 49 years,0.0
Limb / Body restraints,West Midlands,Restraint,Limb / body restraints,35 - 49 years,224.0
Ground restraint,West Midlands,Restraint,Ground restraint,35 - 49 years,578.0
*Total Unarmed skills,West Midlands,Unarmed skills,Total: unarmed skills,35 - 49 years,1640.0
*Total Other equipment,West Midlands,Other equipment,Total: Other equipment,35 - 49 years,412.0
"Baton, of which",West Midlands,Other equipment,Total: Baton,35 - 49 years,50.0
Baton drawn,West Midlands,Other equipment,Baton: drawn,35 - 49 years,
Baton used,West Midlands,Other equipment,Baton: used,35 - 49 years,
Baton not stated,West Midlands,,,35 - 49 years,50.0
"Irritant spray, of which",West Midlands,Other equipment,Total: Irritant spray,35 - 49 years,246.0
Irritant spray - drawn,West Midlands,Other equipment,Irritant spray: drawn,35 - 49 years,
Irritant spray - used,West Midlands,Other equipment,Irritant spray: used,35 - 49 years,
Irritant spray not stated,West Midlands,,,35 - 49 years,246.0
Spit and bite guard,West Midlands,Other equipment,Spit and bite guard,35 - 49 years,108.0
Shield,West Midlands,Other equipment,Shield,35 - 49 years,8.0
*Total Less lethal weapons,West Midlands,Less lethal weapons,Total: Less lethal weapons,35 - 49 years,672.0
CED of which,West Midlands,,,35 - 49 years,668.0
CED non-discharge,West Midlands,,,35 - 49 years,570.0
CED discharge,West Midlands,,,35 - 49 years,98.0
CED not stated,West Midlands,,,35 - 49 years,0.0
"AEP, of which",West Midlands,Less lethal weapons,Total: AEP,35 - 49 years,4.0
AEP drawn,West Midlands,,,35 - 49 years,2.0
AEP used,West Midlands,,,35 - 49 years,2.0
AEP not stated,West Midlands,,,35 - 49 years,0.0
*Total Firearms,West Midlands,Firearms,Total: Firearms,35 - 49 years,140.0
*Total Other,West Midlands,Other,Total: Other,35 - 49 years,176.0
"Dog use, of which",West Midlands,Other,Total: Dog,35 - 49 years,15.0
Dog deployed,West Midlands,Other,Dog: deployed,35 - 49 years,
Dog bite,West Midlands,Other,Dog: bite,35 - 49 years,
Dog not stated,West Midlands,,,35 - 49 years,15.0
Other / improvised,West Midlands,Other,Other / improvised,35 - 49 years,161.0
*Total Not reported,West Midlands,Not reported,Total: Not reported,35 - 49 years,0.0
Tactical communication,West Midlands,Excluded: Tactical Communication,Tactical Communication,35 - 49 years,0.0
*Total Tactics,West Yorkshire,Total,Total: all,35 - 49 years,6457.0
*Total Restraint,West Yorkshire,Restraint,Total: Restraint,35 - 49 years,3909.0
"Handcuffing, of which",West Yorkshire,Restraint,Total: Handcuffing,35 - 49 years,3578.0
Compliant handcuffing,West Yorkshire,Restraint,Handcuffing: compliant,35 - 49 years,2368.0
Non-compliant handcuffing,West Yorkshire,Restraint,Handcuffing: non-compliant,35 - 49 years,1210.0
Handcuffing not stated,West Yorkshire,,,35 - 49 years,0.0
Limb / Body restraints,West Yorkshire,Restraint,Limb / body restraints,35 - 49 years,154.0
Ground restraint,West Yorkshire,Restraint,Ground restraint,35 - 49 years,177.0
*Total Unarmed skills,West Yorkshire,Unarmed skills,Total: unarmed skills,35 - 49 years,1734.0
*Total Other equipment,West Yorkshire,Other equipment,Total: Other equipment,35 - 49 years,442.0
"Baton, of which",West Yorkshire,Other equipment,Total: Baton,35 - 49 years,44.0
Baton drawn,West Yorkshire,Other equipment,Baton: drawn,35 - 49 years,25.0
Baton used,West Yorkshire,Other equipment,Baton: used,35 - 49 years,19.0
Baton not stated,West Yorkshire,,,35 - 49 years,0.0
"Irritant spray, of which",West Yorkshire,Other equipment,Total: Irritant spray,35 - 49 years,318.0
Irritant spray - drawn,West Yorkshire,Other equipment,Irritant spray: drawn,35 - 49 years,122.0
Irritant spray - used,West Yorkshire,Other equipment,Irritant spray: used,35 - 49 years,196.0
Irritant spray not stated,West Yorkshire,,,35 - 49 years,0.0
Spit and bite guard,West Yorkshire,Other equipment,Spit and bite guard,35 - 49 years,74.0
Shield,West Yorkshire,Other equipment,Shield,35 - 49 years,6.0
*Total Less lethal weapons,West Yorkshire,Less lethal weapons,Total: Less lethal weapons,35 - 49 years,251.0
CED of which,West Yorkshire,,,35 - 49 years,242.0
CED non-discharge,West Yorkshire,,,35 - 49 years,215.0
CED discharge,West Yorkshire,,,35 - 49 years,27.0
CED not stated,West Yorkshire,,,35 - 49 years,0.0
"AEP, of which",West Yorkshire,Less lethal weapons,Total: AEP,35 - 49 years,9.0
AEP drawn,West Yorkshire,,,35 - 49 years,9.0
AEP used,West Yorkshire,,,35 - 49 years,0.0
AEP not stated,West Yorkshire,,,35 - 49 years,0.0
*Total Firearms,West Yorkshire,Firearms,Total: Firearms,35 - 49 years,35.0
*Total Other,West Yorkshire,Other,Total: Other,35 - 49 years,86.0
