Tactic,Police Force,Force type - Output,Tactic - Output,ethnicity,count
*Total Other equipment,South Yorkshire,Other equipment,Total: Other equipment,Asian (or Asian British),23.0
"Baton, of which",South Yorkshire,Other equipment,Total: Baton,Asian (or Asian British),4.0
Baton drawn,South Yorkshire,Other equipment,Baton: drawn,Asian (or Asian British),2.0
Baton used,South Yorkshire,Other equipment,Baton: used,Asian (or Asian British),2.0
Baton not stated,South Yorkshire,,,Asian (or Asian British),0.0
"Irritant spray, of which",South Yorkshire,Other equipment,Total: Irritant spray,Asian (or Asian British),13.0
Irritant spray - drawn,South Yorkshire,Other equipment,Irritant spray: drawn,Asian (or Asian British),8.0
Irritant spray - used,South Yorkshire,Other equipment,Irritant spray: used,Asian (or Asian British),5.0
Irritant spray not stated,South Yorkshire,,,Asian (or Asian British),0.0
Spit and bite guard,South Yorkshire,Other equipment,Spit and bite guard,Asian (or Asian British),4.0
Shield,South Yorkshire,Other equipment,Shield,Asian (or Asian British),2.0
*Total Less lethal weapons,South Yorkshire,Less lethal weapons,Total: Less lethal weapons,Asian (or Asian British),20.0
CED of which,South Yorkshire,,,Asian (or Asian British),17.0
CED non-discharge,South Yorkshire,,,Asian (or Asian British),15.0
CED discharge,South Yorkshire,,,Asian (or Asian British),2.0
CED not stated,South Yorkshire,,,Asian (or Asian British),0.0
"AEP, of which",South Yorkshire,Less lethal weapons,Total: AEP,Asian (or Asian British),3.0
AEP drawn,South Yorkshire,,,Asian (or Asian British),3.0
AEP used,South Yorkshire,,,Asian (or Asian British),0.0
AEP not stated,South Yorkshire,,,Asian (or Asian British),0.0
*Total Firearms,South Yorkshire,Firearms,Total: Firearms,Asian (or Asian British),6.0
*Total Other,South Yorkshire,Other,Total: Other,Asian (or Asian British),23.0
"Dog use, of which",South Yorkshire,Other,Total: Dog,Asian (or Asian British),6.0
Dog deployed,South Yorkshire,Other,Dog: deployed,Asian (or Asian British),5.0
Dog bite,South Yorkshire,Other,Dog: bite,Asian (or Asian British),1.0
Dog not stated,South Yorkshire,,,Asian (or Asian British),0.0
Other / improvised,South Yorkshire,Other,Other / improvised,Asian (or Asian British),17.0
*Total Not reported,South Yorkshire,Not reported,Total: Not reported,Asian (or Asian British),0.0
Tactical communication,South Yorkshire,Excluded: Tactical Communication,Tactical Communication,Asian (or Asian British),180.0
*Total Tactics,Staffordshire,Total,Total: all,Asian (or Asian British),256.0
*Total Restraint,Staffordshire,Restraint,Total: Restraint,Asian (or Asian British),105.0
"Handcuffing, of which",Staffordshire,Restraint,Total: Handcuffing,Asian (or Asian British),79.0
Compliant handcuffing,Staffordshire,Restraint,Handcuffing: compliant,Asian (or Asian British),:
Non-compliant handcuffing,Staffordshire,Restraint,Handcuffing: non-compliant,Asian (or Asian British),:
Handcuffing not stated,Staffordshire,,,Asian (or Asian British),79.0
Limb / Body restraints,Staffordshire,Restraint,Limb / body restraints,Asian (or Asian British),8.0
Ground restraint,Staffordshire,Restraint,Ground restraint,Asian (or Asian British),18.0
*Total Unarmed skills,Staffordshire,Unarmed skills,Total: unarmed skills,Asian (or Asian British),114.0
*Total Other equipment,Staffordshire,Other equipment,Total: Other equipment,Asian (or Asian British),19.0
"Baton, of which",Staffordshire,Other equipment,Total: Baton,Asian (or Asian British),5.0
Baton drawn,Staffordshire,Other equipment,Baton: drawn,Asian (or Asian British),2.0
Baton used,Staffordshire,Other equipment,Baton: used,Asian (or Asian British),3.0
Baton not stated,Staffordshire,,,Asian (or Asian British),0.0
"Irritant spray, of which",Staffordshire,Other equipment,Total: Irritant spray,Asian (or Asian British),10.0
Irritant spray - drawn,Staffordshire,Other equipment,Irritant spray: drawn,Asian (or Asian British),8.0
Irritant spray - used,Staffordshire,Other equipment,Irritant spray: used,Asian (or Asian British),2.0
Irritant spray not stated,Staffordshire,,,Asian (or Asian British),0.0
Spit and bite guard,Staffordshire,Other equipment,Spit and bite guard,Asian (or Asian British),4.0
Shield,Staffordshire,Other equipment,Shield,Asian (or Asian British),0.0
*Total Less lethal weapons,Staffordshire,Less lethal weapons,Total: Less lethal weapons,Asian (or Asian British),8.0
CED of which,Staffordshire,,,Asian (or Asian British),8.0
CED non-discharge,Staffordshire,,,Asian (or Asian British),8.0
CED discharge,Staffordshire,,,Asian (or Asian British),0.0
CED not stated,Staffordshire,,,Asian (or Asian British),0.0
"AEP, of which",Staffordshire,Less lethal weapons,Total: AEP,Asian (or Asian British),0.0
AEP drawn,Staffordshire,,,Asian (or Asian British),0.0
AEP used,Staffordshire,,,Asian (or Asian British),0.0
AEP not stated,Staffordshire,,,Asian (or Asian British),0.0
*Total Firearms,Staffordshire,Firearms,Total: Firearms,Asian (or Asian British),4.0
*Total Other,Staffordshire,Other,Total: Other,Asian (or Asian British),6.0
"Dog use, of which",Staffordshire,Other,Total: Dog,Asian (or Asian British),4.0
Dog deployed,Staffordshire,Other,Dog: deployed,Asian (or Asian British),3.0
Dog bite,Staffordshire,Other,Dog: bite,Asian (or Asian British),1.0
Dog not stated,Staffordshire,,,Asian (or Asian British),0.0
Other / improvised,Staffordshire,Other,Other / improvised,Asian (or Asian British),2.0
*Total Not reported,Staffordshire,Not reported,Total: Not reported,Asian (or Asian British),0.0
Tactical communication,Staffordshire,Excluded: Tactical Communication,Tactical Communication,Asian (or Asian British),105.0
*Total Tactics,Suffolk,Total,Total: all,Asian (or Asian British),58.0
*Total Restraint,Suffolk,Restraint,Total: Restraint,Asian (or Asian British),35.0
"Handcuffing, of which",Suffolk,Restraint,Total: Handcuffing,Asian (or Asian British),30.0
Compliant handcuffing,Suffolk,Restraint,Handcuffing: compliant,Asian (or Asian British),22.0
Non-compliant handcuffing,Suffolk,Restraint,Handcuffing: non-compliant,Asian (or Asian British),8.0
Handcuffing not stated,Suffolk,,,Asian (or Asian British),0.0
Limb / Body restraints,Suffolk,Restraint,Limb / body restraints,Asian (or Asian British),1.0
Ground restraint,Suffolk,Restraint,Ground restraint,Asian (or Asian British),4.0
*Total Unarmed skills,Suffolk,Unarmed skills,Total: unarmed skills,Asian (or Asian British),6.0
*Total Other equipment,Suffolk,Other equipment,Total: Other equipment,Asian (or Asian British),3.0
"Baton, of which",Suffolk,Other equipment,Total: Baton,Asian (or Asian British),0.0
Baton drawn,Suffolk,Other equipment,Baton: drawn,Asian (or Asian British),0.0
Baton used,Suffolk,Other equipment,Baton: used,Asian (or Asian British),0.0
Baton not stated,Suffolk,,,Asian (or Asian British),0.0
"Irritant spray, of which",Suffolk,Other equipment,Total: Irritant spray,Asian (or Asian British),3.0
Irritant spray - drawn,Suffolk,Other equipment,Irritant spray: drawn,Asian (or Asian British),2.0
Irritant spray - used,Suffolk,Other equipment,Irritant spray: used,Asian (or Asian British),1.0
Irritant spray not stated,Suffolk,,,Asian (or Asian British),0.0
Spit and bite guard,Suffolk,Other equipment,Spit and bite guard,Asian (or Asian British),0.0
Shield,Suffolk,Other equipment,Shield,Asian (or Asian British),0.0
*Total Less lethal weapons,Suffolk,Less lethal weapons,Total: Less lethal weapons,Asian (or Asian British),6.0
CED of which,Suffolk,,,Asian (or Asian British),6.0
CED non-discharge,Suffolk,,,Asian (or Asian British),:
CED discharge,Suffolk,,,Asian (or Asian British),:
CED not stated,Suffolk,,,Asian (or Asian British),6.0
"AEP, of which",Suffolk,Less lethal weapons,Total: AEP,Asian (or Asian British),0.0
AEP drawn,Suffolk,,,Asian (or Asian British),0.0
AEP used,Suffolk,,,Asian (or Asian British),0.0
AEP not stated,Suffolk,,,Asian (or Asian British),0.0
*Total Firearms,Suffolk,Firearms,Total: Firearms,Asian (or Asian British),0.0
*Total Other,Suffolk,Other,Total: Other,Asian (or Asian British),8.0
"Dog use, of which",Suffolk,Other,Total: Dog,Asian (or Asian British),0.0
Dog deployed,Suffolk,Other,Dog: deployed,Asian (or Asian British),0.0
Dog bite,Suffolk,Other,Dog: bite,Asian (or Asian British),0.0
Dog not stated,Suffolk,,,Asian (or Asian British),0.0
Other / improvised,Suffolk,Other,Other / improvised,Asian (or Asian British),8.0
*Total Not reported,Suffolk,Not reported,Total: Not reported,Asian (or Asian British),0.0
Tactical communication,Suffolk,Excluded: Tactical Communication,Tactical Communication,Asian (or Asian British),22.0
*Total Tactics,Surrey,Total,Total: all,Asian (or Asian British),362.0
*Total Restraint,Surrey,Restraint,Total: Restraint,Asian (or Asian British),222.0
"Handcuffing, of which",Surrey,Restraint,Total: Handcuffing,Asian (or Asian British),186.0
Compliant handcuffing,Surrey,Restraint,Handcuffing: compliant,Asian (or Asian British),128.0
Non-compliant handcuffing,Surrey,Restraint,Handcuffing: non-compliant,Asian (or Asian British),58.0
Handcuffing not stated,Surrey,,,Asian (or Asian British),0.0
Limb / Body restraints,Surrey,Restraint,Limb / body restraints,Asian (or Asian British),15.0
Ground restraint,Surrey,Restraint,Ground restraint,Asian (or Asian British),21.0
*Total Unarmed skills,Surrey,Unarmed skills,Total: unarmed skills,Asian (or Asian British),82.0
*Total Other equipment,Surrey,Other equipment,Total: Other equipment,Asian (or Asian British),14.0
"Baton, of which",Surrey,Other equipment,Total: Baton,Asian (or Asian British),1.0
Baton drawn,Surrey,Other equipment,Baton: drawn,Asian (or Asian British),1.0
Baton used,Surrey,Other equipment,Baton: used,Asian (or Asian British),0.0
Baton not stated,Surrey,,,Asian (or Asian British),0.0
"Irritant spray, of which",Surrey,Other equipment,Total: Irritant spray,Asian (or Asian British),8.0
Irritant spray - drawn,Surrey,Other equipment,Irritant spray: drawn,Asian (or Asian British),5.0
Irritant spray - used,Surrey,Other equipment,Irritant spray: used,Asian (or Asian British),3.0
Irritant spray not stated,Surrey,,,Asian (or Asian British),0.0
Spit and bite guard,Surrey,Other equipment,Spit and bite guard,Asian (or Asian British),5.0
Shield,Surrey,Other equipment,Shield,Asian (or Asian British),0.0
*Total Less lethal weapons,Surrey,Less lethal weapons,Total: Less lethal weapons,Asian (or Asian British),31.0
CED of which,Surrey,,,Asian (or Asian British),28.0
CED non-discharge,Surrey,,,Asian (or Asian British),24.0
CED discharge,Surrey,,,Asian (or Asian British),4.0
CED not stated,Surrey,,,Asian (or Asian British),0.0
"AEP, of which",Surrey,Less lethal weapons,Total: AEP,Asian (or Asian British),3.0
AEP drawn,Surrey,,,Asian (or Asian British),3.0
AEP used,Surrey,,,Asian (or Asian British),0.0
AEP not stated,Surrey,,,Asian (or Asian British),0.0
*Total Firearms,Surrey,Firearms,Total: Firearms,Asian (or Asian British),12.0
*Total Other,Surrey,Other,Total: Other,Asian (or Asian British),1.0
"Dog use, of which",Surrey,Other,Total: Dog,Asian (or Asian British),0.0
Dog deployed,Surrey,Other,Dog: deployed,Asian (or Asian British),0.0
Dog bite,Surrey,Other,Dog: bite,Asian (or Asian British),0.0
Dog not stated,Surrey,,,Asian (or Asian British),0.0
Other / improvised,Surrey,Other,Other / improvised,Asian (or Asian British),1.0
*Total Not reported,Surrey,Not reported,Total: Not reported,Asian (or Asian British),0.0
Tactical communication,Surrey,Excluded: Tactical Communication,Tactical Communication,Asian (or Asian British),151.0
*Total Tactics,Sussex,Total,Total: all,Asian (or Asian British),641.0
*Total Restraint,Sussex,Restraint,Total: Restraint,Asian (or Asian British),362.0
"Handcuffing, of which",Sussex,Restraint,Total: Handcuffing,Asian (or Asian British),319.0
Compliant handcuffing,Sussex,Restraint,Handcuffing: compliant,Asian (or Asian British),:
Non-compliant handcuffing,Sussex,Restraint,Handcuffing: non-compliant,Asian (or Asian British),:
Handcuffing not stated,Sussex,,,Asian (or Asian British),319.0
Limb / Body restraints,Sussex,Restraint,Limb / body restraints,Asian (or Asian British),16.0
Ground restraint,Sussex,Restraint,Ground restraint,Asian (or Asian British),27.0
*Total Unarmed skills,Sussex,Unarmed skills,Total: unarmed skills,Asian (or Asian British),172.0
*Total Other equipment,Sussex,Other equipment,Total: Other equipment,Asian (or Asian British),20.0
"Baton, of which",Sussex,Other equipment,Total: Baton,Asian (or Asian British),2.0
Baton drawn,Sussex,Other equipment,Baton: drawn,Asian (or Asian British),2.0
Baton used,Sussex,Other equipment,Baton: used,Asian (or Asian British),0.0
Baton not stated,Sussex,,,Asian (or Asian British),0.0
"Irritant spray, of which",Sussex,Other equipment,Total: Irritant spray,Asian (or Asian British),16.0
Irritant spray - drawn,Sussex,Other equipment,Irritant spray: drawn,Asian (or Asian British),12.0
Irritant spray - used,Sussex,Other equipment,Irritant spray: used,Asian (or Asian British),4.0
Irritant spray not stated,Sussex,,,Asian (or Asian British),0.0
Spit and bite guard,Sussex,Other equipment,Spit and bite guard,Asian (or Asian British),2.0
Shield,Sussex,Other equipment,Shield,Asian (or Asian British),0.0
*Total Less lethal weapons,Sussex,Less lethal weapons,Total: Less lethal weapons,Asian (or Asian British),43.0
CED of which,Sussex,,,Asian (or Asian British),37.0
CED non-discharge,Sussex,,,Asian (or Asian British),34.0
CED discharge,Sussex,,,Asian (or Asian British),3.0
CED not stated,Sussex,,,Asian (or Asian British),0.0
"AEP, of which",Sussex,Less lethal weapons,Total: AEP,Asian (or Asian British),6.0
AEP drawn,Sussex,,,Asian (or Asian British),6.0
AEP used,Sussex,,,Asian (or Asian British),0.0
AEP not stated,Sussex,,,Asian (or Asian British),0.0
*Total Firearms,Sussex,Firearms,Total: Firearms,Asian (or Asian British),19.0
*Total Other,Sussex,Other,Total: Other,Asian (or Asian British),25.0
"Dog use, of which",Sussex,Other,Total: Dog,Asian (or Asian British),2.0
Dog deployed,Sussex,Other,Dog: deployed,Asian (or Asian British),2.0
Dog bite,Sussex,Other,Dog: bite,Asian (or Asian British),0.0
Dog not stated,Sussex,,,Asian (or Asian British),0.0
Other / improvised,Sussex,Other,Other / improvised,Asian (or Asian British),23.0
*Total Not reported,Sussex,Not reported,Total: Not reported,Asian (or Asian British),0.0
Tactical communication,Sussex,Excluded: Tactical Communication,Tactical Communication,Asian (or Asian British),242.0
*Total Tactics,Thames Valley,Total,Total: all,Asian (or Asian British),2614.0
*Total Restraint,Thames Valley,Restraint,Total: Restraint,Asian (or Asian British),1644.0
"Handcuffing, of which",Thames Valley,Restraint,Total: Handcuffing,Asian (or Asian British),1219.0
Compliant handcuffing,Thames Valley,Restraint,Handcuffing: compliant,Asian (or Asian British),892.0
Non-compliant handcuffing,Thames Valley,Restraint,Handcuffing: non-compliant,Asian (or Asian British),327.0
Handcuffing not stated,Thames Valley,,,Asian (or Asian British),0.0
Limb / Body restraints,Thames Valley,Restraint,Limb / body restraints,Asian (or Asian British),54.0
Ground restraint,Thames Valley,Restraint,Ground restraint,Asian (or Asian British),371.0
*Total Unarmed skills,Thames Valley,Unarmed skills,Total: unarmed skills,Asian (or Asian British),627.0
*Total Other equipment,Thames Valley,Other equipment,Total: Other equipment,Asian (or Asian British),108.0
"Baton, of which",Thames Valley,Other equipment,Total: Baton,Asian (or Asian British),25.0
Baton drawn,Thames Valley,Other equipment,Baton: drawn,Asian (or Asian British),:
Baton used,Thames Valley,Other equipment,Baton: used,Asian (or Asian British),:
Baton not stated,Thames Valley,,,Asian (or Asian British),25.0
"Irritant spray, of which",Thames Valley,Other equipment,Total: Irritant spray,Asian (or Asian British),67.0
Irritant spray - drawn,Thames Valley,Other equipment,Irritant spray: drawn,Asian (or Asian British),16.0
Irritant spray - used,Thames Valley,Other equipment,Irritant spray: used,Asian (or Asian British),45.0
Irritant spray not stated,Thames Valley,,,Asian (or Asian British),6.0
Spit and bite guard,Thames Valley,Other equipment,Spit and bite guard,Asian (or Asian British),14.0
Shield,Thames Valley,Other equipment,Shield,Asian (or Asian British),2.0
*Total Less lethal weapons,Thames Valley,Less lethal weapons,Total: Less lethal weapons,Asian (or Asian British),93.0
CED of which,Thames Valley,,,Asian (or Asian British),93.0
CED non-discharge,Thames Valley,,,Asian (or Asian British),88.0
CED discharge,Thames Valley,,,Asian (or Asian British),4.0
CED not stated,Thames Valley,,,Asian (or Asian British),1.0
"AEP, of which",Thames Valley,Less lethal weapons,Total: AEP,Asian (or Asian British),0.0
AEP drawn,Thames Valley,,,Asian (or Asian British),0.0
AEP used,Thames Valley,,,Asian (or Asian British),0.0
AEP not stated,Thames Valley,,,Asian (or Asian British),0.0
*Total Firearms,Thames Valley,Firearms,Total: Firearms,Asian (or Asian British),5.0
*Total Other,Thames Valley,Other,Total: Other,Asian (or Asian British),137.0
"Dog use, of which",Thames Valley,Other,Total: Dog,Asian (or Asian British),6.0
Dog deployed,Thames Valley,Other,Dog: deployed,Asian (or Asian British),:
Dog bite,Thames Valley,Other,Dog: bite,Asian (or Asian British),:
Dog not stated,Thames Valley,,,Asian (or Asian British),6.0
Other / improvised,Thames Valley,Other,Other / improvised,Asian (or Asian British),131.0
*Total Not reported,Thames Valley,Not reported,Total: Not reported,Asian (or Asian British),0.0
Tactical communication,Thames Valley,Excluded: Tactical Communication,Tactical Communication,Asian (or Asian British),139.0
*Total Tactics,Warwickshire,Total,Total: all,Asian (or Asian British),120.0
*Total Restraint,Warwickshire,Restraint,Total: Restraint,Asian (or Asian British),69.0
"Handcuffing, of which",Warwickshire,Restraint,Total: Handcuffing,Asian (or Asian British),55.0
Compliant handcuffing,Warwickshire,Restraint,Handcuffing: compliant,Asian (or Asian British),30.0
Non-compliant handcuffing,Warwickshire,Restraint,Handcuffing: non-compliant,Asian (or Asian British),25.0
Handcuffing not stated,Warwickshire,,,Asian (or Asian British),0.0
Limb / Body restraints,Warwickshire,Restraint,Limb / body restraints,Asian (or Asian British),1.0
Ground restraint,Warwickshire,Restraint,Ground restraint,Asian (or Asian British),13.0
*Total Unarmed skills,Warwickshire,Unarmed skills,Total: unarmed skills,Asian (or Asian British),21.0
*Total Other equipment,Warwickshire,Other equipment,Total: Other equipment,Asian (or Asian British),4.0
"Baton, of which",Warwickshire,Other equipment,Total: Baton,Asian (or Asian British),0.0
Baton drawn,Warwickshire,Other equipment,Baton: drawn,Asian (or Asian British),0.0
Baton used,Warwickshire,Other equipment,Baton: used,Asian (or Asian British),0.0
Baton not stated,Warwickshire,,,Asian (or Asian British),0.0
"Irritant spray, of which",Warwickshire,Other equipment,Total: Irritant spray,Asian (or Asian British),4.0
Irritant spray - drawn,Warwickshire,Other equipment,Irritant spray: drawn,Asian (or Asian British),3.0
Irritant spray - used,Warwickshire,Other equipment,Irritant spray: used,Asian (or Asian British),1.0
Irritant spray not stated,Warwickshire,,,Asian (or Asian British),0.0
Spit and bite guard,Warwickshire,Other equipment,Spit and bite guard,Asian (or Asian British),0.0
Shield,Warwickshire,Other equipment,Shield,Asian (or Asian British),0.0
*Total Less lethal weapons,Warwickshire,Less lethal weapons,Total: Less lethal weapons,Asian (or Asian British),0.0
CED of which,Warwickshire,,,Asian (or Asian British),:
CED non-discharge,Warwickshire,,,Asian (or Asian British),:
CED discharge,Warwickshire,,,Asian (or Asian British),:
CED not stated,Warwickshire,,,Asian (or Asian British),:
"AEP, of which",Warwickshire,Less lethal weapons,Total: AEP,Asian (or Asian British),0.0
AEP drawn,Warwickshire,,,Asian (or Asian British),0.0
AEP used,Warwickshire,,,Asian (or Asian British),0.0
AEP not stated,Warwickshire,,,Asian (or Asian British),0.0
*Total Firearms,Warwickshire,Firearms,Total: Firearms,Asian (or Asian British),8.0
*Total Other,Warwickshire,Other,Total: Other,Asian (or Asian British),18.0
"Dog use, of which",Warwickshire,Other,Total: Dog,Asian (or Asian British),2.0
Dog deployed,Warwickshire,Other,Dog: deployed,Asian (or Asian British),2.0
Dog bite,Warwickshire,Other,Dog: bite,Asian (or Asian British),0.0
Dog not stated,Warwickshire,,,Asian (or Asian British),0.0
Other / improvised,Warwickshire,Other,Other / improvised,Asian (or Asian British),16.0
*Total Not reported,Warwickshire,Not reported,Total: Not reported,Asian (or Asian British),5.0
Tactical communication,Warwickshire,Excluded: Tactical Communication,Tactical Communication,Asian (or Asian British),24.0
*Total Tactics,West Mercia,Total,Total: all,Asian (or Asian British),480.0
*Total Restraint,West Mercia,Restraint,Total: Restraint,Asian (or Asian British),255.0
"Handcuffing, of which",West Mercia,Restraint,Total: Handcuffing,Asian (or Asian British),213.0
Compliant handcuffing,West Mercia,Restraint,Handcuffing: compliant,Asian (or Asian British),143.0
Non-compliant handcuffing,West Mercia,Restraint,Handcuffing: non-compliant,Asian (or Asian British),70.0
Handcuffing not stated,West Mercia,,,Asian (or Asian British),0.0
Limb / Body restraints,West Mercia,Restraint,Limb / body restraints,Asian (or Asian British),4.0
Ground restraint,West Mercia,Restraint,Ground restraint,Asian (or Asian British),38.0
*Total Unarmed skills,West Mercia,Unarmed skills,Total: unarmed skills,Asian (or Asian British),101.0
*Total Other equipment,West Mercia,Other equipment,Total: Other equipment,Asian (or Asian British),33.0
"Baton, of which",West Mercia,Other equipment,Total: Baton,Asian (or Asian British),9.0
Baton drawn,West Mercia,Other equipment,Baton: drawn,Asian (or Asian British),5.0
Baton used,West Mercia,Other equipment,Baton: used,Asian (or Asian British),4.0
Baton not stated,West Mercia,,,Asian (or Asian British),0.0
"Irritant spray, of which",West Mercia,Other equipment,Total: Irritant spray,Asian (or Asian British),14.0
Irritant spray - drawn,West Mercia,Other equipment,Irritant spray: drawn,Asian (or Asian British),8.0
Irritant spray - used,West Mercia,Other equipment,Irritant spray: used,Asian (or Asian British),6.0
Irritant spray not stated,West Mercia,,,Asian (or Asian British),0.0
Spit and bite guard,West Mercia,Other equipment,Spit and bite guard,Asian (or Asian British),10.0
Shield,West Mercia,Other equipment,Shield,Asian (or Asian British),0.0
*Total Less lethal weapons,West Mercia,Less lethal weapons,Total: Less lethal weapons,Asian (or Asian British),0.0
CED of which,West Mercia,,,Asian (or Asian British),:
CED non-discharge,West Mercia,,,Asian (or Asian British),:
CED discharge,West Mercia,,,Asian (or Asian British),:
CED not stated,West Mercia,,,Asian (or Asian British),:
"AEP, of which",West Mercia,Less lethal weapons,Total: AEP,Asian (or Asian British),0.0
AEP drawn,West Mercia,,,Asian (or Asian British),0.0
AEP used,West Mercia,,,Asian (or Asian British),0.0
AEP not stated,West Mercia,,,Asian (or Asian British),0.0
*Total Firearms,West Mercia,Firearms,Total: Firearms,Asian (or Asian British),20.0
*Total Other,West Mercia,Other,Total: Other,Asian (or Asian British),71.0
"Dog use, of which",West Mercia,Other,Total: Dog,Asian (or Asian British),10.0
Dog deployed,West Mercia,Other,Dog: deployed,Asian (or Asian British),8.0
Dog bite,West Mercia,Other,Dog: bite,Asian (or Asian British),2.0
Dog not stated,West Mercia,,,Asian (or Asian British),0.0
Other / improvised,West Mercia,Other,Other / improvised,Asian (or Asian British),61.0
*Total Not reported,West Mercia,Not reported,Total: Not reported,Asian (or Asian British),6.0
Tactical communication,West Mercia,Excluded: Tactical Communication,Tactical Communication,Asian (or Asian British),126.0
*Total Tactics,West Midlands,Total,Total: all,Asian (or Asian British),2540.0
*Total Restraint,West Midlands,Restraint,Total: Restraint,Asian (or Asian British),921.0
"Handcuffing, of which",West Midlands,Restraint,Total: Handcuffing,Asian (or Asian British),578.0
Compliant handcuffing,West Midlands,Restraint,Handcuffing: compliant,Asian (or Asian British),108.0
Non-compliant handcuffing,West Midlands,Restraint,Handcuffing: non-compliant,Asian (or Asian British),470.0
Handcuffing not stated,West Midlands,,,Asian (or Asian British),0.0
Limb / Body restraints,West Midlands,Restraint,Limb / body restraints,Asian (or Asian British),69.0
Ground restraint,West Midlands,Restraint,Ground restraint,Asian (or Asian British),274.0
*Total Unarmed skills,West Midlands,Unarmed skills,Total: unarmed skills,Asian (or Asian British),799.0
*Total Other equipment,West Midlands,Other equipment,Total: Other equipment,Asian (or Asian British),214.0
"Baton, of which",West Midlands,Other equipment,Total: Baton,Asian (or Asian British),46.0
Baton drawn,West Midlands,Other equipment,Baton: drawn,Asian (or Asian British),:
Baton used,West Midlands,Other equipment,Baton: used,Asian (or Asian British),:
Baton not stated,West Midlands,,,Asian (or Asian British),46.0
"Irritant spray, of which",West Midlands,Other equipment,Total: Irritant spray,Asian (or Asian British),124.0
Irritant spray - drawn,West Midlands,Other equipment,Irritant spray: drawn,Asian (or Asian British),:
Irritant spray - used,West Midlands,Other equipment,Irritant spray: used,Asian (or Asian British),:
Irritant spray not stated,West Midlands,,,Asian (or Asian British),124.0
Spit and bite guard,West Midlands,Other equipment,Spit and bite guard,Asian (or Asian British),40.0
Shield,West Midlands,Other equipment,Shield,Asian (or Asian British),4.0
*Total Less lethal weapons,West Midlands,Less lethal weapons,Total: Less lethal weapons,Asian (or Asian British),364.0
CED of which,West Midlands,,,Asian (or Asian British),363.0
CED non-discharge,West Midlands,,,Asian (or Asian British),330.0
CED discharge,West Midlands,,,Asian (or Asian British),33.0
CED not stated,West Midlands,,,Asian (or Asian British),0.0
"AEP, of which",West Midlands,Less lethal weapons,Total: AEP,Asian (or Asian British),1.0
AEP drawn,West Midlands,,,Asian (or Asian British),1.0
AEP used,West Midlands,,,Asian (or Asian British),0.0
AEP not stated,West Midlands,,,Asian (or Asian British),0.0
*Total Firearms,West Midlands,Firearms,Total: Firearms,Asian (or Asian British),166.0
*Total Other,West Midlands,Other,Total: Other,Asian (or Asian British),76.0
"Dog use, of which",West Midlands,Other,Total: Dog,Asian (or Asian British),13.0
Dog deployed,West Midlands,Other,Dog: deployed,Asian (or Asian British),:
Dog bite,West Midlands,Other,Dog: bite,Asian (or Asian British),:
Dog not stated,West Midlands,,,Asian (or Asian British),13.0
Other / improvised,West Midlands,Other,Other / improvised,Asian (or Asian British),63.0
*Total Not reported,West Midlands,Not reported,Total: Not reported,Asian (or Asian British),0.0
Tactical communication,West Midlands,Excluded: Tactical Communication,Tactical Communication,Asian (or Asian British),0.0
*Total Tactics,West Yorkshire,Total,Total: all,Asian (or Asian British),3025.0
*Total Restraint,West Yorkshire,Restraint,Total: Restraint,Asian (or Asian British),1891.0
"Handcuffing, of which",West Yorkshire,Restraint,Total: Handcuffing,Asian (or Asian British),1778.0
Compliant handcuffing,West Yorkshire,Restraint,Handcuffing: compliant,Asian (or Asian British),1285.0
Non-compliant handcuffing,West Yorkshire,Restraint,Handcuffing: non-compliant,Asian (or Asian British),493.0
Handcuffing not stated,West Yorkshire,,,Asian (or Asian British),0.0
Limb / Body restraints,West Yorkshire,Restraint,Limb / body restraints,Asian (or Asian British),52.0
Ground restraint,West Yorkshire,Restraint,Ground restraint,Asian (or Asian British),61.0
*Total Unarmed skills,West Yorkshire,Unarmed skills,Total: unarmed skills,Asian (or Asian British),736.0
*Total Other equipment,West Yorkshire,Other equipment,Total: Other equipment,Asian (or Asian British),189.0
"Baton, of which",West Yorkshire,Other equipment,Total: Baton,Asian (or Asian British),28.0
Baton drawn,West Yorkshire,Other equipment,Baton: drawn,Asian (or Asian British),16.0
Baton used,West Yorkshire,Other equipment,Baton: used,Asian (or Asian British),12.0
Baton not stated,West Yorkshire,,,Asian (or Asian British),0.0
"Irritant spray, of which",West Yorkshire,Other equipment,Total: Irritant spray,Asian (or Asian British),131.0
Irritant spray - drawn,West Yorkshire,Other equipment,Irritant spray: drawn,Asian (or Asian British),49.0
Irritant spray - used,West Yorkshire,Other equipment,Irritant spray: used,Asian (or Asian British),82.0
Irritant spray not stated,West Yorkshire,,,Asian (or Asian British),0.0
Spit and bite guard,West Yorkshire,Other equipment,Spit and bite guard,Asian (or Asian British),30.0
Shield,West Yorkshire,Other equipment,Shield,Asian (or Asian British),0.0
*Total Less lethal weapons,West Yorkshire,Less lethal weapons,Total: Less lethal weapons,Asian (or Asian British),117.0
CED of which,West Yorkshire,,,Asian (or Asian British),105.0
CED non-discharge,West Yorkshire,,,Asian (or Asian British),100.0
CED discharge,West Yorkshire,,,Asian (or Asian British),5.0
CED not stated,West Yorkshire,,,Asian (or Asian British),0.0
"AEP, of which",West Yorkshire,Less lethal weapons,Total: AEP,Asian (or Asian British),12.0
AEP drawn,West Yorkshire,,,Asian (or Asian British),12.0
