Police Force,Type of force,Tactic,White,Black (or Black British),Asian (or Asian British),Mixed,Other,Not reported,Number of times tactic reported,Force type - Output,Tactic - Output
Essex,Restraint,Limb / Body restraints,1195.0,120.0,30.0,34.0,11.0,19.0,1409.0,Restraint,Limb / body restraints
Essex,Restraint,Ground restraint,2972.0,312.0,58.0,90.0,26.0,26.0,3484.0,Restraint,Ground restraint
Essex,Unarmed skills,*Total Unarmed skills,3022.0,301.0,71.0,103.0,20.0,32.0,3549.0,Unarmed skills,Total: unarmed skills
Essex,Other equipment,*Total Other equipment,493.0,62.0,12.0,19.0,5.0,17.0,608.0,Other equipment,Total: Other equipment
Essex,Other equipment,"Baton, of which",104.0,16.0,8.0,5.0,4.0,8.0,145.0,Other equipment,Total: Baton
Essex,Other equipment,Baton drawn,76.0,13.0,5.0,4.0,3.0,6.0,107.0,Other equipment,Baton: drawn
Essex,Other equipment,Baton used,28.0,3.0,3.0,1.0,1.0,2.0,38.0,Other equipment,Baton: used
Essex,Other equipment,Baton not stated,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
Essex,Other equipment,"Irritant spray, of which",137.0,14.0,3.0,4.0,0.0,2.0,160.0,Other equipment,Total: Irritant spray
Essex,Other equipment,Irritant spray - drawn,67.0,6.0,2.0,2.0,0.0,0.0,77.0,Other equipment,Irritant spray: drawn
Essex,Other equipment,Irritant spray - used,70.0,8.0,1.0,2.0,0.0,2.0,83.0,Other equipment,Irritant spray: used
Essex,Other equipment,Irritant spray not stated,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
Essex,Other equipment,Spit and bite guard,232.0,27.0,1.0,9.0,1.0,7.0,277.0,Other equipment,Spit and bite guard
Essex,Other equipment,Shield,20.0,5.0,0.0,1.0,0.0,0.0,26.0,Other equipment,Shield
Essex,Less lethal weapons,*Total Less lethal weapons,317.0,29.0,11.0,20.0,4.0,0.0,381.0,Less lethal weapons,Total: Less lethal weapons
Essex,Less lethal weapons,CED of which,317.0,29.0,11.0,20.0,4.0,0.0,381.0,,
Essex,Less lethal weapons,CED non-discharge,195.0,16.0,9.0,10.0,3.0,0.0,233.0,,
Essex,Less lethal weapons,CED discharge,24.0,5.0,0.0,0.0,0.0,0.0,29.0,,
Essex,Less lethal weapons,CED not stated,98.0,8.0,2.0,10.0,1.0,0.0,119.0,,
Essex,Less lethal weapons,"AEP, of which",0.0,0.0,0.0,0.0,0.0,0.0,0.0,Less lethal weapons,Total: AEP
Essex,Less lethal weapons,AEP drawn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
Essex,Less lethal weapons,AEP used,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
Essex,Less lethal weapons,AEP not stated,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
Essex,Firearms,*Total Firearms,126.0,6.0,10.0,17.0,2.0,1.0,162.0,Firearms,Total: Firearms
Essex,Other,*Total Other,1823.0,193.0,51.0,63.0,15.0,23.0,2168.0,Other,Total: Other
Essex,Other,"Dog use, of which",129.0,22.0,7.0,7.0,0.0,2.0,167.0,Other,Total: Dog
Essex,Other,Dog deployed,99.0,19.0,6.0,4.0,0.0,2.0,130.0,Other,Dog: deployed
Essex,Other,Dog bite,30.0,3.0,1.0,3.0,0.0,0.0,37.0,Other,Dog: bite
Essex,Other,Dog not stated,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
Essex,Other,Other / improvised,1694.0,171.0,44.0,56.0,15.0,21.0,2001.0,Other,Other / improvised
Essex,Not reported,*Total Not reported,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Not reported,Total: Not reported
Essex,Tactical communication,Tactical communication,4159.0,412.0,118.0,138.0,33.0,36.0,4896.0,Excluded: Tactical Communication,Tactical Communication
Gloucestershire,Total (excluding not reported and tactical communication),*Total Tactics,1884.0,151.0,23.0,49.0,28.0,1.0,2136.0,Total,Total: all
Gloucestershire,Restraint,*Total Restraint,1239.0,85.0,16.0,32.0,21.0,1.0,1394.0,Restraint,Total: Restraint
Gloucestershire,Restraint,"Handcuffing, of which",813.0,63.0,14.0,23.0,16.0,1.0,930.0,Restraint,Total: Handcuffing
Gloucestershire,Restraint,Compliant handcuffing,466.0,40.0,9.0,16.0,10.0,1.0,542.0,Restraint,Handcuffing: compliant
Gloucestershire,Restraint,Non-compliant handcuffing,347.0,23.0,5.0,7.0,6.0,0.0,388.0,Restraint,Handcuffing: non-compliant
Gloucestershire,Restraint,Handcuffing not stated,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
Gloucestershire,Restraint,Limb / Body restraints,83.0,2.0,1.0,1.0,2.0,0.0,89.0,Restraint,Limb / body restraints
Gloucestershire,Restraint,Ground restraint,343.0,20.0,1.0,8.0,3.0,0.0,375.0,Restraint,Ground restraint
Gloucestershire,Unarmed skills,*Total Unarmed skills,353.0,27.0,4.0,8.0,3.0,0.0,395.0,Unarmed skills,Total: unarmed skills
Gloucestershire,Other equipment,*Total Other equipment,125.0,9.0,0.0,2.0,1.0,0.0,137.0,Other equipment,Total: Other equipment
Gloucestershire,Other equipment,"Baton, of which",23.0,2.0,0.0,0.0,0.0,0.0,25.0,Other equipment,Total: Baton
Gloucestershire,Other equipment,Baton drawn,14.0,0.0,0.0,0.0,0.0,0.0,14.0,Other equipment,Baton: drawn
Gloucestershire,Other equipment,Baton used,9.0,2.0,0.0,0.0,0.0,0.0,11.0,Other equipment,Baton: used
Gloucestershire,Other equipment,Baton not stated,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
Gloucestershire,Other equipment,"Irritant spray, of which",70.0,3.0,0.0,0.0,1.0,0.0,74.0,Other equipment,Total: Irritant spray
Gloucestershire,Other equipment,Irritant spray - drawn,41.0,1.0,0.0,0.0,0.0,0.0,42.0,Other equipment,Irritant spray: drawn
Gloucestershire,Other equipment,Irritant spray - used,29.0,2.0,0.0,0.0,1.0,0.0,32.0,Other equipment,Irritant spray: used
Gloucestershire,Other equipment,Irritant spray not stated,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
Gloucestershire,Other equipment,Spit and bite guard,23.0,2.0,0.0,1.0,0.0,0.0,26.0,Other equipment,Spit and bite guard
Gloucestershire,Other equipment,Shield,9.0,2.0,0.0,1.0,0.0,0.0,12.0,Other equipment,Shield
Gloucestershire,Less lethal weapons,*Total Less lethal weapons,98.0,18.0,1.0,3.0,1.0,0.0,121.0,Less lethal weapons,Total: Less lethal weapons
Gloucestershire,Less lethal weapons,CED of which,84.0,14.0,1.0,2.0,1.0,0.0,102.0,,
Gloucestershire,Less lethal weapons,CED non-discharge,55.0,6.0,1.0,1.0,0.0,0.0,63.0,,
Gloucestershire,Less lethal weapons,CED discharge,18.0,3.0,0.0,0.0,1.0,0.0,22.0,,
Gloucestershire,Less lethal weapons,CED not stated,11.0,5.0,0.0,1.0,0.0,0.0,17.0,,
Gloucestershire,Less lethal weapons,"AEP, of which",14.0,4.0,0.0,1.0,0.0,0.0,19.0,Less lethal weapons,Total: AEP
Gloucestershire,Less lethal weapons,AEP drawn,12.0,4.0,0.0,1.0,0.0,0.0,17.0,,
Gloucestershire,Less lethal weapons,AEP used,2.0,0.0,0.0,0.0,0.0,0.0,2.0,,
Gloucestershire,Less lethal weapons,AEP not stated,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
Gloucestershire,Firearms,*Total Firearms,4.0,2.0,0.0,1.0,0.0,0.0,7.0,Firearms,Total: Firearms
Gloucestershire,Other,*Total Other,65.0,10.0,2.0,3.0,2.0,0.0,82.0,Other,Total: Other
Gloucestershire,Other,"Dog use, of which",33.0,7.0,1.0,0.0,1.0,0.0,42.0,Other,Total: Dog
Gloucestershire,Other,Dog deployed,30.0,7.0,1.0,0.0,1.0,0.0,39.0,Other,Dog: deployed
Gloucestershire,Other,Dog bite,3.0,0.0,0.0,0.0,0.0,0.0,3.0,Other,Dog: bite
Gloucestershire,Other,Dog not stated,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
Gloucestershire,Other,Other / improvised,32.0,3.0,1.0,3.0,1.0,0.0,40.0,Other,Other / improvised
Gloucestershire,Not reported,*Total Not reported,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Not reported,Total: Not reported
Gloucestershire,Tactical communication,Tactical communication,887.0,79.0,15.0,27.0,18.0,1.0,1027.0,Excluded: Tactical Communication,Tactical Communication
Greater Manchester,Total (excluding not reported and tactical communication),*Total Tactics,12613.0,1845.0,1050.0,504.0,221.0,203.0,16436.0,Total,Total: all
Greater Manchester,Restraint,*Total Restraint,7930.0,1118.0,622.0,323.0,95.0,99.0,10187.0,Restraint,Total: Restraint
Greater Manchester,Restraint,"Handcuffing, of which",3666.0,532.0,351.0,149.0,53.0,47.0,4798.0,Restraint,Total: Handcuffing
Greater Manchester,Restraint,Compliant handcuffing,1387.0,218.0,208.0,55.0,30.0,24.0,1922.0,Restraint,Handcuffing: compliant
Greater Manchester,Restraint,Non-compliant handcuffing,2279.0,314.0,143.0,94.0,23.0,23.0,2876.0,Restraint,Handcuffing: non-compliant
Greater Manchester,Restraint,Handcuffing not stated,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
Greater Manchester,Restraint,Limb / Body restraints,2275.0,295.0,150.0,86.0,23.0,28.0,2857.0,Restraint,Limb / body restraints
Greater Manchester,Restraint,Ground restraint,1989.0,291.0,121.0,88.0,19.0,24.0,2532.0,Restraint,Ground restraint
Greater Manchester,Unarmed skills,*Total Unarmed skills,2764.0,397.0,218.0,104.0,38.0,30.0,3551.0,Unarmed skills,Total: unarmed skills
Greater Manchester,Other equipment,*Total Other equipment,561.0,102.0,42.0,21.0,17.0,26.0,769.0,Other equipment,Total: Other equipment
Greater Manchester,Other equipment,"Baton, of which",220.0,38.0,26.0,7.0,13.0,16.0,320.0,Other equipment,Total: Baton
Greater Manchester,Other equipment,Baton drawn,147.0,26.0,19.0,4.0,10.0,13.0,219.0,Other equipment,Baton: drawn
Greater Manchester,Other equipment,Baton used,73.0,12.0,7.0,3.0,3.0,3.0,101.0,Other equipment,Baton: used
Greater Manchester,Other equipment,Baton not stated,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
Greater Manchester,Other equipment,"Irritant spray, of which",202.0,34.0,12.0,9.0,2.0,6.0,265.0,Other equipment,Total: Irritant spray
Greater Manchester,Other equipment,Irritant spray - drawn,124.0,19.0,7.0,4.0,2.0,3.0,159.0,Other equipment,Irritant spray: drawn
Greater Manchester,Other equipment,Irritant spray - used,78.0,15.0,5.0,5.0,0.0,3.0,106.0,Other equipment,Irritant spray: used
Greater Manchester,Other equipment,Irritant spray not stated,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
Greater Manchester,Other equipment,Spit and bite guard,64.0,5.0,2.0,0.0,0.0,1.0,72.0,Other equipment,Spit and bite guard
Greater Manchester,Other equipment,Shield,75.0,25.0,2.0,5.0,2.0,3.0,112.0,Other equipment,Shield
Greater Manchester,Less lethal weapons,*Total Less lethal weapons,1075.0,182.0,139.0,45.0,65.0,40.0,1546.0,Less lethal weapons,Total: Less lethal weapons
Greater Manchester,Less lethal weapons,CED of which,1073.0,182.0,138.0,45.0,65.0,40.0,1543.0,,
Greater Manchester,Less lethal weapons,CED non-discharge,829.0,139.0,109.0,35.0,17.0,29.0,1158.0,,
Greater Manchester,Less lethal weapons,CED discharge,129.0,21.0,7.0,8.0,3.0,6.0,174.0,,
Greater Manchester,Less lethal weapons,CED not stated,115.0,22.0,22.0,2.0,45.0,5.0,211.0,,
Greater Manchester,Less lethal weapons,"AEP, of which",2.0,0.0,1.0,0.0,0.0,0.0,3.0,Less lethal weapons,Total: AEP
Greater Manchester,Less lethal weapons,AEP drawn,1.0,0.0,1.0,0.0,0.0,0.0,2.0,,
Greater Manchester,Less lethal weapons,AEP used,1.0,0.0,0.0,0.0,0.0,0.0,1.0,,
Greater Manchester,Less lethal weapons,AEP not stated,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
Greater Manchester,Firearms,*Total Firearms,25.0,8.0,8.0,1.0,2.0,1.0,45.0,Firearms,Total: Firearms
Greater Manchester,Other,*Total Other,258.0,38.0,21.0,10.0,4.0,7.0,338.0,Other,Total: Other
Greater Manchester,Other,"Dog use, of which",42.0,5.0,11.0,2.0,3.0,0.0,63.0,Other,Total: Dog
Greater Manchester,Other,Dog deployed,24.0,3.0,6.0,1.0,2.0,0.0,36.0,Other,Dog: deployed
Greater Manchester,Other,Dog bite,18.0,2.0,5.0,1.0,1.0,0.0,27.0,Other,Dog: bite
Greater Manchester,Other,Dog not stated,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
Greater Manchester,Other,Other / improvised,216.0,33.0,10.0,8.0,1.0,7.0,275.0,Other,Other / improvised
Greater Manchester,Not reported,*Total Not reported,22.0,5.0,1.0,3.0,2.0,1.0,34.0,Not reported,Total: Not reported
Greater Manchester,Tactical communication,Tactical communication,5339.0,758.0,495.0,199.0,93.0,102.0,6986.0,Excluded: Tactical Communication,Tactical Communication
Gwent,Total (excluding not reported and tactical communication),*Total Tactics,8105.0,306.0,267.0,219.0,62.0,67.0,9026.0,Total,Total: all
Gwent,Restraint,*Total Restraint,5316.0,195.0,197.0,141.0,41.0,45.0,5935.0,Restraint,Total: Restraint
Gwent,Restraint,"Handcuffing, of which",4636.0,169.0,176.0,123.0,40.0,40.0,5184.0,Restraint,Total: Handcuffing
Gwent,Restraint,Compliant handcuffing,3119.0,117.0,143.0,83.0,34.0,31.0,3527.0,Restraint,Handcuffing: compliant
Gwent,Restraint,Non-compliant handcuffing,1517.0,52.0,33.0,40.0,6.0,9.0,1657.0,Restraint,Handcuffing: non-compliant
Gwent,Restraint,Handcuffing not stated,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
Gwent,Restraint,Limb / Body restraints,7.0,0.0,0.0,0.0,0.0,0.0,7.0,Restraint,Limb / body restraints
Gwent,Restraint,Ground restraint,673.0,26.0,21.0,18.0,1.0,5.0,744.0,Restraint,Ground restraint
Gwent,Unarmed skills,*Total Unarmed skills,1934.0,77.0,49.0,51.0,13.0,11.0,2135.0,Unarmed skills,Total: unarmed skills
Gwent,Other equipment,*Total Other equipment,418.0,19.0,9.0,13.0,2.0,3.0,464.0,Other equipment,Total: Other equipment
Gwent,Other equipment,"Baton, of which",16.0,1.0,1.0,0.0,0.0,0.0,18.0,Other equipment,Total: Baton
Gwent,Other equipment,Baton drawn,9.0,1.0,0.0,0.0,0.0,0.0,10.0,Other equipment,Baton: drawn
Gwent,Other equipment,Baton used,7.0,0.0,1.0,0.0,0.0,0.0,8.0,Other equipment,Baton: used
Gwent,Other equipment,Baton not stated,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
Gwent,Other equipment,"Irritant spray, of which",273.0,16.0,7.0,7.0,2.0,2.0,307.0,Other equipment,Total: Irritant spray
Gwent,Other equipment,Irritant spray - drawn,111.0,4.0,5.0,2.0,1.0,0.0,123.0,Other equipment,Irritant spray: drawn
Gwent,Other equipment,Irritant spray - used,162.0,12.0,2.0,5.0,1.0,2.0,184.0,Other equipment,Irritant spray: used
Gwent,Other equipment,Irritant spray not stated,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
Gwent,Other equipment,Spit and bite guard,124.0,2.0,1.0,6.0,0.0,1.0,134.0,Other equipment,Spit and bite guard
Gwent,Other equipment,Shield,5.0,0.0,0.0,0.0,0.0,0.0,5.0,Other equipment,Shield
Gwent,Less lethal weapons,*Total Less lethal weapons,199.0,5.0,5.0,5.0,3.0,5.0,222.0,Less lethal weapons,Total: Less lethal weapons
Gwent,Less lethal weapons,CED of which,195.0,5.0,5.0,5.0,3.0,5.0,218.0,,
Gwent,Less lethal weapons,CED non-discharge,136.0,5.0,5.0,4.0,3.0,3.0,156.0,,
Gwent,Less lethal weapons,CED discharge,22.0,0.0,0.0,1.0,0.0,1.0,24.0,,
Gwent,Less lethal weapons,CED not stated,37.0,0.0,0.0,0.0,0.0,1.0,38.0,,
Gwent,Less lethal weapons,"AEP, of which",4.0,0.0,0.0,0.0,0.0,0.0,4.0,Less lethal weapons,Total: AEP
Gwent,Less lethal weapons,AEP drawn,4.0,0.0,0.0,0.0,0.0,0.0,4.0,,
Gwent,Less lethal weapons,AEP used,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
Gwent,Less lethal weapons,AEP not stated,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
Gwent,Firearms,*Total Firearms,25.0,2.0,0.0,1.0,0.0,1.0,29.0,Firearms,Total: Firearms
Gwent,Other,*Total Other,213.0,8.0,7.0,8.0,3.0,2.0,241.0,Other,Total: Other
Gwent,Other,"Dog use, of which",31.0,0.0,0.0,1.0,1.0,0.0,33.0,Other,Total: Dog
Gwent,Other,Dog deployed,29.0,0.0,0.0,1.0,1.0,0.0,31.0,Other,Dog: deployed
Gwent,Other,Dog bite,2.0,0.0,0.0,0.0,0.0,0.0,2.0,Other,Dog: bite
Gwent,Other,Dog not stated,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
Gwent,Other,Other / improvised,182.0,8.0,7.0,7.0,2.0,2.0,208.0,Other,Other / improvised
Gwent,Not reported,*Total Not reported,189.0,11.0,15.0,8.0,2.0,31.0,256.0,Not reported,Total: Not reported
Gwent,Tactical communication,Tactical communication,1843.0,60.0,44.0,41.0,14.0,11.0,2013.0,Excluded: Tactical Communication,Tactical Communication
Hampshire,Total (excluding not reported and tactical communication),*Total Tactics,8821.0,602.0,194.0,124.0,61.0,96.0,9898.0,Total,Total: all
Hampshire,Restraint,*Total Restraint,5233.0,350.0,118.0,75.0,37.0,4.0,5817.0,Restraint,Total: Restraint
Hampshire,Restraint,"Handcuffing, of which",2735.0,186.0,77.0,41.0,21.0,2.0,3062.0,Restraint,Total: Handcuffing
Hampshire,Restraint,Compliant handcuffing,682.0,46.0,31.0,9.0,8.0,0.0,776.0,Restraint,Handcuffing: compliant
Hampshire,Restraint,Non-compliant handcuffing,2053.0,140.0,46.0,32.0,13.0,2.0,2286.0,Restraint,Handcuffing: non-compliant
Hampshire,Restraint,Handcuffing not stated,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
Hampshire,Restraint,Limb / Body restraints,671.0,45.0,8.0,6.0,6.0,1.0,737.0,Restraint,Limb / body restraints
Hampshire,Restraint,Ground restraint,1827.0,119.0,33.0,28.0,10.0,1.0,2018.0,Restraint,Ground restraint
Hampshire,Unarmed skills,*Total Unarmed skills,2444.0,164.0,53.0,33.0,19.0,33.0,2746.0,Unarmed skills,Total: unarmed skills
Hampshire,Other equipment,*Total Other equipment,469.0,31.0,8.0,5.0,2.0,49.0,564.0,Other equipment,Total: Other equipment
Hampshire,Other equipment,"Baton, of which",76.0,6.0,5.0,0.0,0.0,48.0,135.0,Other equipment,Total: Baton
Hampshire,Other equipment,Baton drawn,42.0,4.0,2.0,0.0,0.0,48.0,96.0,Other equipment,Baton: drawn
Hampshire,Other equipment,Baton used,28.0,2.0,3.0,0.0,0.0,0.0,33.0,Other equipment,Baton: used
Hampshire,Other equipment,Baton not stated,6.0,0.0,0.0,0.0,0.0,0.0,6.0,,
Hampshire,Other equipment,"Irritant spray, of which",260.0,19.0,3.0,4.0,1.0,0.0,287.0,Other equipment,Total: Irritant spray
Hampshire,Other equipment,Irritant spray - drawn,119.0,7.0,3.0,2.0,0.0,0.0,131.0,Other equipment,Irritant spray: drawn
Hampshire,Other equipment,Irritant spray - used,141.0,12.0,0.0,2.0,1.0,0.0,156.0,Other equipment,Irritant spray: used
Hampshire,Other equipment,Irritant spray not stated,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
Hampshire,Other equipment,Spit and bite guard,100.0,5.0,0.0,0.0,1.0,0.0,106.0,Other equipment,Spit and bite guard
Hampshire,Other equipment,Shield,33.0,1.0,0.0,1.0,0.0,1.0,36.0,Other equipment,Shield
Hampshire,Less lethal weapons,*Total Less lethal weapons,428.0,36.0,11.0,7.0,2.0,0.0,484.0,Less lethal weapons,Total: Less lethal weapons
Hampshire,Less lethal weapons,CED of which,424.0,36.0,11.0,7.0,2.0,0.0,480.0,,
Hampshire,Less lethal weapons,CED non-discharge,323.0,31.0,8.0,5.0,1.0,0.0,368.0,,
Hampshire,Less lethal weapons,CED discharge,47.0,2.0,2.0,0.0,0.0,0.0,51.0,,
Hampshire,Less lethal weapons,CED not stated,54.0,3.0,1.0,2.0,1.0,0.0,61.0,,
Hampshire,Less lethal weapons,"AEP, of which",4.0,0.0,0.0,0.0,0.0,0.0,4.0,Less lethal weapons,Total: AEP
Hampshire,Less lethal weapons,AEP drawn,4.0,0.0,0.0,0.0,0.0,0.0,4.0,,
Hampshire,Less lethal weapons,AEP used,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
Hampshire,Less lethal weapons,AEP not stated,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
Hampshire,Firearms,*Total Firearms,3.0,1.0,0.0,0.0,0.0,0.0,4.0,Firearms,Total: Firearms
Hampshire,Other,*Total Other,244.0,20.0,4.0,4.0,1.0,10.0,283.0,Other,Total: Other
Hampshire,Other,"Dog use, of which",16.0,0.0,1.0,1.0,0.0,1.0,19.0,Other,Total: Dog
Hampshire,Other,Dog deployed,13.0,0.0,1.0,0.0,0.0,1.0,15.0,Other,Dog: deployed
Hampshire,Other,Dog bite,3.0,0.0,0.0,1.0,0.0,0.0,4.0,Other,Dog: bite
Hampshire,Other,Dog not stated,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
Hampshire,Other,Other / improvised,228.0,20.0,3.0,3.0,1.0,9.0,264.0,Other,Other / improvised
Hampshire,Not reported,*Total Not reported,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Not reported,Total: Not reported
Hampshire,Tactical communication,Tactical communication,3679.0,255.0,96.0,50.0,29.0,63.0,4172.0,Excluded: Tactical Communication,Tactical Communication
Hertfordshire,Total (excluding not reported and tactical communication),*Total Tactics,10579.0,1833.0,779.0,472.0,553.0,281.0,14497.0,Total,Total: all
Hertfordshire,Restraint,*Total Restraint,6125.0,1101.0,469.0,304.0,363.0,165.0,8527.0,Restraint,Total: Restraint
Hertfordshire,Restraint,"Handcuffing, of which",4493.0,845.0,386.0,225.0,311.0,128.0,6388.0,Restraint,Total: Handcuffing
Hertfordshire,Restraint,Compliant handcuffing,2758.0,541.0,273.0,145.0,229.0,84.0,4030.0,Restraint,Handcuffing: compliant
Hertfordshire,Restraint,Non-compliant handcuffing,1735.0,304.0,113.0,80.0,82.0,44.0,2358.0,Restraint,Handcuffing: non-compliant
Hertfordshire,Restraint,Handcuffing not stated,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
Hertfordshire,Restraint,Limb / Body restraints,560.0,90.0,23.0,30.0,15.0,12.0,730.0,Restraint,Limb / body restraints
Hertfordshire,Restraint,Ground restraint,1072.0,166.0,60.0,49.0,37.0,25.0,1409.0,Restraint,Ground restraint
Hertfordshire,Unarmed skills,*Total Unarmed skills,3144.0,495.0,217.0,133.0,131.0,86.0,4206.0,Unarmed skills,Total: unarmed skills
Hertfordshire,Other equipment,*Total Other equipment,770.0,125.0,50.0,15.0,32.0,19.0,1011.0,Other equipment,Total: Other equipment
Hertfordshire,Other equipment,"Baton, of which",97.0,24.0,6.0,1.0,3.0,5.0,136.0,Other equipment,Total: Baton
Hertfordshire,Other equipment,Baton drawn,66.0,15.0,4.0,1.0,2.0,3.0,91.0,Other equipment,Baton: drawn
Hertfordshire,Other equipment,Baton used,31.0,9.0,2.0,0.0,1.0,2.0,45.0,Other equipment,Baton: used
Hertfordshire,Other equipment,Baton not stated,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
Hertfordshire,Other equipment,"Irritant spray, of which",527.0,93.0,31.0,8.0,21.0,12.0,692.0,Other equipment,Total: Irritant spray
Hertfordshire,Other equipment,Irritant spray - drawn,298.0,53.0,18.0,6.0,11.0,9.0,395.0,Other equipment,Irritant spray: drawn
Hertfordshire,Other equipment,Irritant spray - used,227.0,40.0,13.0,2.0,10.0,3.0,295.0,Other equipment,Irritant spray: used
Hertfordshire,Other equipment,Irritant spray not stated,2.0,0.0,0.0,0.0,0.0,0.0,2.0,,
Hertfordshire,Other equipment,Spit and bite guard,113.0,8.0,9.0,6.0,7.0,0.0,143.0,Other equipment,Spit and bite guard
Hertfordshire,Other equipment,Shield,33.0,0.0,4.0,0.0,1.0,2.0,40.0,Other equipment,Shield
Hertfordshire,Less lethal weapons,*Total Less lethal weapons,286.0,73.0,27.0,10.0,20.0,5.0,421.0,Less lethal weapons,Total: Less lethal weapons
Hertfordshire,Less lethal weapons,CED of which,286.0,73.0,27.0,10.0,20.0,5.0,421.0,,
Hertfordshire,Less lethal weapons,CED non-discharge,250.0,68.0,25.0,10.0,20.0,5.0,378.0,,
Hertfordshire,Less lethal weapons,CED discharge,35.0,5.0,2.0,0.0,0.0,0.0,42.0,,
Hertfordshire,Less lethal weapons,CED not stated,1.0,0.0,0.0,0.0,0.0,0.0,1.0,,
Hertfordshire,Less lethal weapons,"AEP, of which",0.0,0.0,0.0,0.0,0.0,0.0,0.0,Less lethal weapons,Total: AEP
Hertfordshire,Less lethal weapons,AEP drawn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
Hertfordshire,Less lethal weapons,AEP used,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
Hertfordshire,Less lethal weapons,AEP not stated,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
Hertfordshire,Firearms,*Total Firearms,6.0,1.0,3.0,1.0,1.0,0.0,12.0,Firearms,Total: Firearms
Hertfordshire,Other,*Total Other,248.0,38.0,13.0,9.0,6.0,6.0,320.0,Other,Total: Other
Hertfordshire,Other,"Dog use, of which",4.0,2.0,0.0,0.0,0.0,0.0,6.0,Other,Total: Dog
Hertfordshire,Other,Dog deployed,3.0,1.0,0.0,0.0,0.0,0.0,4.0,Other,Dog: deployed
Hertfordshire,Other,Dog bite,1.0,1.0,0.0,0.0,0.0,0.0,2.0,Other,Dog: bite
Hertfordshire,Other,Dog not stated,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
Hertfordshire,Other,Other / improvised,244.0,36.0,13.0,9.0,6.0,6.0,314.0,Other,Other / improvised
Hertfordshire,Not reported,*Total Not reported,21.0,5.0,3.0,2.0,0.0,4.0,35.0,Not reported,Total: Not reported
Hertfordshire,Tactical communication,Tactical communication,5589.0,993.0,428.0,268.0,330.0,166.0,7774.0,Excluded: Tactical Communication,Tactical Communication
Humberside,Total (excluding not reported and tactical communication),*Total Tactics,8839.0,198.0,93.0,97.0,31.0,71.0,9329.0,Total,Total: all
Humberside,Restraint,*Total Restraint,4624.0,113.0,50.0,52.0,18.0,28.0,4885.0,Restraint,Total: Restraint
Humberside,Restraint,"Handcuffing, of which",3453.0,94.0,42.0,41.0,16.0,17.0,3663.0,Restraint,Total: Handcuffing
Humberside,Restraint,Compliant handcuffing,2008.0,69.0,31.0,26.0,11.0,11.0,2156.0,Restraint,Handcuffing: compliant
Humberside,Restraint,Non-compliant handcuffing,1445.0,25.0,11.0,15.0,5.0,6.0,1507.0,Restraint,Handcuffing: non-compliant
Humberside,Restraint,Handcuffing not stated,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
Humberside,Restraint,Limb / Body restraints,394.0,4.0,2.0,2.0,2.0,5.0,409.0,Restraint,Limb / body restraints
Humberside,Restraint,Ground restraint,777.0,15.0,6.0,9.0,0.0,6.0,813.0,Restraint,Ground restraint
Humberside,Unarmed skills,*Total Unarmed skills,2400.0,46.0,22.0,19.0,9.0,19.0,2515.0,Unarmed skills,Total: unarmed skills
Humberside,Other equipment,*Total Other equipment,444.0,8.0,6.0,6.0,2.0,6.0,472.0,Other equipment,Total: Other equipment
