Tactic,Police Force,Force type - Output,Tactic - Output,Disability,count
Baton drawn,South Yorkshire,Other equipment,Baton: drawn,Physical and mental,0.0
Baton used,South Yorkshire,Other equipment,Baton: used,Physical and mental,0.0
Not stated baton,South Yorkshire,Other equipment,Baton: not stated,Physical and mental,0.0
"Irritant spray, of which",South Yorkshire,Other equipment,Total: Irritant spray,Physical and mental,0.0
Irritant spray - drawn,South Yorkshire,Other equipment,Irritant spray: drawn,Physical and mental,0.0
Irritant spray - used,South Yorkshire,Other equipment,Irritant spray: used,Physical and mental,0.0
Not stated irritant spray,South Yorkshire,Other equipment,Irritant spray: not stated,Physical and mental,0.0
Spit and bite guard,South Yorkshire,Other equipment,Spit and bite guard,Physical and mental,0.0
Shield,South Yorkshire,Other equipment,Shield,Physical and mental,0.0
*Total Less lethal weapons,South Yorkshire,Less lethal weapons,Total: Less lethal weapons,Physical and mental,2.0
CED,South Yorkshire,Less lethal weapons,CED,Physical and mental,2.0
"AEP, of which",South Yorkshire,Less lethal weapons,Total: AEP,Physical and mental,0.0
AEP aimed,South Yorkshire,Less lethal weapons,AEP: Aimed,Physical and mental,0.0
AEP fired,South Yorkshire,Less lethal weapons,AEP: Fired,Physical and mental,0.0
Not stated AEP,South Yorkshire,Less lethal weapons,AEP: Not stated,Physical and mental,0.0
*Total Firearms,South Yorkshire,Firearms,Total: Firearms,Physical and mental,0.0
*Total Other,South Yorkshire,Other,Total: Other,Physical and mental,5.0
"Dog use, of which",South Yorkshire,Other,Total: Dog,Physical and mental,0.0
Dog deployed,South Yorkshire,Other,Dog: deployed,Physical and mental,0.0
Dog bite,South Yorkshire,Other,Dog: bite,Physical and mental,0.0
Not stated dog,South Yorkshire,Other,Dog: not stated,Physical and mental,0.0
Other / improvised,South Yorkshire,Other,Other / improvised,Physical and mental,5.0
*Total Not reported,South Yorkshire,Not reported,Total: Not reported,Physical and mental,0.0
Tactical communication,South Yorkshire,Excluded: Tactical Communication,Tactical Communication,Physical and mental,18.0
*Total Tactics,Staffordshire,Total,Total: all,Physical and mental,24.0
*Total Restraint,Staffordshire,Restraint,Total: Restraint,Physical and mental,14.0
"Handcuffing, of which",Staffordshire,Restraint,Total: Handcuffing,Physical and mental,8.0
Compliant handcuffing,Staffordshire,Restraint,Handcuffing: compliant,Physical and mental,0.0
Non-compliant handcuffing,Staffordshire,Restraint,Handcuffing: non-compliant,Physical and mental,0.0
Not stated handcuffing,Staffordshire,Restraint,Handcuffing: not stated,Physical and mental,8.0
Limb / Body restraints,Staffordshire,Restraint,Limb / body restraints,Physical and mental,0.0
Ground restraint,Staffordshire,Restraint,Ground restraint,Physical and mental,6.0
*Total Unarmed skills,Staffordshire,Unarmed skills,Total: unarmed skills,Physical and mental,7.0
*Total Other equipment,Staffordshire,Other equipment,Total: Other equipment,Physical and mental,2.0
"Baton, of which",Staffordshire,Other equipment,Total: Baton,Physical and mental,0.0
Baton drawn,Staffordshire,Other equipment,Baton: drawn,Physical and mental,0.0
Baton used,Staffordshire,Other equipment,Baton: used,Physical and mental,0.0
Not stated baton,Staffordshire,Other equipment,Baton: not stated,Physical and mental,0.0
"Irritant spray, of which",Staffordshire,Other equipment,Total: Irritant spray,Physical and mental,2.0
Irritant spray - drawn,Staffordshire,Other equipment,Irritant spray: drawn,Physical and mental,0.0
Irritant spray - used,Staffordshire,Other equipment,Irritant spray: used,Physical and mental,2.0
Not stated irritant spray,Staffordshire,Other equipment,Irritant spray: not stated,Physical and mental,0.0
Spit and bite guard,Staffordshire,Other equipment,Spit and bite guard,Physical and mental,0.0
Shield,Staffordshire,Other equipment,Shield,Physical and mental,0.0
*Total Less lethal weapons,Staffordshire,Less lethal weapons,Total: Less lethal weapons,Physical and mental,0.0
CED,Staffordshire,Less lethal weapons,CED,Physical and mental,0.0
"AEP, of which",Staffordshire,Less lethal weapons,Total: AEP,Physical and mental,0.0
AEP aimed,Staffordshire,Less lethal weapons,AEP: Aimed,Physical and mental,0.0
AEP fired,Staffordshire,Less lethal weapons,AEP: Fired,Physical and mental,0.0
Not stated AEP,Staffordshire,Less lethal weapons,AEP: Not stated,Physical and mental,0.0
*Total Firearms,Staffordshire,Firearms,Total: Firearms,Physical and mental,0.0
*Total Other,Staffordshire,Other,Total: Other,Physical and mental,1.0
"Dog use, of which",Staffordshire,Other,Total: Dog,Physical and mental,0.0
Dog deployed,Staffordshire,Other,Dog: deployed,Physical and mental,0.0
Dog bite,Staffordshire,Other,Dog: bite,Physical and mental,0.0
Not stated dog,Staffordshire,Other,Dog: not stated,Physical and mental,0.0
Other / improvised,Staffordshire,Other,Other / improvised,Physical and mental,1.0
*Total Not reported,Staffordshire,Not reported,Total: Not reported,Physical and mental,0.0
Tactical communication,Staffordshire,Excluded: Tactical Communication,Tactical Communication,Physical and mental,10.0
*Total Tactics,Suffolk,Total,Total: all,Physical and mental,23.0
*Total Restraint,Suffolk,Restraint,Total: Restraint,Physical and mental,11.0
"Handcuffing, of which",Suffolk,Restraint,Total: Handcuffing,Physical and mental,10.0
Compliant handcuffing,Suffolk,Restraint,Handcuffing: compliant,Physical and mental,2.0
Non-compliant handcuffing,Suffolk,Restraint,Handcuffing: non-compliant,Physical and mental,8.0
Not stated handcuffing,Suffolk,Restraint,Handcuffing: not stated,Physical and mental,0.0
Limb / Body restraints,Suffolk,Restraint,Limb / body restraints,Physical and mental,0.0
Ground restraint,Suffolk,Restraint,Ground restraint,Physical and mental,1.0
*Total Unarmed skills,Suffolk,Unarmed skills,Total: unarmed skills,Physical and mental,7.0
*Total Other equipment,Suffolk,Other equipment,Total: Other equipment,Physical and mental,1.0
"Baton, of which",Suffolk,Other equipment,Total: Baton,Physical and mental,0.0
Baton drawn,Suffolk,Other equipment,Baton: drawn,Physical and mental,0.0
Baton used,Suffolk,Other equipment,Baton: used,Physical and mental,0.0
Not stated baton,Suffolk,Other equipment,Baton: not stated,Physical and mental,0.0
"Irritant spray, of which",Suffolk,Other equipment,Total: Irritant spray,Physical and mental,0.0
Irritant spray - drawn,Suffolk,Other equipment,Irritant spray: drawn,Physical and mental,0.0
Irritant spray - used,Suffolk,Other equipment,Irritant spray: used,Physical and mental,0.0
Not stated irritant spray,Suffolk,Other equipment,Irritant spray: not stated,Physical and mental,0.0
Spit and bite guard,Suffolk,Other equipment,Spit and bite guard,Physical and mental,1.0
Shield,Suffolk,Other equipment,Shield,Physical and mental,0.0
*Total Less lethal weapons,Suffolk,Less lethal weapons,Total: Less lethal weapons,Physical and mental,0.0
CED,Suffolk,Less lethal weapons,CED,Physical and mental,0.0
"AEP, of which",Suffolk,Less lethal weapons,Total: AEP,Physical and mental,0.0
AEP aimed,Suffolk,Less lethal weapons,AEP: Aimed,Physical and mental,0.0
AEP fired,Suffolk,Less lethal weapons,AEP: Fired,Physical and mental,0.0
Not stated AEP,Suffolk,Less lethal weapons,AEP: Not stated,Physical and mental,0.0
*Total Firearms,Suffolk,Firearms,Total: Firearms,Physical and mental,0.0
*Total Other,Suffolk,Other,Total: Other,Physical and mental,4.0
"Dog use, of which",Suffolk,Other,Total: Dog,Physical and mental,0.0
Dog deployed,Suffolk,Other,Dog: deployed,Physical and mental,0.0
Dog bite,Suffolk,Other,Dog: bite,Physical and mental,0.0
Not stated dog,Suffolk,Other,Dog: not stated,Physical and mental,0.0
Other / improvised,Suffolk,Other,Other / improvised,Physical and mental,4.0
*Total Not reported,Suffolk,Not reported,Total: Not reported,Physical and mental,0.0
Tactical communication,Suffolk,Excluded: Tactical Communication,Tactical Communication,Physical and mental,9.0
*Total Tactics,Surrey,Total,Total: all,Physical and mental,17.0
*Total Restraint,Surrey,Restraint,Total: Restraint,Physical and mental,9.0
"Handcuffing, of which",Surrey,Restraint,Total: Handcuffing,Physical and mental,7.0
Compliant handcuffing,Surrey,Restraint,Handcuffing: compliant,Physical and mental,5.0
Non-compliant handcuffing,Surrey,Restraint,Handcuffing: non-compliant,Physical and mental,2.0
Not stated handcuffing,Surrey,Restraint,Handcuffing: not stated,Physical and mental,0.0
Limb / Body restraints,Surrey,Restraint,Limb / body restraints,Physical and mental,2.0
Ground restraint,Surrey,Restraint,Ground restraint,Physical and mental,0.0
*Total Unarmed skills,Surrey,Unarmed skills,Total: unarmed skills,Physical and mental,5.0
*Total Other equipment,Surrey,Other equipment,Total: Other equipment,Physical and mental,0.0
"Baton, of which",Surrey,Other equipment,Total: Baton,Physical and mental,0.0
Baton drawn,Surrey,Other equipment,Baton: drawn,Physical and mental,0.0
Baton used,Surrey,Other equipment,Baton: used,Physical and mental,0.0
Not stated baton,Surrey,Other equipment,Baton: not stated,Physical and mental,0.0
"Irritant spray, of which",Surrey,Other equipment,Total: Irritant spray,Physical and mental,0.0
Irritant spray - drawn,Surrey,Other equipment,Irritant spray: drawn,Physical and mental,0.0
Irritant spray - used,Surrey,Other equipment,Irritant spray: used,Physical and mental,0.0
Not stated irritant spray,Surrey,Other equipment,Irritant spray: not stated,Physical and mental,0.0
Spit and bite guard,Surrey,Other equipment,Spit and bite guard,Physical and mental,0.0
Shield,Surrey,Other equipment,Shield,Physical and mental,0.0
*Total Less lethal weapons,Surrey,Less lethal weapons,Total: Less lethal weapons,Physical and mental,0.0
CED,Surrey,Less lethal weapons,CED,Physical and mental,0.0
"AEP, of which",Surrey,Less lethal weapons,Total: AEP,Physical and mental,0.0
AEP aimed,Surrey,Less lethal weapons,AEP: Aimed,Physical and mental,0.0
AEP fired,Surrey,Less lethal weapons,AEP: Fired,Physical and mental,0.0
Not stated AEP,Surrey,Less lethal weapons,AEP: Not stated,Physical and mental,0.0
*Total Firearms,Surrey,Firearms,Total: Firearms,Physical and mental,0.0
*Total Other,Surrey,Other,Total: Other,Physical and mental,3.0
"Dog use, of which",Surrey,Other,Total: Dog,Physical and mental,0.0
Dog deployed,Surrey,Other,Dog: deployed,Physical and mental,0.0
Dog bite,Surrey,Other,Dog: bite,Physical and mental,0.0
Not stated dog,Surrey,Other,Dog: not stated,Physical and mental,0.0
Other / improvised,Surrey,Other,Other / improvised,Physical and mental,3.0
*Total Not reported,Surrey,Not reported,Total: Not reported,Physical and mental,0.0
Tactical communication,Surrey,Excluded: Tactical Communication,Tactical Communication,Physical and mental,8.0
*Total Tactics,Sussex,Total,Total: all,Physical and mental,41.0
*Total Restraint,Sussex,Restraint,Total: Restraint,Physical and mental,14.0
"Handcuffing, of which",Sussex,Restraint,Total: Handcuffing,Physical and mental,11.0
Compliant handcuffing,Sussex,Restraint,Handcuffing: compliant,Physical and mental,0.0
Non-compliant handcuffing,Sussex,Restraint,Handcuffing: non-compliant,Physical and mental,0.0
Not stated handcuffing,Sussex,Restraint,Handcuffing: not stated,Physical and mental,11.0
Limb / Body restraints,Sussex,Restraint,Limb / body restraints,Physical and mental,2.0
Ground restraint,Sussex,Restraint,Ground restraint,Physical and mental,1.0
*Total Unarmed skills,Sussex,Unarmed skills,Total: unarmed skills,Physical and mental,15.0
*Total Other equipment,Sussex,Other equipment,Total: Other equipment,Physical and mental,2.0
"Baton, of which",Sussex,Other equipment,Total: Baton,Physical and mental,0.0
Baton drawn,Sussex,Other equipment,Baton: drawn,Physical and mental,0.0
Baton used,Sussex,Other equipment,Baton: used,Physical and mental,0.0
Not stated baton,Sussex,Other equipment,Baton: not stated,Physical and mental,0.0
"Irritant spray, of which",Sussex,Other equipment,Total: Irritant spray,Physical and mental,2.0
Irritant spray - drawn,Sussex,Other equipment,Irritant spray: drawn,Physical and mental,2.0
Irritant spray - used,Sussex,Other equipment,Irritant spray: used,Physical and mental,0.0
Not stated irritant spray,Sussex,Other equipment,Irritant spray: not stated,Physical and mental,0.0
Spit and bite guard,Sussex,Other equipment,Spit and bite guard,Physical and mental,0.0
Shield,Sussex,Other equipment,Shield,Physical and mental,0.0
*Total Less lethal weapons,Sussex,Less lethal weapons,Total: Less lethal weapons,Physical and mental,5.0
CED,Sussex,Less lethal weapons,CED,Physical and mental,4.0
"AEP, of which",Sussex,Less lethal weapons,Total: AEP,Physical and mental,1.0
AEP aimed,Sussex,Less lethal weapons,AEP: Aimed,Physical and mental,1.0
AEP fired,Sussex,Less lethal weapons,AEP: Fired,Physical and mental,0.0
Not stated AEP,Sussex,Less lethal weapons,AEP: Not stated,Physical and mental,0.0
*Total Firearms,Sussex,Firearms,Total: Firearms,Physical and mental,1.0
*Total Other,Sussex,Other,Total: Other,Physical and mental,4.0
"Dog use, of which",Sussex,Other,Total: Dog,Physical and mental,0.0
Dog deployed,Sussex,Other,Dog: deployed,Physical and mental,0.0
Dog bite,Sussex,Other,Dog: bite,Physical and mental,0.0
Not stated dog,Sussex,Other,Dog: not stated,Physical and mental,0.0
Other / improvised,Sussex,Other,Other / improvised,Physical and mental,4.0
*Total Not reported,Sussex,Not reported,Total: Not reported,Physical and mental,0.0
Tactical communication,Sussex,Excluded: Tactical Communication,Tactical Communication,Physical and mental,17.0
*Total Tactics,Thames Valley,Total,Total: all,Physical and mental,87.0
*Total Restraint,Thames Valley,Restraint,Total: Restraint,Physical and mental,42.0
"Handcuffing, of which",Thames Valley,Restraint,Total: Handcuffing,Physical and mental,26.0
Compliant handcuffing,Thames Valley,Restraint,Handcuffing: compliant,Physical and mental,1.0
Non-compliant handcuffing,Thames Valley,Restraint,Handcuffing: non-compliant,Physical and mental,24.0
Not stated handcuffing,Thames Valley,Restraint,Handcuffing: not stated,Physical and mental,1.0
Limb / Body restraints,Thames Valley,Restraint,Limb / body restraints,Physical and mental,4.0
Ground restraint,Thames Valley,Restraint,Ground restraint,Physical and mental,12.0
*Total Unarmed skills,Thames Valley,Unarmed skills,Total: unarmed skills,Physical and mental,35.0
*Total Other equipment,Thames Valley,Other equipment,Total: Other equipment,Physical and mental,1.0
"Baton, of which",Thames Valley,Other equipment,Total: Baton,Physical and mental,0.0
Baton drawn,Thames Valley,Other equipment,Baton: drawn,Physical and mental,0.0
Baton used,Thames Valley,Other equipment,Baton: used,Physical and mental,0.0
Not stated baton,Thames Valley,Other equipment,Baton: not stated,Physical and mental,0.0
"Irritant spray, of which",Thames Valley,Other equipment,Total: Irritant spray,Physical and mental,1.0
Irritant spray - drawn,Thames Valley,Other equipment,Irritant spray: drawn,Physical and mental,1.0
Irritant spray - used,Thames Valley,Other equipment,Irritant spray: used,Physical and mental,0.0
Not stated irritant spray,Thames Valley,Other equipment,Irritant spray: not stated,Physical and mental,0.0
Spit and bite guard,Thames Valley,Other equipment,Spit and bite guard,Physical and mental,0.0
Shield,Thames Valley,Other equipment,Shield,Physical and mental,0.0
*Total Less lethal weapons,Thames Valley,Less lethal weapons,Total: Less lethal weapons,Physical and mental,5.0
CED,Thames Valley,Less lethal weapons,CED,Physical and mental,5.0
"AEP, of which",Thames Valley,Less lethal weapons,Total: AEP,Physical and mental,0.0
AEP aimed,Thames Valley,Less lethal weapons,AEP: Aimed,Physical and mental,0.0
AEP fired,Thames Valley,Less lethal weapons,AEP: Fired,Physical and mental,0.0
Not stated AEP,Thames Valley,Less lethal weapons,AEP: Not stated,Physical and mental,0.0
*Total Firearms,Thames Valley,Firearms,Total: Firearms,Physical and mental,0.0
*Total Other,Thames Valley,Other,Total: Other,Physical and mental,4.0
"Dog use, of which",Thames Valley,Other,Total: Dog,Physical and mental,0.0
Dog deployed,Thames Valley,Other,Dog: deployed,Physical and mental,0.0
Dog bite,Thames Valley,Other,Dog: bite,Physical and mental,0.0
Not stated dog,Thames Valley,Other,Dog: not stated,Physical and mental,0.0
Other / improvised,Thames Valley,Other,Other / improvised,Physical and mental,4.0
*Total Not reported,Thames Valley,Not reported,Total: Not reported,Physical and mental,0.0
Tactical communication,Thames Valley,Excluded: Tactical Communication,Tactical Communication,Physical and mental,45.0
*Total Tactics,Warwickshire,Total,Total: all,Physical and mental,0.0
*Total Restraint,Warwickshire,Restraint,Total: Restraint,Physical and mental,0.0
"Handcuffing, of which",Warwickshire,Restraint,Total: Handcuffing,Physical and mental,0.0
Compliant handcuffing,Warwickshire,Restraint,Handcuffing: compliant,Physical and mental,0.0
Non-compliant handcuffing,Warwickshire,Restraint,Handcuffing: non-compliant,Physical and mental,0.0
Not stated handcuffing,Warwickshire,Restraint,Handcuffing: not stated,Physical and mental,0.0
Limb / Body restraints,Warwickshire,Restraint,Limb / body restraints,Physical and mental,0.0
Ground restraint,Warwickshire,Restraint,Ground restraint,Physical and mental,0.0
*Total Unarmed skills,Warwickshire,Unarmed skills,Total: unarmed skills,Physical and mental,0.0
*Total Other equipment,Warwickshire,Other equipment,Total: Other equipment,Physical and mental,0.0
"Baton, of which",Warwickshire,Other equipment,Total: Baton,Physical and mental,0.0
Baton drawn,Warwickshire,Other equipment,Baton: drawn,Physical and mental,0.0
Baton used,Warwickshire,Other equipment,Baton: used,Physical and mental,0.0
Not stated baton,Warwickshire,Other equipment,Baton: not stated,Physical and mental,0.0
"Irritant spray, of which",Warwickshire,Other equipment,Total: Irritant spray,Physical and mental,0.0
Irritant spray - drawn,Warwickshire,Other equipment,Irritant spray: drawn,Physical and mental,0.0
Irritant spray - used,Warwickshire,Other equipment,Irritant spray: used,Physical and mental,0.0
Not stated irritant spray,Warwickshire,Other equipment,Irritant spray: not stated,Physical and mental,0.0
Spit and bite guard,Warwickshire,Other equipment,Spit and bite guard,Physical and mental,0.0
Shield,Warwickshire,Other equipment,Shield,Physical and mental,0.0
*Total Less lethal weapons,Warwickshire,Less lethal weapons,Total: Less lethal weapons,Physical and mental,0.0
CED,Warwickshire,Less lethal weapons,CED,Physical and mental,0.0
"AEP, of which",Warwickshire,Less lethal weapons,Total: AEP,Physical and mental,0.0
AEP aimed,Warwickshire,Less lethal weapons,AEP: Aimed,Physical and mental,0.0
AEP fired,Warwickshire,Less lethal weapons,AEP: Fired,Physical and mental,0.0
Not stated AEP,Warwickshire,Less lethal weapons,AEP: Not stated,Physical and mental,0.0
*Total Firearms,Warwickshire,Firearms,Total: Firearms,Physical and mental,0.0
*Total Other,Warwickshire,Other,Total: Other,Physical and mental,0.0
"Dog use, of which",Warwickshire,Other,Total: Dog,Physical and mental,0.0
Dog deployed,Warwickshire,Other,Dog: deployed,Physical and mental,0.0
Dog bite,Warwickshire,Other,Dog: bite,Physical and mental,0.0
Not stated dog,Warwickshire,Other,Dog: not stated,Physical and mental,0.0
Other / improvised,Warwickshire,Other,Other / improvised,Physical and mental,0.0
*Total Not reported,Warwickshire,Not reported,Total: Not reported,Physical and mental,0.0
Tactical communication,Warwickshire,Excluded: Tactical Communication,Tactical Communication,Physical and mental,0.0
*Total Tactics,West Mercia,Total,Total: all,Physical and mental,0.0
*Total Restraint,West Mercia,Restraint,Total: Restraint,Physical and mental,0.0
"Handcuffing, of which",West Mercia,Restraint,Total: Handcuffing,Physical and mental,0.0
Compliant handcuffing,West Mercia,Restraint,Handcuffing: compliant,Physical and mental,0.0
Non-compliant handcuffing,West Mercia,Restraint,Handcuffing: non-compliant,Physical and mental,0.0
Not stated handcuffing,West Mercia,Restraint,Handcuffing: not stated,Physical and mental,0.0
Limb / Body restraints,West Mercia,Restraint,Limb / body restraints,Physical and mental,0.0
Ground restraint,West Mercia,Restraint,Ground restraint,Physical and mental,0.0
*Total Unarmed skills,West Mercia,Unarmed skills,Total: unarmed skills,Physical and mental,0.0
*Total Other equipment,West Mercia,Other equipment,Total: Other equipment,Physical and mental,0.0
"Baton, of which",West Mercia,Other equipment,Total: Baton,Physical and mental,0.0
Baton drawn,West Mercia,Other equipment,Baton: drawn,Physical and mental,0.0
Baton used,West Mercia,Other equipment,Baton: used,Physical and mental,0.0
Not stated baton,West Mercia,Other equipment,Baton: not stated,Physical and mental,0.0
"Irritant spray, of which",West Mercia,Other equipment,Total: Irritant spray,Physical and mental,0.0
Irritant spray - drawn,West Mercia,Other equipment,Irritant spray: drawn,Physical and mental,0.0
Irritant spray - used,West Mercia,Other equipment,Irritant spray: used,Physical and mental,0.0
Not stated irritant spray,West Mercia,Other equipment,Irritant spray: not stated,Physical and mental,0.0
Spit and bite guard,West Mercia,Other equipment,Spit and bite guard,Physical and mental,0.0
Shield,West Mercia,Other equipment,Shield,Physical and mental,0.0
*Total Less lethal weapons,West Mercia,Less lethal weapons,Total: Less lethal weapons,Physical and mental,0.0
CED,West Mercia,Less lethal weapons,CED,Physical and mental,0.0
"AEP, of which",West Mercia,Less lethal weapons,Total: AEP,Physical and mental,0.0
AEP aimed,West Mercia,Less lethal weapons,AEP: Aimed,Physical and mental,0.0
AEP fired,West Mercia,Less lethal weapons,AEP: Fired,Physical and mental,0.0
Not stated AEP,West Mercia,Less lethal weapons,AEP: Not stated,Physical and mental,0.0
*Total Firearms,West Mercia,Firearms,Total: Firearms,Physical and mental,0.0
*Total Other,West Mercia,Other,Total: Other,Physical and mental,0.0
"Dog use, of which",West Mercia,Other,Total: Dog,Physical and mental,0.0
Dog deployed,West Mercia,Other,Dog: deployed,Physical and mental,0.0
Dog bite,West Mercia,Other,Dog: bite,Physical and mental,0.0
Not stated dog,West Mercia,Other,Dog: not stated,Physical and mental,0.0
Other / improvised,West Mercia,Other,Other / improvised,Physical and mental,0.0
*Total Not reported,West Mercia,Not reported,Total: Not reported,Physical and mental,0.0
Tactical communication,West Mercia,Excluded: Tactical Communication,Tactical Communication,Physical and mental,0.0
*Total Tactics,West Midlands,Total,Total: all,Physical and mental,36.0
*Total Restraint,West Midlands,Restraint,Total: Restraint,Physical and mental,17.0
"Handcuffing, of which",West Midlands,Restraint,Total: Handcuffing,Physical and mental,13.0
Compliant handcuffing,West Midlands,Restraint,Handcuffing: compliant,Physical and mental,0.0
Non-compliant handcuffing,West Midlands,Restraint,Handcuffing: non-compliant,Physical and mental,13.0
Not stated handcuffing,West Midlands,Restraint,Handcuffing: not stated,Physical and mental,0.0
Limb / Body restraints,West Midlands,Restraint,Limb / body restraints,Physical and mental,0.0
Ground restraint,West Midlands,Restraint,Ground restraint,Physical and mental,4.0
*Total Unarmed skills,West Midlands,Unarmed skills,Total: unarmed skills,Physical and mental,10.0
*Total Other equipment,West Midlands,Other equipment,Total: Other equipment,Physical and mental,3.0
"Baton, of which",West Midlands,Other equipment,Total: Baton,Physical and mental,0.0
Baton drawn,West Midlands,Other equipment,Baton: drawn,Physical and mental,0.0
Baton used,West Midlands,Other equipment,Baton: used,Physical and mental,0.0
Not stated baton,West Midlands,Other equipment,Baton: not stated,Physical and mental,0.0
"Irritant spray, of which",West Midlands,Other equipment,Total: Irritant spray,Physical and mental,1.0
Irritant spray - drawn,West Midlands,Other equipment,Irritant spray: drawn,Physical and mental,0.0
Irritant spray - used,West Midlands,Other equipment,Irritant spray: used,Physical and mental,1.0
Not stated irritant spray,West Midlands,Other equipment,Irritant spray: not stated,Physical and mental,0.0
Spit and bite guard,West Midlands,Other equipment,Spit and bite guard,Physical and mental,2.0
Shield,West Midlands,Other equipment,Shield,Physical and mental,0.0
*Total Less lethal weapons,West Midlands,Less lethal weapons,Total: Less lethal weapons,Physical and mental,3.0
CED,West Midlands,Less lethal weapons,CED,Physical and mental,3.0
"AEP, of which",West Midlands,Less lethal weapons,Total: AEP,Physical and mental,0.0
AEP aimed,West Midlands,Less lethal weapons,AEP: Aimed,Physical and mental,0.0
AEP fired,West Midlands,Less lethal weapons,AEP: Fired,Physical and mental,0.0
Not stated AEP,West Midlands,Less lethal weapons,AEP: Not stated,Physical and mental,0.0
*Total Firearms,West Midlands,Firearms,Total: Firearms,Physical and mental,1.0
*Total Other,West Midlands,Other,Total: Other,Physical and mental,2.0
"Dog use, of which",West Midlands,Other,Total: Dog,Physical and mental,0.0
Dog deployed,West Midlands,Other,Dog: deployed,Physical and mental,0.0
Dog bite,West Midlands,Other,Dog: bite,Physical and mental,0.0
Not stated dog,West Midlands,Other,Dog: not stated,Physical and mental,0.0
Other / improvised,West Midlands,Other,Other / improvised,Physical and mental,2.0
*Total Not reported,West Midlands,Not reported,Total: Not reported,Physical and mental,0.0
Tactical communication,West Midlands,Excluded: Tactical Communication,Tactical Communication,Physical and mental,0.0
*Total Tactics,West Yorkshire,Total,Total: all,Physical and mental,126.0
*Total Restraint,West Yorkshire,Restraint,Total: Restraint,Physical and mental,60.0
"Handcuffing, of which",West Yorkshire,Restraint,Total: Handcuffing,Physical and mental,51.0
Compliant handcuffing,West Yorkshire,Restraint,Handcuffing: compliant,Physical and mental,16.0
Non-compliant handcuffing,West Yorkshire,Restraint,Handcuffing: non-compliant,Physical and mental,35.0
Not stated handcuffing,West Yorkshire,Restraint,Handcuffing: not stated,Physical and mental,0.0
Limb / Body restraints,West Yorkshire,Restraint,Limb / body restraints,Physical and mental,4.0
Ground restraint,West Yorkshire,Restraint,Ground restraint,Physical and mental,5.0
*Total Unarmed skills,West Yorkshire,Unarmed skills,Total: unarmed skills,Physical and mental,39.0
*Total Other equipment,West Yorkshire,Other equipment,Total: Other equipment,Physical and mental,13.0
"Baton, of which",West Yorkshire,Other equipment,Total: Baton,Physical and mental,1.0
Baton drawn,West Yorkshire,Other equipment,Baton: drawn,Physical and mental,0.0
Baton used,West Yorkshire,Other equipment,Baton: used,Physical and mental,1.0
Not stated baton,West Yorkshire,Other equipment,Baton: not stated,Physical and mental,0.0
"Irritant spray, of which",West Yorkshire,Other equipment,Total: Irritant spray,Physical and mental,8.0
Irritant spray - drawn,West Yorkshire,Other equipment,Irritant spray: drawn,Physical and mental,5.0
Irritant spray - used,West Yorkshire,Other equipment,Irritant spray: used,Physical and mental,3.0
Not stated irritant spray,West Yorkshire,Other equipment,Irritant spray: not stated,Physical and mental,0.0
Spit and bite guard,West Yorkshire,Other equipment,Spit and bite guard,Physical and mental,4.0
Shield,West Yorkshire,Other equipment,Shield,Physical and mental,0.0
*Total Less lethal weapons,West Yorkshire,Less lethal weapons,Total: Less lethal weapons,Physical and mental,4.0
CED,West Yorkshire,Less lethal weapons,CED,Physical and mental,3.0
"AEP, of which",West Yorkshire,Less lethal weapons,Total: AEP,Physical and mental,1.0
AEP aimed,West Yorkshire,Less lethal weapons,AEP: Aimed,Physical and mental,1.0
AEP fired,West Yorkshire,Less lethal weapons,AEP: Fired,Physical and mental,0.0
Not stated AEP,West Yorkshire,Less lethal weapons,AEP: Not stated,Physical and mental,0.0
*Total Firearms,West Yorkshire,Firearms,Total: Firearms,Physical and mental,4.0
*Total Other,West Yorkshire,Other,Total: Other,Physical and mental,6.0
"Dog use, of which",West Yorkshire,Other,Total: Dog,Physical and mental,1.0
Dog deployed,West Yorkshire,Other,Dog: deployed,Physical and mental,1.0
Dog bite,West Yorkshire,Other,Dog: bite,Physical and mental,0.0
Not stated dog,West Yorkshire,Other,Dog: not stated,Physical and mental,0.0
Other / improvised,West Yorkshire,Other,Other / improvised,Physical and mental,5.0
*Total Not reported,West Yorkshire,Not reported,Total: Not reported,Physical and mental,0.0
Tactical communication,West Yorkshire,Excluded: Tactical Communication,Tactical Communication,Physical and mental,56.0
*Total Tactics,Wiltshire,Total,Total: all,Physical and mental,11.0
*Total Restraint,Wiltshire,Restraint,Total: Restraint,Physical and mental,3.0
"Handcuffing, of which",Wiltshire,Restraint,Total: Handcuffing,Physical and mental,1.0
Compliant handcuffing,Wiltshire,Restraint,Handcuffing: compliant,Physical and mental,0.0
Non-compliant handcuffing,Wiltshire,Restraint,Handcuffing: non-compliant,Physical and mental,1.0
Not stated handcuffing,Wiltshire,Restraint,Handcuffing: not stated,Physical and mental,0.0
Limb / Body restraints,Wiltshire,Restraint,Limb / body restraints,Physical and mental,1.0
Ground restraint,Wiltshire,Restraint,Ground restraint,Physical and mental,1.0
*Total Unarmed skills,Wiltshire,Unarmed skills,Total: unarmed skills,Physical and mental,4.0
*Total Other equipment,Wiltshire,Other equipment,Total: Other equipment,Physical and mental,1.0
"Baton, of which",Wiltshire,Other equipment,Total: Baton,Physical and mental,0.0
